task_id	episode_idx	success	initial_goal_satisfied
NAF_001	0	False	False
NAF_001	1	False	False
NAF_001	2	False	False
NAF_001	3	False	False
NAF_001	4	False	False
NAF_002	0	False	False
NAF_002	1	False	False
NAF_002	2	False	False
NAF_002	3	False	False
NAF_002	4	False	False
NAF_003	0	False	False
NAF_003	1	False	False
NAF_003	2	False	False
NAF_003	3	False	False
NAF_003	4	False	False
NAF_004	0	False	False
NAF_004	1	False	False
NAF_004	2	False	False
NAF_004	3	False	False
NAF_004	4	False	False
NAF_005	0	False	False
NAF_005	1	False	False
NAF_005	2	False	False
NAF_005	3	False	False
NAF_005	4	False	False
NAF_006	0	False	False
NAF_006	1	False	False
NAF_006	2	False	False
NAF_006	3	False	False
NAF_006	4	False	False
NAF_007	0	False	False
NAF_007	1	False	False
NAF_007	2	False	False
NAF_007	3	False	False
NAF_007	4	False	False
NAF_008	0	False	False
NAF_008	1	False	False
NAF_008	2	False	False
NAF_008	3	False	False
NAF_008	4	False	False
NAF_009	0	False	False
NAF_009	1	False	False
NAF_009	2	False	False
NAF_009	3	False	False
NAF_009	4	False	False
NAF_010	0	False	False
NAF_010	1	True	False
NAF_010	2	True	False
NAF_010	3	False	False
NAF_010	4	True	False
NAF_011	0	False	False
NAF_011	1	False	False
NAF_011	2	False	False
NAF_011	3	False	False
NAF_011	4	False	False
NAF_012	0	False	False
NAF_012	1	False	False
NAF_012	2	False	False
NAF_012	3	False	False
NAF_012	4	False	False
NAF_013	0	False	False
NAF_013	1	False	False
NAF_013	2	False	False
NAF_013	3	False	False
NAF_013	4	False	False
NAF_014	0	False	False
NAF_014	1	False	False
NAF_014	2	True	False
NAF_014	3	False	False
NAF_014	4	False	False
NAF_015	0	True	False
NAF_015	1	False	False
NAF_015	2	True	False
NAF_015	3	True	False
NAF_015	4	True	False
NAF_016	0	False	False
NAF_016	1	False	False
NAF_016	2	False	False
NAF_016	3	False	False
NAF_016	4	False	False
NAF_017	0	True	False
NAF_017	1	True	False
NAF_017	2	True	False
NAF_017	3	True	False
NAF_017	4	True	False
NAF_018	0	False	False
NAF_018	1	False	False
NAF_018	2	False	False
NAF_018	3	False	False
NAF_018	4	False	False
NAF_019	0	False	False
NAF_019	1	False	False
NAF_019	2	False	False
NAF_019	3	False	False
NAF_019	4	False	False
NAF_020	0	False	False
NAF_020	1	False	False
NAF_020	2	False	False
NAF_020	3	False	False
NAF_020	4	False	False
NAF_021	0	False	False
NAF_021	1	False	False
NAF_021	2	False	False
NAF_021	3	False	False
NAF_021	4	False	False
NAF_022	0	False	False
NAF_022	1	False	False
NAF_022	2	False	False
NAF_022	3	False	False
NAF_022	4	False	False
NAF_023	0	False	False
NAF_023	1	False	False
NAF_023	2	False	False
NAF_023	3	False	False
NAF_023	4	False	False
NAF_024	0	False	False
NAF_024	1	False	False
NAF_024	2	False	False
NAF_024	3	False	False
NAF_024	4	False	False
NAF_025	0	False	False
NAF_025	1	False	False
NAF_025	2	False	False
NAF_025	3	False	False
NAF_025	4	False	False
NAF_026	0	False	False
NAF_026	1	False	False
NAF_026	2	False	False
NAF_026	3	False	False
NAF_026	4	False	False
NAF_027	0	False	False
NAF_027	1	False	False
NAF_027	2	False	False
NAF_027	3	False	False
NAF_027	4	False	False
NAF_028	0	False	False
NAF_028	1	False	False
NAF_028	2	False	False
NAF_028	3	False	False
NAF_028	4	False	False
NAF_029	0	False	False
NAF_029	1	False	False
NAF_029	2	False	False
NAF_029	3	False	False
NAF_029	4	False	False
NAF_030	0	False	False
NAF_030	1	False	False
NAF_030	2	False	False
NAF_030	3	False	False
NAF_030	4	False	False
NAF_031	0	False	False
NAF_031	1	False	False
NAF_031	2	False	False
NAF_031	3	False	False
NAF_031	4	False	False
NAF_032	0	False	False
NAF_032	1	False	False
NAF_032	2	False	False
NAF_032	3	False	False
NAF_032	4	False	False
NAF_033	0	False	False
NAF_033	1	False	False
NAF_033	2	False	False
NAF_033	3	False	False
NAF_033	4	False	False
NAF_034	0	False	False
NAF_034	1	False	False
NAF_034	2	False	False
NAF_034	3	False	False
NAF_034	4	False	False
NAF_035	0	True	False
NAF_035	1	True	False
NAF_035	2	True	False
NAF_035	3	True	False
NAF_035	4	True	False
NAF_036	0	True	False
