task_id	family	instruction	semantic_count	components	full_successes	full_episodes	full_sr	failure_episode	goal_atoms	atom_first_steps	atom_final	max_simultaneous	combination_first_steps	subtasks_reached	num_subtasks	partial_kind	derived_two_step_instruction	failure_video	comparison_png	stove_turn_knob_frames
COMP_001	C1_goal_three_task_clique	Put the cream cheese on the black bowl, then put the black bowl on the plate, and finally put the wine bottle on the rack.	3	Put the cream cheese on the black bowl | Put the black bowl on the plate | Put the wine bottle on the rack	0	5	0.0	0	on(cream_cheese_1, akita_black_bowl_1) | on(akita_black_bowl_1, plate_1) | on(wine_bottle_1, wine_rack_1_top_region)	[109, null, null]	[true, false, false]	1	"{""000"": 0, ""100"": 109}"	6	6			../assets/composition/failure_videos/COMP_001/COMP_001_ep000_fail.mp4	../assets/composition/comparison_png/COMP_001__put_the_cream_cheese_on_the_black_bowl_then_put_the_black_bowl_on_the_plate_and_finally_put_the_wine_bottle_on_the_rack.png	0
COMP_002	C1_goal_three_task_clique	Put the black bowl on the plate, then put the wine bottle on the rack, and finally push the plate to the front of the stove.	3	Put the black bowl on the plate | Put the wine bottle on the rack | Push the plate to the front of the stove	0	5	0.0	3	on(akita_black_bowl_1, plate_1) | on(wine_bottle_1, wine_rack_1_top_region) | on(plate_1, main_table_stove_front_region)	[68, null, null]	[true, false, false]	1	"{""000"": 0, ""100"": 68}"	6	6			../assets/composition/failure_videos/COMP_002/COMP_002_ep003_fail.mp4	../assets/composition/comparison_png/COMP_002__put_the_black_bowl_on_the_plate_then_put_the_wine_bottle_on_the_rack_and_finally_push_the_plate_to_the_front_of_the_stove.png	0
COMP_003	C1_goal_three_task_clique	Put the black bowl on the plate, then put the wine bottle on the rack, and finally turn on the stove.	3	Put the black bowl on the plate | Put the wine bottle on the rack | Turn on the stove	0	5	0.0	0	on(akita_black_bowl_1, plate_1) | on(wine_bottle_1, wine_rack_1_top_region) | turnon(flat_stove_1)	[80, null, null]	[false, false, false]	1	"{""000"": 0, ""100"": 80}"	5	5			../assets/composition/failure_videos/COMP_003/COMP_003_ep000_fail.mp4	../assets/composition/comparison_png/COMP_003__put_the_black_bowl_on_the_plate_then_put_the_wine_bottle_on_the_rack_and_finally_turn_on_the_stove.png	46
COMP_004	C1_goal_three_task_clique	Put the black bowl on the plate, then put the wine bottle on the rack, and finally open the middle drawer of the cabinet.	3	Put the black bowl on the plate | Put the wine bottle on the rack | Open the middle drawer of the cabinet	0	5	0.0	2	on(akita_black_bowl_1, plate_1) | on(wine_bottle_1, wine_rack_1_top_region) | open(wooden_cabinet_1_middle_region)	[82, null, null]	[true, false, false]	1	"{""000"": 0, ""100"": 82}"	5	5			../assets/composition/failure_videos/COMP_004/COMP_004_ep002_fail.mp4	../assets/composition/comparison_png/COMP_004__put_the_black_bowl_on_the_plate_then_put_the_wine_bottle_on_the_rack_and_finally_open_the_middle_drawer_of_the_cabinet.png	0
COMP_005	C1_goal_three_task_clique	Put the cream cheese on the black bowl, then put the black bowl on the plate, and finally put the wine bottle on top of the cabinet.	3	Put the cream cheese on the black bowl | Put the black bowl on the plate | Put the wine bottle on top of the cabinet	0	5	0.0	0	on(cream_cheese_1, akita_black_bowl_1) | on(akita_black_bowl_1, plate_1) | on(wine_bottle_1, wooden_cabinet_1_top_side)	[108, null, null]	[true, false, false]	1	"{""000"": 0, ""100"": 108}"	6	6			../assets/composition/failure_videos/COMP_005/COMP_005_ep000_fail.mp4	../assets/composition/comparison_png/COMP_005__put_the_cream_cheese_on_the_black_bowl_then_put_the_black_bowl_on_the_plate_and_finally_put_the_wine_bottle_on_top_of_the_cabinet.png	0
COMP_006	C1_goal_three_task_clique	Put the cream cheese on the black bowl, then put the black bowl on the plate, and finally push the plate to the front of the stove.	3	Put the cream cheese on the black bowl | Put the black bowl on the plate | Push the plate to the front of the stove	0	5	0.0	0	on(cream_cheese_1, akita_black_bowl_1) | on(akita_black_bowl_1, plate_1) | on(plate_1, main_table_stove_front_region)	[111, null, null]	[true, false, false]	1	"{""000"": 0, ""100"": 111}"	6	6			../assets/composition/failure_videos/COMP_006/COMP_006_ep000_fail.mp4	../assets/composition/comparison_png/COMP_006__put_the_cream_cheese_on_the_black_bowl_then_put_the_black_bowl_on_the_plate_and_finally_push_the_plate_to_the_front_of_the_stove.png	0
COMP_007	C1_goal_three_task_clique	Put the cream cheese on the black bowl, then put the black bowl on the plate, and finally turn on the stove.	3	Put the cream cheese on the black bowl | Put the black bowl on the plate | Turn on the stove	0	5	0.0	0	on(cream_cheese_1, akita_black_bowl_1) | on(akita_black_bowl_1, plate_1) | turnon(flat_stove_1)	[109, null, null]	[true, false, false]	1	"{""000"": 0, ""100"": 109}"	5	5			../assets/composition/failure_videos/COMP_007/COMP_007_ep000_fail.mp4	../assets/composition/comparison_png/COMP_007__put_the_cream_cheese_on_the_black_bowl_then_put_the_black_bowl_on_the_plate_and_finally_turn_on_the_stove.png	81
COMP_008	C1_goal_three_task_clique	Put the cream cheese on the black bowl, then put the black bowl on the plate, and finally open the middle drawer of the cabinet.	3	Put the cream cheese on the black bowl | Put the black bowl on the plate | Open the middle drawer of the cabinet	0	5	0.0	0	on(cream_cheese_1, akita_black_bowl_1) | on(akita_black_bowl_1, plate_1) | open(wooden_cabinet_1_middle_region)	[111, null, 453]	[true, false, true]	2	"{""000"": 0, ""100"": 111, ""101"": 453}"	5	5	non-prefix pair	Put the cream cheese on the black bowl, and then open the middle drawer of the cabinet.	../assets/composition/failure_videos/COMP_008/COMP_008_ep000_fail.mp4	../assets/composition/comparison_png/COMP_008__put_the_cream_cheese_on_the_black_bowl_then_put_the_black_bowl_on_the_plate_and_finally_open_the_middle_drawer_of_the_cabinet.png	0
COMP_009	C1_goal_three_task_clique	Put the black bowl on the plate, then put the wine bottle on top of the cabinet, and finally push the plate to the front of the stove.	3	Put the black bowl on the plate | Put the wine bottle on top of the cabinet | Push the plate to the front of the stove	0	5	0.0	2	on(akita_black_bowl_1, plate_1) | on(wine_bottle_1, wooden_cabinet_1_top_side) | on(plate_1, main_table_stove_front_region)	[78, null, null]	[false, false, false]	1	"{""000"": 0, ""100"": 78}"	5	6			../assets/composition/failure_videos/COMP_009/COMP_009_ep002_fail.mp4	../assets/composition/comparison_png/COMP_009__put_the_black_bowl_on_the_plate_then_put_the_wine_bottle_on_top_of_the_cabinet_and_finally_push_the_plate_to_the_front_of_the_stove.png	0
COMP_010	C1_goal_three_task_clique	Put the black bowl on the plate, then put the wine bottle on top of the cabinet, and finally turn on the stove.	3	Put the black bowl on the plate | Put the wine bottle on top of the cabinet | Turn on the stove	0	5	0.0	0	on(akita_black_bowl_1, plate_1) | on(wine_bottle_1, wooden_cabinet_1_top_side) | turnon(flat_stove_1)	[78, null, null]	[true, false, false]	1	"{""000"": 0, ""100"": 78}"	5	5			../assets/composition/failure_videos/COMP_010/COMP_010_ep000_fail.mp4	../assets/composition/comparison_png/COMP_010__put_the_black_bowl_on_the_plate_then_put_the_wine_bottle_on_top_of_the_cabinet_and_finally_turn_on_the_stove.png	44
