task_id	family	semantic_subtasks	pure_composition	requires_transition	source_suite	source_task_id	source_task	original_instruction	new_instruction	goal_atom	physical_group	evidence_notes	init_states	action_plan_steps	comparison_png	bundle	canonical_task_signature
COMPOSEFB2_001	FB4_full_goal_scene_plus_left_cabinet	2	true	false	libero_goal	1;5	put_the_bowl_on_the_plate;put_the_wine_bottle_on_top_of_the_cabinet	Put the bowl on the plate | Put the wine bottle on the top of the drawer	Put the black bowl on the plate, and then put the wine bottle on top of the right wooden cabinet.	on(akita_black_bowl_1, plate_1); on(wine_bottle_1, wooden_cabinet_1_top_side)	feedback_full_goal_scene_plus_left_white_cabinet	The complete LIBERO-Goal scene, table type, camera context, object set, and original coordinates are retained. | Only the LIBERO-10 Kitchen Scene 4 white cabinet is added at its exact robot-left coordinate and yaw. | The original Goal wooden cabinet stays at robot-right, and the wine bottle stays at its exact Goal initial coordinate. | The plate starts at its exact original LIBERO-Goal table coordinate. | This exact bowl-to-plate relation is learned in LIBERO-Goal. | Both the right wooden cabinet and wine bottle use their exact original LIBERO-Goal poses.	5	4	comparison_png/COMPOSEFB2_001__put_the_black_bowl_on_the_plate_and_then_put_the_wine_bottle_on_top_of_the_right_wooden_cabinet.png	tasks/composefb2_001__put_the_black_bowl_on_the_plate_and_then_put_the_wine_bottle_on_top_of_the_right_wooden_cabinet	composition|9b09ab6f28999fa99bdc3d3b8e7b1dda9d457fe02d03eb58a878dae39ae96988|frozenset({on(akita_black_bowl_1,plate_1),on(wine_bottle_1,wooden_cabinet_1_top_side)})
COMPOSEFB2_002	FB4_full_goal_scene_plus_left_cabinet	2	true	false	libero_10;libero_goal	103;5	KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it;put_the_wine_bottle_on_top_of_the_cabinet	put the black bowl in the bottom drawer of the cabinet and close it | Put the wine bottle on the top of the drawer	Close the bottom drawer of the left white cabinet, and then put the wine bottle on top of the right wooden cabinet.	close(white_cabinet_1_bottom_region); on(wine_bottle_1, wooden_cabinet_1_top_side)	feedback_full_goal_scene_plus_left_white_cabinet	The complete LIBERO-Goal scene, table type, camera context, object set, and original coordinates are retained. | Only the LIBERO-10 Kitchen Scene 4 white cabinet is added at its exact robot-left coordinate and yaw. | The original Goal wooden cabinet stays at robot-right, and the wine bottle stays at its exact Goal initial coordinate. | The plate starts at its exact original LIBERO-Goal table coordinate. | Both the right wooden cabinet and wine bottle use their exact original LIBERO-Goal poses.	5	3	comparison_png/COMPOSEFB2_002__close_the_bottom_drawer_of_the_left_white_cabinet_and_then_put_the_wine_bottle_on_top_of_the_right_wooden_cabinet.png	tasks/composefb2_002__close_the_bottom_drawer_of_the_left_white_cabinet_and_then_put_the_wine_bottle_on_top_of_the_right_wooden_cabinet	composition|9b09ab6f28999fa99bdc3d3b8e7b1dda9d457fe02d03eb58a878dae39ae96988|frozenset({close(white_cabinet_1_bottom_region),on(wine_bottle_1,wooden_cabinet_1_top_side)})
COMPOSEFB2_003	FB4_full_goal_scene_plus_left_cabinet	2	true	false	libero_10;libero_goal	103;5	KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it;put_the_wine_bottle_on_top_of_the_cabinet	put the black bowl in the bottom drawer of the cabinet and close it | Put the wine bottle on the top of the drawer	Put the black bowl in the bottom drawer of the left white cabinet, and then put the wine bottle on top of the right wooden cabinet.	in(akita_black_bowl_1, white_cabinet_1_bottom_region); on(wine_bottle_1, wooden_cabinet_1_top_side)	feedback_full_goal_scene_plus_left_white_cabinet	The complete LIBERO-Goal scene, table type, camera context, object set, and original coordinates are retained. | Only the LIBERO-10 Kitchen Scene 4 white cabinet is added at its exact robot-left coordinate and yaw. | The original Goal wooden cabinet stays at robot-right, and the wine bottle stays at its exact Goal initial coordinate. | The plate starts at its exact original LIBERO-Goal table coordinate. | The bowl-to-bottom-drawer primitive comes from LIBERO-10 Kitchen Scene 4; the left white cabinet pose and orientation are unchanged. | Both the right wooden cabinet and wine bottle use their exact original LIBERO-Goal poses.	5	4	comparison_png/COMPOSEFB2_003__put_the_black_bowl_in_the_bottom_drawer_of_the_left_white_cabinet_and_then_put_the_wine_bottle_on_top_of_the_right_wooden_cabinet.png	tasks/composefb2_003__put_the_black_bowl_in_the_bottom_drawer_of_the_left_white_cabinet_and_then_put_the_wine_bottle_on_top_of_the_right_wooden_cabinet	composition|9b09ab6f28999fa99bdc3d3b8e7b1dda9d457fe02d03eb58a878dae39ae96988|frozenset({in(akita_black_bowl_1,white_cabinet_1_bottom_region),on(wine_bottle_1,wooden_cabinet_1_top_side)})
COMPOSEFB2_004	FB4_full_goal_scene_plus_left_cabinet	3	true	false	libero_10;libero_goal	103;5	KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it;put_the_wine_bottle_on_top_of_the_cabinet	put the black bowl in the bottom drawer of the cabinet and close it | Put the wine bottle on the top of the drawer	Put the black bowl in the bottom drawer of the left white cabinet, then close the bottom drawer of the left white cabinet, and finally put the wine bottle on top of the right wooden cabinet.	in(akita_black_bowl_1, white_cabinet_1_bottom_region); close(white_cabinet_1_bottom_region); on(wine_bottle_1, wooden_cabinet_1_top_side)	feedback_full_goal_scene_plus_left_white_cabinet	The complete LIBERO-Goal scene, table type, camera context, object set, and original coordinates are retained. | Only the LIBERO-10 Kitchen Scene 4 white cabinet is added at its exact robot-left coordinate and yaw. | The original Goal wooden cabinet stays at robot-right, and the wine bottle stays at its exact Goal initial coordinate. | The plate starts at its exact original LIBERO-Goal table coordinate. | The bowl-to-bottom-drawer primitive comes from LIBERO-10 Kitchen Scene 4; the left white cabinet pose and orientation are unchanged. | Both the right wooden cabinet and wine bottle use their exact original LIBERO-Goal poses.	5	5	comparison_png/COMPOSEFB2_004__put_the_black_bowl_in_the_bottom_drawer_of_the_left_white_cabinet_then_close_the_bottom_drawer_of_the_left_white_cabinet_and_finally_put_the_wine_bott.png	tasks/composefb2_004__put_the_black_bowl_in_the_bottom_drawer_of_the_left_white_cabinet_then_close_the_bottom_drawer_of_the_left_white_cabinet_and_finally_put_the_wine_bott	composition|9b09ab6f28999fa99bdc3d3b8e7b1dda9d457fe02d03eb58a878dae39ae96988|frozenset({close(white_cabinet_1_bottom_region),in(akita_black_bowl_1,white_cabinet_1_bottom_region),on(wine_bottle_1,wooden_cabinet_1_top_side)})
COMPOSEFB2_005	FB4_full_goal_scene_plus_left_cabinet	3	true	false	libero_goal;libero_10	1;103;5	put_the_bowl_on_the_plate;KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it;put_the_wine_bottle_on_top_of_the_cabinet	Put the bowl on the plate | put the black bowl in the bottom drawer of the cabinet and close it | Put the wine bottle on the top of the drawer	Put the black bowl on the plate, then close the bottom drawer of the left white cabinet, and finally put the wine bottle on top of the right wooden cabinet.	on(akita_black_bowl_1, plate_1); close(white_cabinet_1_bottom_region); on(wine_bottle_1, wooden_cabinet_1_top_side)	feedback_full_goal_scene_plus_left_white_cabinet	The complete LIBERO-Goal scene, table type, camera context, object set, and original coordinates are retained. | Only the LIBERO-10 Kitchen Scene 4 white cabinet is added at its exact robot-left coordinate and yaw. | The original Goal wooden cabinet stays at robot-right, and the wine bottle stays at its exact Goal initial coordinate. | The plate starts at its exact original LIBERO-Goal table coordinate. | This exact bowl-to-plate relation is learned in LIBERO-Goal. | Both the right wooden cabinet and wine bottle use their exact original LIBERO-Goal poses.	5	5	comparison_png/COMPOSEFB2_005__put_the_black_bowl_on_the_plate_then_close_the_bottom_drawer_of_the_left_white_cabinet_and_finally_put_the_wine_bottle_on_top_of_the_right_wooden_cabi.png	tasks/composefb2_005__put_the_black_bowl_on_the_plate_then_close_the_bottom_drawer_of_the_left_white_cabinet_and_finally_put_the_wine_bottle_on_top_of_the_right_wooden_cabi	composition|9b09ab6f28999fa99bdc3d3b8e7b1dda9d457fe02d03eb58a878dae39ae96988|frozenset({close(white_cabinet_1_bottom_region),on(akita_black_bowl_1,plate_1),on(wine_bottle_1,wooden_cabinet_1_top_side)})
COMPOSEFB2_006	FB4_full_goal_scene_plus_left_cabinet	3	true	false	libero_goal	1;10;5	put_the_bowl_on_the_plate;open_the_middle_drawer_of_the_cabinet;put_the_wine_bottle_on_top_of_the_cabinet	Put the bowl on the plate | Open the middle layer of the drawer | Put the wine bottle on the top of the drawer	Put the black bowl on the plate, then open the middle drawer of the right wooden cabinet, and finally put the wine bottle on top of the right wooden cabinet.	on(akita_black_bowl_1, plate_1); open(wooden_cabinet_1_middle_region); on(wine_bottle_1, wooden_cabinet_1_top_side)	feedback_full_goal_scene_plus_left_white_cabinet	The complete LIBERO-Goal scene, table type, camera context, object set, and original coordinates are retained. | Only the LIBERO-10 Kitchen Scene 4 white cabinet is added at its exact robot-left coordinate and yaw. | The original Goal wooden cabinet stays at robot-right, and the wine bottle stays at its exact Goal initial coordinate. | The plate starts at its exact original LIBERO-Goal table coordinate. | This exact bowl-to-plate relation is learned in LIBERO-Goal. | Both the right wooden cabinet and wine bottle use their exact original LIBERO-Goal poses.	5	5	comparison_png/COMPOSEFB2_006__put_the_black_bowl_on_the_plate_then_open_the_middle_drawer_of_the_right_wooden_cabinet_and_finally_put_the_wine_bottle_on_top_of_the_right_wooden_cab.png	tasks/composefb2_006__put_the_black_bowl_on_the_plate_then_open_the_middle_drawer_of_the_right_wooden_cabinet_and_finally_put_the_wine_bottle_on_top_of_the_right_wooden_cab	composition|9b09ab6f28999fa99bdc3d3b8e7b1dda9d457fe02d03eb58a878dae39ae96988|frozenset({on(akita_black_bowl_1,plate_1),on(wine_bottle_1,wooden_cabinet_1_top_side),open(wooden_cabinet_1_middle_region)})
COMPOSEFB2_007	FB4_full_goal_scene_plus_left_cabinet	3	true	false	libero_goal	1;3;5	put_the_bowl_on_the_plate;open_the_top_drawer_and_put_the_bowl_inside;put_the_wine_bottle_on_top_of_the_cabinet	Put the bowl on the plate | Open the top layer of the drawer and put the bowl inside | Put the wine bottle on the top of the drawer	Put the black bowl on the plate, then open the top drawer of the right wooden cabinet, and finally put the wine bottle on top of the right wooden cabinet.	on(akita_black_bowl_1, plate_1); open(wooden_cabinet_1_top_region); on(wine_bottle_1, wooden_cabinet_1_top_side)	feedback_full_goal_scene_plus_left_white_cabinet	The complete LIBERO-Goal scene, table type, camera context, object set, and original coordinates are retained. | Only the LIBERO-10 Kitchen Scene 4 white cabinet is added at its exact robot-left coordinate and yaw. | The original Goal wooden cabinet stays at robot-right, and the wine bottle stays at its exact Goal initial coordinate. | The plate starts at its exact original LIBERO-Goal table coordinate. | This exact bowl-to-plate relation is learned in LIBERO-Goal. | This exact drawer-opening subtrajectory is present in the cited LIBERO-40 task. | Both the right wooden cabinet and wine bottle use their exact original LIBERO-Goal poses.	5	5	comparison_png/COMPOSEFB2_007__put_the_black_bowl_on_the_plate_then_open_the_top_drawer_of_the_right_wooden_cabinet_and_finally_put_the_wine_bottle_on_top_of_the_right_wooden_cabine.png	tasks/composefb2_007__put_the_black_bowl_on_the_plate_then_open_the_top_drawer_of_the_right_wooden_cabinet_and_finally_put_the_wine_bottle_on_top_of_the_right_wooden_cabine	composition|9b09ab6f28999fa99bdc3d3b8e7b1dda9d457fe02d03eb58a878dae39ae96988|frozenset({on(akita_black_bowl_1,plate_1),on(wine_bottle_1,wooden_cabinet_1_top_side),open(wooden_cabinet_1_top_region)})
COMPOSEFB2_008	FB4_full_goal_scene_plus_left_cabinet	3	true	false	libero_10;libero_goal	103;10;5	KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it;open_the_middle_drawer_of_the_cabinet;put_the_wine_bottle_on_top_of_the_cabinet	put the black bowl in the bottom drawer of the cabinet and close it | Open the middle layer of the drawer | Put the wine bottle on the top of the drawer	Close the bottom drawer of the left white cabinet, then open the middle drawer of the right wooden cabinet, and finally put the wine bottle on top of the right wooden cabinet.	close(white_cabinet_1_bottom_region); open(wooden_cabinet_1_middle_region); on(wine_bottle_1, wooden_cabinet_1_top_side)	feedback_full_goal_scene_plus_left_white_cabinet	The complete LIBERO-Goal scene, table type, camera context, object set, and original coordinates are retained. | Only the LIBERO-10 Kitchen Scene 4 white cabinet is added at its exact robot-left coordinate and yaw. | The original Goal wooden cabinet stays at robot-right, and the wine bottle stays at its exact Goal initial coordinate. | The plate starts at its exact original LIBERO-Goal table coordinate. | Both the right wooden cabinet and wine bottle use their exact original LIBERO-Goal poses.	5	4	comparison_png/COMPOSEFB2_008__close_the_bottom_drawer_of_the_left_white_cabinet_then_open_the_middle_drawer_of_the_right_wooden_cabinet_and_finally_put_the_wine_bottle_on_top_of_th.png	tasks/composefb2_008__close_the_bottom_drawer_of_the_left_white_cabinet_then_open_the_middle_drawer_of_the_right_wooden_cabinet_and_finally_put_the_wine_bottle_on_top_of_th	composition|9b09ab6f28999fa99bdc3d3b8e7b1dda9d457fe02d03eb58a878dae39ae96988|frozenset({close(white_cabinet_1_bottom_region),on(wine_bottle_1,wooden_cabinet_1_top_side),open(wooden_cabinet_1_middle_region)})
COMPOSEFB2_009	FB4_full_goal_scene_plus_left_cabinet	3	true	false	libero_10;libero_goal	103;3;5	KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it;open_the_top_drawer_and_put_the_bowl_inside;put_the_wine_bottle_on_top_of_the_cabinet	put the black bowl in the bottom drawer of the cabinet and close it | Open the top layer of the drawer and put the bowl inside | Put the wine bottle on the top of the drawer	Close the bottom drawer of the left white cabinet, then open the top drawer of the right wooden cabinet, and finally put the wine bottle on top of the right wooden cabinet.	close(white_cabinet_1_bottom_region); open(wooden_cabinet_1_top_region); on(wine_bottle_1, wooden_cabinet_1_top_side)	feedback_full_goal_scene_plus_left_white_cabinet	The complete LIBERO-Goal scene, table type, camera context, object set, and original coordinates are retained. | Only the LIBERO-10 Kitchen Scene 4 white cabinet is added at its exact robot-left coordinate and yaw. | The original Goal wooden cabinet stays at robot-right, and the wine bottle stays at its exact Goal initial coordinate. | The plate starts at its exact original LIBERO-Goal table coordinate. | This exact drawer-opening subtrajectory is present in the cited LIBERO-40 task. | Both the right wooden cabinet and wine bottle use their exact original LIBERO-Goal poses.	5	4	comparison_png/COMPOSEFB2_009__close_the_bottom_drawer_of_the_left_white_cabinet_then_open_the_top_drawer_of_the_right_wooden_cabinet_and_finally_put_the_wine_bottle_on_top_of_the_r.png	tasks/composefb2_009__close_the_bottom_drawer_of_the_left_white_cabinet_then_open_the_top_drawer_of_the_right_wooden_cabinet_and_finally_put_the_wine_bottle_on_top_of_the_r	composition|9b09ab6f28999fa99bdc3d3b8e7b1dda9d457fe02d03eb58a878dae39ae96988|frozenset({close(white_cabinet_1_bottom_region),on(wine_bottle_1,wooden_cabinet_1_top_side),open(wooden_cabinet_1_top_region)})
COMPOSEFB2_010	FB4_full_goal_scene_plus_left_cabinet	3	true	false	libero_10;libero_goal	103;10	KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it;open_the_middle_drawer_of_the_cabinet	put the black bowl in the bottom drawer of the cabinet and close it | Open the middle layer of the drawer	Put the black bowl in the bottom drawer of the left white cabinet, then close the bottom drawer of the left white cabinet, and finally open the middle drawer of the right wooden cabinet.	in(akita_black_bowl_1, white_cabinet_1_bottom_region); close(white_cabinet_1_bottom_region); open(wooden_cabinet_1_middle_region)	feedback_full_goal_scene_plus_left_white_cabinet	The complete LIBERO-Goal scene, table type, camera context, object set, and original coordinates are retained. | Only the LIBERO-10 Kitchen Scene 4 white cabinet is added at its exact robot-left coordinate and yaw. | The original Goal wooden cabinet stays at robot-right, and the wine bottle stays at its exact Goal initial coordinate. | The plate starts at its exact original LIBERO-Goal table coordinate. | The bowl-to-bottom-drawer primitive comes from LIBERO-10 Kitchen Scene 4; the left white cabinet pose and orientation are unchanged.	5	4	comparison_png/COMPOSEFB2_010__put_the_black_bowl_in_the_bottom_drawer_of_the_left_white_cabinet_then_close_the_bottom_drawer_of_the_left_white_cabinet_and_finally_open_the_middle_d.png	tasks/composefb2_010__put_the_black_bowl_in_the_bottom_drawer_of_the_left_white_cabinet_then_close_the_bottom_drawer_of_the_left_white_cabinet_and_finally_open_the_middle_d	composition|9b09ab6f28999fa99bdc3d3b8e7b1dda9d457fe02d03eb58a878dae39ae96988|frozenset({close(white_cabinet_1_bottom_region),in(akita_black_bowl_1,white_cabinet_1_bottom_region),open(wooden_cabinet_1_middle_region)})
