task_id	family	semantic_subtasks	pure_composition	requires_transition	source_suite	source_task_id	source_task	original_instruction	new_instruction	goal_atom	physical_group	evidence_notes	init_states	action_plan_steps	comparison_png	bundle	canonical_task_signature
COMPOSEFB_001	FB1_two_cabinets_goal_exact_wine	2	true	false	libero_10;libero_goal	103;5	KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it;put_the_wine_bottle_on_top_of_the_cabinet	put the black bowl in the bottom drawer of the cabinet and close it | Put the wine bottle on the top of the drawer	Put the black bowl in the bottom drawer of the left white cabinet, and then put the wine bottle on top of the right wooden cabinet.	in(akita_black_bowl_1, white_cabinet_1_bottom_region); on(wine_bottle_1, wooden_cabinet_1_top_side)	feedback_kitchen4_two_cabinets_goal_exact_wine	The original white cabinet stays at the LIBERO-10 Kitchen Scene 4 robot-left pose. | The wooden cabinet is at the exact LIBERO-Goal robot-right pose. | The wine bottle is at the exact LIBERO-Goal initial pose, correcting the earlier two-cabinet screen. | The wine rack is retained at its exact LIBERO-Goal pose as a learned-scene distractor. | The bowl remains at the exact Kitchen Scene 4 pose to preserve its learned left-drawer trajectory. | The bowl-to-bottom-drawer primitive comes from LIBERO-10 Kitchen Scene 4; the left white cabinet pose and orientation are unchanged. | Both the right wooden cabinet and wine bottle use their exact original LIBERO-Goal poses.	5	4	comparison_png/COMPOSEFB_001__put_the_black_bowl_in_the_bottom_drawer_of_the_left_white_cabinet_and_then_put_the_wine_bottle_on_top_of_the_right_wooden_cabinet.png	tasks/composefb_001__put_the_black_bowl_in_the_bottom_drawer_of_the_left_white_cabinet_and_then_put_the_wine_bottle_on_top_of_the_right_wooden_cabinet	composition|c4ca9b9b9e9b1c97b05bddb87d62abaf42f3bc40a377d93074c535f131cdac9e|frozenset({in(akita_black_bowl_1,white_cabinet_1_bottom_region),on(wine_bottle_1,wooden_cabinet_1_top_side)})
COMPOSEFB_002	FB1_two_cabinets_goal_exact_wine	3	true	false	libero_10;libero_goal	103;5	KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it;put_the_wine_bottle_on_top_of_the_cabinet	put the black bowl in the bottom drawer of the cabinet and close it | Put the wine bottle on the top of the drawer	Put the black bowl in the bottom drawer of the left white cabinet, then close the bottom drawer of the left white cabinet, and finally put the wine bottle on top of the right wooden cabinet.	in(akita_black_bowl_1, white_cabinet_1_bottom_region); close(white_cabinet_1_bottom_region); on(wine_bottle_1, wooden_cabinet_1_top_side)	feedback_kitchen4_two_cabinets_goal_exact_wine	The original white cabinet stays at the LIBERO-10 Kitchen Scene 4 robot-left pose. | The wooden cabinet is at the exact LIBERO-Goal robot-right pose. | The wine bottle is at the exact LIBERO-Goal initial pose, correcting the earlier two-cabinet screen. | The wine rack is retained at its exact LIBERO-Goal pose as a learned-scene distractor. | The bowl remains at the exact Kitchen Scene 4 pose to preserve its learned left-drawer trajectory. | The bowl-to-bottom-drawer primitive comes from LIBERO-10 Kitchen Scene 4; the left white cabinet pose and orientation are unchanged. | Both the right wooden cabinet and wine bottle use their exact original LIBERO-Goal poses.	5	5	comparison_png/COMPOSEFB_002__put_the_black_bowl_in_the_bottom_drawer_of_the_left_white_cabinet_then_close_the_bottom_drawer_of_the_left_white_cabinet_and_finally_put_the_wine_bott.png	tasks/composefb_002__put_the_black_bowl_in_the_bottom_drawer_of_the_left_white_cabinet_then_close_the_bottom_drawer_of_the_left_white_cabinet_and_finally_put_the_wine_bott	composition|c4ca9b9b9e9b1c97b05bddb87d62abaf42f3bc40a377d93074c535f131cdac9e|frozenset({close(white_cabinet_1_bottom_region),in(akita_black_bowl_1,white_cabinet_1_bottom_region),on(wine_bottle_1,wooden_cabinet_1_top_side)})
COMPOSEFB_003	FB1_two_cabinets_goal_exact_wine	2	true	false	libero_10;libero_goal	103;5	KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it;put_the_wine_bottle_on_top_of_the_cabinet	put the black bowl in the bottom drawer of the cabinet and close it | Put the wine bottle on the top of the drawer	Close the bottom drawer of the left white cabinet, and then put the wine bottle on top of the right wooden cabinet.	close(white_cabinet_1_bottom_region); on(wine_bottle_1, wooden_cabinet_1_top_side)	feedback_kitchen4_two_cabinets_goal_exact_wine	The original white cabinet stays at the LIBERO-10 Kitchen Scene 4 robot-left pose. | The wooden cabinet is at the exact LIBERO-Goal robot-right pose. | The wine bottle is at the exact LIBERO-Goal initial pose, correcting the earlier two-cabinet screen. | The wine rack is retained at its exact LIBERO-Goal pose as a learned-scene distractor. | The bowl remains at the exact Kitchen Scene 4 pose to preserve its learned left-drawer trajectory. | Both the right wooden cabinet and wine bottle use their exact original LIBERO-Goal poses.	5	3	comparison_png/COMPOSEFB_003__close_the_bottom_drawer_of_the_left_white_cabinet_and_then_put_the_wine_bottle_on_top_of_the_right_wooden_cabinet.png	tasks/composefb_003__close_the_bottom_drawer_of_the_left_white_cabinet_and_then_put_the_wine_bottle_on_top_of_the_right_wooden_cabinet	composition|c4ca9b9b9e9b1c97b05bddb87d62abaf42f3bc40a377d93074c535f131cdac9e|frozenset({close(white_cabinet_1_bottom_region),on(wine_bottle_1,wooden_cabinet_1_top_side)})
COMPOSEFB_004	FB1_two_cabinets_goal_exact_wine	2	true	false	libero_10	103	KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it	put the black bowl in the bottom drawer of the cabinet and close it	Put the black bowl in the bottom drawer of the left white cabinet, and then close the bottom drawer of the left white cabinet.	in(akita_black_bowl_1, white_cabinet_1_bottom_region); close(white_cabinet_1_bottom_region)	feedback_kitchen4_two_cabinets_goal_exact_wine	The original white cabinet stays at the LIBERO-10 Kitchen Scene 4 robot-left pose. | The wooden cabinet is at the exact LIBERO-Goal robot-right pose. | The wine bottle is at the exact LIBERO-Goal initial pose, correcting the earlier two-cabinet screen. | The wine rack is retained at its exact LIBERO-Goal pose as a learned-scene distractor. | The bowl remains at the exact Kitchen Scene 4 pose to preserve its learned left-drawer trajectory. | The bowl-to-bottom-drawer primitive comes from LIBERO-10 Kitchen Scene 4; the left white cabinet pose and orientation are unchanged.	5	3	comparison_png/COMPOSEFB_004__put_the_black_bowl_in_the_bottom_drawer_of_the_left_white_cabinet_and_then_close_the_bottom_drawer_of_the_left_white_cabinet.png	tasks/composefb_004__put_the_black_bowl_in_the_bottom_drawer_of_the_left_white_cabinet_and_then_close_the_bottom_drawer_of_the_left_white_cabinet	composition|c4ca9b9b9e9b1c97b05bddb87d62abaf42f3bc40a377d93074c535f131cdac9e|frozenset({close(white_cabinet_1_bottom_region),in(akita_black_bowl_1,white_cabinet_1_bottom_region)})
COMPOSEFB_005	FB1_two_cabinets_goal_exact_wine	2	true	false	libero_10;libero_goal	103;3	KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it;open_the_top_drawer_and_put_the_bowl_inside	put the black bowl in the bottom drawer of the cabinet and close it | Open the top layer of the drawer and put the bowl inside	Put the black bowl in the bottom drawer of the left white cabinet, and then open the top drawer of the right wooden cabinet.	in(akita_black_bowl_1, white_cabinet_1_bottom_region); open(wooden_cabinet_1_top_region)	feedback_kitchen4_two_cabinets_goal_exact_wine	The original white cabinet stays at the LIBERO-10 Kitchen Scene 4 robot-left pose. | The wooden cabinet is at the exact LIBERO-Goal robot-right pose. | The wine bottle is at the exact LIBERO-Goal initial pose, correcting the earlier two-cabinet screen. | The wine rack is retained at its exact LIBERO-Goal pose as a learned-scene distractor. | The bowl remains at the exact Kitchen Scene 4 pose to preserve its learned left-drawer trajectory. | The bowl-to-bottom-drawer primitive comes from LIBERO-10 Kitchen Scene 4; the left white cabinet pose and orientation are unchanged. | This exact drawer-opening subtrajectory is present in the cited LIBERO-40 task.	5	3	comparison_png/COMPOSEFB_005__put_the_black_bowl_in_the_bottom_drawer_of_the_left_white_cabinet_and_then_open_the_top_drawer_of_the_right_wooden_cabinet.png	tasks/composefb_005__put_the_black_bowl_in_the_bottom_drawer_of_the_left_white_cabinet_and_then_open_the_top_drawer_of_the_right_wooden_cabinet	composition|c4ca9b9b9e9b1c97b05bddb87d62abaf42f3bc40a377d93074c535f131cdac9e|frozenset({in(akita_black_bowl_1,white_cabinet_1_bottom_region),open(wooden_cabinet_1_top_region)})
COMPOSEFB_006	FB1_two_cabinets_goal_exact_wine	3	true	false	libero_10;libero_goal	103;3	KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it;open_the_top_drawer_and_put_the_bowl_inside	put the black bowl in the bottom drawer of the cabinet and close it | Open the top layer of the drawer and put the bowl inside	Put the black bowl in the bottom drawer of the left white cabinet, then close the bottom drawer of the left white cabinet, and finally open the top drawer of the right wooden cabinet.	in(akita_black_bowl_1, white_cabinet_1_bottom_region); close(white_cabinet_1_bottom_region); open(wooden_cabinet_1_top_region)	feedback_kitchen4_two_cabinets_goal_exact_wine	The original white cabinet stays at the LIBERO-10 Kitchen Scene 4 robot-left pose. | The wooden cabinet is at the exact LIBERO-Goal robot-right pose. | The wine bottle is at the exact LIBERO-Goal initial pose, correcting the earlier two-cabinet screen. | The wine rack is retained at its exact LIBERO-Goal pose as a learned-scene distractor. | The bowl remains at the exact Kitchen Scene 4 pose to preserve its learned left-drawer trajectory. | The bowl-to-bottom-drawer primitive comes from LIBERO-10 Kitchen Scene 4; the left white cabinet pose and orientation are unchanged. | This exact drawer-opening subtrajectory is present in the cited LIBERO-40 task.	5	4	comparison_png/COMPOSEFB_006__put_the_black_bowl_in_the_bottom_drawer_of_the_left_white_cabinet_then_close_the_bottom_drawer_of_the_left_white_cabinet_and_finally_open_the_top_draw.png	tasks/composefb_006__put_the_black_bowl_in_the_bottom_drawer_of_the_left_white_cabinet_then_close_the_bottom_drawer_of_the_left_white_cabinet_and_finally_open_the_top_draw	composition|c4ca9b9b9e9b1c97b05bddb87d62abaf42f3bc40a377d93074c535f131cdac9e|frozenset({close(white_cabinet_1_bottom_region),in(akita_black_bowl_1,white_cabinet_1_bottom_region),open(wooden_cabinet_1_top_region)})
COMPOSEFB_007	FB1_two_cabinets_goal_exact_wine	2	true	false	libero_10;libero_goal	103;10	KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it;open_the_middle_drawer_of_the_cabinet	put the black bowl in the bottom drawer of the cabinet and close it | Open the middle layer of the drawer	Put the black bowl in the bottom drawer of the left white cabinet, and then open the middle drawer of the right wooden cabinet.	in(akita_black_bowl_1, white_cabinet_1_bottom_region); open(wooden_cabinet_1_middle_region)	feedback_kitchen4_two_cabinets_goal_exact_wine	The original white cabinet stays at the LIBERO-10 Kitchen Scene 4 robot-left pose. | The wooden cabinet is at the exact LIBERO-Goal robot-right pose. | The wine bottle is at the exact LIBERO-Goal initial pose, correcting the earlier two-cabinet screen. | The wine rack is retained at its exact LIBERO-Goal pose as a learned-scene distractor. | The bowl remains at the exact Kitchen Scene 4 pose to preserve its learned left-drawer trajectory. | The bowl-to-bottom-drawer primitive comes from LIBERO-10 Kitchen Scene 4; the left white cabinet pose and orientation are unchanged.	5	3	comparison_png/COMPOSEFB_007__put_the_black_bowl_in_the_bottom_drawer_of_the_left_white_cabinet_and_then_open_the_middle_drawer_of_the_right_wooden_cabinet.png	tasks/composefb_007__put_the_black_bowl_in_the_bottom_drawer_of_the_left_white_cabinet_and_then_open_the_middle_drawer_of_the_right_wooden_cabinet	composition|c4ca9b9b9e9b1c97b05bddb87d62abaf42f3bc40a377d93074c535f131cdac9e|frozenset({in(akita_black_bowl_1,white_cabinet_1_bottom_region),open(wooden_cabinet_1_middle_region)})
COMPOSEFB_008	FB1_two_cabinets_goal_exact_wine	3	true	false	libero_10;libero_goal	103;10	KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it;open_the_middle_drawer_of_the_cabinet	put the black bowl in the bottom drawer of the cabinet and close it | Open the middle layer of the drawer	Put the black bowl in the bottom drawer of the left white cabinet, then close the bottom drawer of the left white cabinet, and finally open the middle drawer of the right wooden cabinet.	in(akita_black_bowl_1, white_cabinet_1_bottom_region); close(white_cabinet_1_bottom_region); open(wooden_cabinet_1_middle_region)	feedback_kitchen4_two_cabinets_goal_exact_wine	The original white cabinet stays at the LIBERO-10 Kitchen Scene 4 robot-left pose. | The wooden cabinet is at the exact LIBERO-Goal robot-right pose. | The wine bottle is at the exact LIBERO-Goal initial pose, correcting the earlier two-cabinet screen. | The wine rack is retained at its exact LIBERO-Goal pose as a learned-scene distractor. | The bowl remains at the exact Kitchen Scene 4 pose to preserve its learned left-drawer trajectory. | The bowl-to-bottom-drawer primitive comes from LIBERO-10 Kitchen Scene 4; the left white cabinet pose and orientation are unchanged.	5	4	comparison_png/COMPOSEFB_008__put_the_black_bowl_in_the_bottom_drawer_of_the_left_white_cabinet_then_close_the_bottom_drawer_of_the_left_white_cabinet_and_finally_open_the_middle_d.png	tasks/composefb_008__put_the_black_bowl_in_the_bottom_drawer_of_the_left_white_cabinet_then_close_the_bottom_drawer_of_the_left_white_cabinet_and_finally_open_the_middle_d	composition|c4ca9b9b9e9b1c97b05bddb87d62abaf42f3bc40a377d93074c535f131cdac9e|frozenset({close(white_cabinet_1_bottom_region),in(akita_black_bowl_1,white_cabinet_1_bottom_region),open(wooden_cabinet_1_middle_region)})
COMPOSEFB_009	FB1_two_cabinets_goal_exact_wine	3	true	false	libero_10;libero_goal	103;5;3	KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it;put_the_wine_bottle_on_top_of_the_cabinet;open_the_top_drawer_and_put_the_bowl_inside	put the black bowl in the bottom drawer of the cabinet and close it | Put the wine bottle on the top of the drawer | Open the top layer of the drawer and put the bowl inside	Close the bottom drawer of the left white cabinet, then put the wine bottle on top of the right wooden cabinet, and finally open the top drawer of the right wooden cabinet.	close(white_cabinet_1_bottom_region); on(wine_bottle_1, wooden_cabinet_1_top_side); open(wooden_cabinet_1_top_region)	feedback_kitchen4_two_cabinets_goal_exact_wine	The original white cabinet stays at the LIBERO-10 Kitchen Scene 4 robot-left pose. | The wooden cabinet is at the exact LIBERO-Goal robot-right pose. | The wine bottle is at the exact LIBERO-Goal initial pose, correcting the earlier two-cabinet screen. | The wine rack is retained at its exact LIBERO-Goal pose as a learned-scene distractor. | The bowl remains at the exact Kitchen Scene 4 pose to preserve its learned left-drawer trajectory. | Both the right wooden cabinet and wine bottle use their exact original LIBERO-Goal poses. | This exact drawer-opening subtrajectory is present in the cited LIBERO-40 task.	5	4	comparison_png/COMPOSEFB_009__close_the_bottom_drawer_of_the_left_white_cabinet_then_put_the_wine_bottle_on_top_of_the_right_wooden_cabinet_and_finally_open_the_top_drawer_of_the_r.png	tasks/composefb_009__close_the_bottom_drawer_of_the_left_white_cabinet_then_put_the_wine_bottle_on_top_of_the_right_wooden_cabinet_and_finally_open_the_top_drawer_of_the_r	composition|c4ca9b9b9e9b1c97b05bddb87d62abaf42f3bc40a377d93074c535f131cdac9e|frozenset({close(white_cabinet_1_bottom_region),on(wine_bottle_1,wooden_cabinet_1_top_side),open(wooden_cabinet_1_top_region)})
COMPOSEFB_010	FB1_two_cabinets_goal_exact_wine	3	true	false	libero_10;libero_goal	103;5;10	KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it;put_the_wine_bottle_on_top_of_the_cabinet;open_the_middle_drawer_of_the_cabinet	put the black bowl in the bottom drawer of the cabinet and close it | Put the wine bottle on the top of the drawer | Open the middle layer of the drawer	Close the bottom drawer of the left white cabinet, then put the wine bottle on top of the right wooden cabinet, and finally open the middle drawer of the right wooden cabinet.	close(white_cabinet_1_bottom_region); on(wine_bottle_1, wooden_cabinet_1_top_side); open(wooden_cabinet_1_middle_region)	feedback_kitchen4_two_cabinets_goal_exact_wine	The original white cabinet stays at the LIBERO-10 Kitchen Scene 4 robot-left pose. | The wooden cabinet is at the exact LIBERO-Goal robot-right pose. | The wine bottle is at the exact LIBERO-Goal initial pose, correcting the earlier two-cabinet screen. | The wine rack is retained at its exact LIBERO-Goal pose as a learned-scene distractor. | The bowl remains at the exact Kitchen Scene 4 pose to preserve its learned left-drawer trajectory. | Both the right wooden cabinet and wine bottle use their exact original LIBERO-Goal poses.	5	4	comparison_png/COMPOSEFB_010__close_the_bottom_drawer_of_the_left_white_cabinet_then_put_the_wine_bottle_on_top_of_the_right_wooden_cabinet_and_finally_open_the_middle_drawer_of_th.png	tasks/composefb_010__close_the_bottom_drawer_of_the_left_white_cabinet_then_put_the_wine_bottle_on_top_of_the_right_wooden_cabinet_and_finally_open_the_middle_drawer_of_th	composition|c4ca9b9b9e9b1c97b05bddb87d62abaf42f3bc40a377d93074c535f131cdac9e|frozenset({close(white_cabinet_1_bottom_region),on(wine_bottle_1,wooden_cabinet_1_top_side),open(wooden_cabinet_1_middle_region)})
