task_id	evaluated_instruction	proposed_task_only_instruction	status	note
ADAPT_001	Put the white mug on the middle plate.	Put the white mug on the middle plate.	PASS	
ADAPT_002	Put the white mug on the right plate.	Put the white mug on the right plate.	PASS	
ADAPT_003	Put the black bowl in the middle drawer of the white cabinet.	Put the black bowl in the middle drawer of the white cabinet.	PASS	
ADAPT_004	Close the top drawer of the white cabinet.	Close the top drawer of the white cabinet.	PASS	
ADAPT_005	Close the middle drawer of the white cabinet.	Close the middle drawer of the white cabinet.	PASS	
ADAPT_006	Pick up the wine bottle at the table center and place it on the plate.	Pick up the wine bottle and place it on the plate.	REWRITE_AND_REEVALUATE_IF_SELECTED	The evaluated bundle is preserved; changing policy language requires reevaluation.
ADAPT_007	Put the plate on the top of the wooden cabinet.	Put the plate on the top of the wooden cabinet.	PASS	
ADAPT_008	Put the cream cheese in the top drawer of the wooden cabinet.	Put the cream cheese in the top drawer of the wooden cabinet.	PASS	
ADAPT_009	Put the yellow and white mug in the left compartment of the caddy.	Put the yellow and white mug in the left compartment of the caddy.	PASS	
ADAPT_010	Pick the alphabet soup on the right and place it in the basket on the left.	Pick the alphabet soup and place it in the basket.	REWRITE_AND_REEVALUATE_IF_SELECTED	The evaluated bundle is preserved; changing policy language requires reevaluation.
ADAPT_011	Pick the cream cheese on the right and place it in the basket on the left.	Pick the cream cheese and place it in the basket.	REWRITE_AND_REEVALUATE_IF_SELECTED	The evaluated bundle is preserved; changing policy language requires reevaluation.
ADAPT_012	Pick the salad dressing on the right and place it in the basket on the left.	Pick the salad dressing and place it in the basket.	REWRITE_AND_REEVALUATE_IF_SELECTED	The evaluated bundle is preserved; changing policy language requires reevaluation.
ADAPT_013	Pick the bbq sauce on the right and place it in the basket on the left.	Pick the bbq sauce and place it in the basket.	REWRITE_AND_REEVALUATE_IF_SELECTED	The evaluated bundle is preserved; changing policy language requires reevaluation.
ADAPT_014	Pick the ketchup on the right and place it in the basket on the left.	Pick the ketchup and place it in the basket.	REWRITE_AND_REEVALUATE_IF_SELECTED	The evaluated bundle is preserved; changing policy language requires reevaluation.
ADAPT_015	Pick the tomato sauce on the right and place it in the basket on the left.	Pick the tomato sauce and place it in the basket.	REWRITE_AND_REEVALUATE_IF_SELECTED	The evaluated bundle is preserved; changing policy language requires reevaluation.
ADAPT_016	Pick the butter on the right and place it in the basket on the left.	Pick the butter and place it in the basket.	REWRITE_AND_REEVALUATE_IF_SELECTED	The evaluated bundle is preserved; changing policy language requires reevaluation.
ADAPT_017	Pick the milk on the right and place it in the basket on the left.	Pick the milk and place it in the basket.	REWRITE_AND_REEVALUATE_IF_SELECTED	The evaluated bundle is preserved; changing policy language requires reevaluation.
ADAPT_018	Pick the chocolate pudding on the right and place it in the basket on the left.	Pick the chocolate pudding and place it in the basket.	REWRITE_AND_REEVALUATE_IF_SELECTED	The evaluated bundle is preserved; changing policy language requires reevaluation.
ADAPT_019	Pick the orange juice on the right and place it in the basket on the left.	Pick the orange juice and place it in the basket.	REWRITE_AND_REEVALUATE_IF_SELECTED	The evaluated bundle is preserved; changing policy language requires reevaluation.
ADAPT_020	Turn on the stove while the black bowl starts between the plate and the ramekin.	Turn on the stove.	REWRITE_AND_REEVALUATE_IF_SELECTED	The evaluated bundle is preserved; changing policy language requires reevaluation.
