task_id	batch	family	semantic_subtasks	instruction	goal_atom	source_task	physical_group	successes	episodes	success_rate_percent	success_episode_indices	manual_review	comparison_png	video_directory
UCOMP_001	first_wave_17	goal_drawer_open_before_long_bowl_close	3	Open the middle drawer of the wooden cabinet, then put the black bowl in the bottom drawer of the white cabinet, and finally close the bottom drawer of the white cabinet.	open(wooden_cabinet_1_middle_region); in(akita_black_bowl_1, white_cabinet_1_bottom_region); close(white_cabinet_1_bottom_region)	open_the_middle_drawer_of_the_cabinet;KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it	k4_exact_plus_goal_wooden_no_rack	0	5	0.0		not_applicable	assets/comparison_png/UCOMP_001.png	not_published_for_zero_success_task
UCOMP_002	first_wave_17	goal_drawer_open_before_long_bowl_close	3	Open the top drawer of the wooden cabinet, then put the black bowl in the bottom drawer of the white cabinet, and finally close the bottom drawer of the white cabinet.	open(wooden_cabinet_1_top_region); in(akita_black_bowl_1, white_cabinet_1_bottom_region); close(white_cabinet_1_bottom_region)	open_the_top_drawer_and_put_the_bowl_inside;KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it	k4_exact_plus_goal_wooden_no_rack	0	5	0.0		not_applicable	assets/comparison_png/UCOMP_002.png	not_published_for_zero_success_task
UCOMP_003	first_wave_17	study_mug_plate_before_book_caddy	2	Put the yellow and white mug on the plate, and then put the book in the back compartment of the caddy.	on(white_yellow_mug_1, plate_1); in(black_book_1, desk_caddy_1_back_contain_region)	STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy;LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate	libero10_study1_added_plate	0	5	0.0		not_applicable	assets/comparison_png/UCOMP_003.png	not_published_for_zero_success_task
UCOMP_004	first_wave_17	long_bowl_close_plus_second_goal_bowl_top	3	Put the black bowl in the bottom drawer of the white cabinet, close it, and then put the second black bowl on top of the wooden cabinet.	in(akita_black_bowl_1, white_cabinet_1_bottom_region); close(white_cabinet_1_bottom_region); on(akita_black_bowl_2,wooden_cabinet_1_top_side)	KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it;put_the_bowl_on_top_of_the_cabinet	k4_exact_plus_goal_wooden_second_goal_bowl_no_rack	0	5	0.0		not_applicable	assets/comparison_png/UCOMP_004.png	not_published_for_zero_success_task
UCOMP_005	first_wave_17	second_goal_bowl_top_plus_long_bowl_close	3	Put the second black bowl on top of the wooden cabinet, then put the black bowl in the bottom drawer of the white cabinet, and finally close the bottom drawer of the white cabinet.	on(akita_black_bowl_2,wooden_cabinet_1_top_side); in(akita_black_bowl_1, white_cabinet_1_bottom_region); close(white_cabinet_1_bottom_region)	put_the_bowl_on_top_of_the_cabinet;KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it	k4_exact_plus_goal_wooden_second_goal_bowl_no_rack	0	5	0.0		not_applicable	assets/comparison_png/UCOMP_005.png	not_published_for_zero_success_task
UCOMP_006	first_wave_17	object05_basket_then_mug_plate	2	Put the ketchup in the basket, and then put the yellow and white mug on the plate.	in(ketchup_1, basket_1_contain_region); on(white_yellow_mug_1,plate_1)	pick_up_the_ketchup_and_place_it_in_the_basket;LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate	object05_reduced_plus_mug_plate_layout_A	0	5	0.0		not_applicable	assets/comparison_png/UCOMP_006.png	not_published_for_zero_success_task
UCOMP_007	first_wave_17	object05_mug_plate_then_basket	2	Put the yellow and white mug on the plate, and then put the ketchup in the basket.	on(white_yellow_mug_1,plate_1); in(ketchup_1, basket_1_contain_region)	pick_up_the_ketchup_and_place_it_in_the_basket;LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate	object05_reduced_plus_mug_plate_layout_A	0	5	0.0		not_applicable	assets/comparison_png/UCOMP_007.png	not_published_for_zero_success_task
UCOMP_008	first_wave_17	object05_basket_then_mug_plate	2	Put the milk in the basket, and then put the yellow and white mug on the plate.	in(milk_1, basket_1_contain_region); on(white_yellow_mug_1,plate_1)	pick_up_the_ketchup_and_place_it_in_the_basket;pick_up_the_milk_and_place_it_in_the_basket;LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate	object05_reduced_plus_mug_plate_layout_A	0	5	0.0		not_applicable	assets/comparison_png/UCOMP_008.png	not_published_for_zero_success_task
UCOMP_009	first_wave_17	object05_mug_plate_then_basket	2	Put the yellow and white mug on the plate, and then put the milk in the basket.	on(white_yellow_mug_1,plate_1); in(milk_1, basket_1_contain_region)	pick_up_the_ketchup_and_place_it_in_the_basket;LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate;pick_up_the_milk_and_place_it_in_the_basket	object05_reduced_plus_mug_plate_layout_A	0	5	0.0		not_applicable	assets/comparison_png/UCOMP_009.png	not_published_for_zero_success_task
UCOMP_010	first_wave_17	object05_basket_then_mug_plate	2	Put the salad dressing in the basket, and then put the yellow and white mug on the plate.	in(salad_dressing_1, basket_1_contain_region); on(white_yellow_mug_1,plate_1)	pick_up_the_ketchup_and_place_it_in_the_basket;pick_up_the_salad_dressing_and_place_it_in_the_basket;LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate	object05_reduced_plus_mug_plate_layout_A	0	5	0.0		not_applicable	assets/comparison_png/UCOMP_010.png	not_published_for_zero_success_task
UCOMP_011	first_wave_17	object05_mug_plate_then_basket	2	Put the yellow and white mug on the plate, and then put the salad dressing in the basket.	on(white_yellow_mug_1,plate_1); in(salad_dressing_1, basket_1_contain_region)	pick_up_the_ketchup_and_place_it_in_the_basket;LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate;pick_up_the_salad_dressing_and_place_it_in_the_basket	object05_reduced_plus_mug_plate_layout_A	0	5	0.0		not_applicable	assets/comparison_png/UCOMP_011.png	not_published_for_zero_success_task
UCOMP_012	first_wave_17	object05_basket_then_mug_plate	2	Put the ketchup in the basket, and then put the yellow and white mug on the plate.	in(ketchup_1, basket_1_contain_region); on(white_yellow_mug_1,plate_1)	pick_up_the_ketchup_and_place_it_in_the_basket;LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate	object05_reduced_plus_mug_plate_layout_B	1	5	20.0	4	pass	assets/comparison_png/UCOMP_012.png	assets/success_reels/UCOMP_012.mp4
UCOMP_013	first_wave_17	object05_mug_plate_then_basket	2	Put the yellow and white mug on the plate, and then put the ketchup in the basket.	on(white_yellow_mug_1,plate_1); in(ketchup_1, basket_1_contain_region)	pick_up_the_ketchup_and_place_it_in_the_basket;LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate	object05_reduced_plus_mug_plate_layout_B	0	5	0.0		not_applicable	assets/comparison_png/UCOMP_013.png	not_published_for_zero_success_task
UCOMP_014	first_wave_17	object05_basket_then_mug_plate	2	Put the milk in the basket, and then put the yellow and white mug on the plate.	in(milk_1, basket_1_contain_region); on(white_yellow_mug_1,plate_1)	pick_up_the_ketchup_and_place_it_in_the_basket;pick_up_the_milk_and_place_it_in_the_basket;LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate	object05_reduced_plus_mug_plate_layout_B	0	5	0.0		not_applicable	assets/comparison_png/UCOMP_014.png	not_published_for_zero_success_task
UCOMP_015	first_wave_17	object05_mug_plate_then_basket	2	Put the yellow and white mug on the plate, and then put the milk in the basket.	on(white_yellow_mug_1,plate_1); in(milk_1, basket_1_contain_region)	pick_up_the_ketchup_and_place_it_in_the_basket;LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate;pick_up_the_milk_and_place_it_in_the_basket	object05_reduced_plus_mug_plate_layout_B	0	5	0.0		not_applicable	assets/comparison_png/UCOMP_015.png	not_published_for_zero_success_task
UCOMP_016	first_wave_17	object05_basket_then_mug_plate	2	Put the salad dressing in the basket, and then put the yellow and white mug on the plate.	in(salad_dressing_1, basket_1_contain_region); on(white_yellow_mug_1,plate_1)	pick_up_the_ketchup_and_place_it_in_the_basket;pick_up_the_salad_dressing_and_place_it_in_the_basket;LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate	object05_reduced_plus_mug_plate_layout_B	0	5	0.0		not_applicable	assets/comparison_png/UCOMP_016.png	not_published_for_zero_success_task
UCOMP_017	first_wave_17	object05_mug_plate_then_basket	2	Put the yellow and white mug on the plate, and then put the salad dressing in the basket.	on(white_yellow_mug_1,plate_1); in(salad_dressing_1, basket_1_contain_region)	pick_up_the_ketchup_and_place_it_in_the_basket;LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate;pick_up_the_salad_dressing_and_place_it_in_the_basket	object05_reduced_plus_mug_plate_layout_B	0	5	0.0		not_applicable	assets/comparison_png/UCOMP_017.png	not_published_for_zero_success_task
UCOMP_018	source_aligned_26	object05_target_slot_pudding_right_basket_first	2	Put the ketchup in the basket, and then put the chocolate pudding to the right of the plate.	in(ketchup_1, basket_1_contain_region); on(chocolate_pudding_1,floor_transferred_plate_right_region)	pick_up_the_ketchup_and_place_it_in_the_basket;LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate	object05_target_slot__ketchup_1__pudding_right	0	5	0.0		not_applicable	assets/comparison_png/UCOMP_018.png	not_published_for_zero_success_task
