task_id	family	source_suite	source_task_id	source_task	original_instruction	new_instruction	goal_atom	physical_group	evidence_notes	init_states	comparison_png	bundle
BDRSIDE_001	F1_object_to_left_bowl_drainer_compartment	libero_object	1	pick_up_the_alphabet_soup_and_place_it_in_the_basket	Pick the alphabet soup and place it in the basket	Pick the alphabet soup and place it in the left compartment of the bowl drainer.	in(alphabet_soup_1, bowl_drainer_1_left_region)	object_01_alphabet_soup_drainer_left	Prior either-compartment task: BDRAIN_001. | Left/right are robot-relative (+Y/-Y with unchanged native yaw 0), not camera left/right. | Wrong compartment and divider are not accepted. No union mask or OR success adapter. | Drainer translation is computed from native site centers before inference; no outcome-based pose tuning. | Set the drainer collision bottom on the real physical floor plane z=0, not LIBERO's logical floor_offset=-0.035. | No installed mesh, collision geometry, native site or native success predicate is edited.	5	comparison_png/BDRSIDE_001__comparison.png	tasks/bdrside_001__pick_the_alphabet_soup_and_place_it_in_the_left_compartment_of_the_bowl_drainer
BDRSIDE_002	F1_object_to_right_bowl_drainer_compartment	libero_object	1	pick_up_the_alphabet_soup_and_place_it_in_the_basket	Pick the alphabet soup and place it in the basket	Pick the alphabet soup and place it in the right compartment of the bowl drainer.	in(alphabet_soup_1, bowl_drainer_1_right_region)	object_01_alphabet_soup_drainer_right	Prior either-compartment task: BDRAIN_001. | Left/right are robot-relative (+Y/-Y with unchanged native yaw 0), not camera left/right. | Wrong compartment and divider are not accepted. No union mask or OR success adapter. | Drainer translation is computed from native site centers before inference; no outcome-based pose tuning. | Set the drainer collision bottom on the real physical floor plane z=0, not LIBERO's logical floor_offset=-0.035. | No installed mesh, collision geometry, native site or native success predicate is edited.	5	comparison_png/BDRSIDE_002__comparison.png	tasks/bdrside_002__pick_the_alphabet_soup_and_place_it_in_the_right_compartment_of_the_bowl_drainer
BDRSIDE_003	F1_object_to_left_bowl_drainer_compartment	libero_object	2	pick_up_the_cream_cheese_and_place_it_in_the_basket	Pick the cream cheese and place it in the basket	Pick the cream cheese and place it in the left compartment of the bowl drainer.	in(cream_cheese_1, bowl_drainer_1_left_region)	object_02_cream_cheese_drainer_left	Prior either-compartment task: BDRAIN_002. | Left/right are robot-relative (+Y/-Y with unchanged native yaw 0), not camera left/right. | Wrong compartment and divider are not accepted. No union mask or OR success adapter. | Drainer translation is computed from native site centers before inference; no outcome-based pose tuning. | Set the drainer collision bottom on the real physical floor plane z=0, not LIBERO's logical floor_offset=-0.035. | No installed mesh, collision geometry, native site or native success predicate is edited.	5	comparison_png/BDRSIDE_003__comparison.png	tasks/bdrside_003__pick_the_cream_cheese_and_place_it_in_the_left_compartment_of_the_bowl_drainer
BDRSIDE_004	F1_object_to_right_bowl_drainer_compartment	libero_object	2	pick_up_the_cream_cheese_and_place_it_in_the_basket	Pick the cream cheese and place it in the basket	Pick the cream cheese and place it in the right compartment of the bowl drainer.	in(cream_cheese_1, bowl_drainer_1_right_region)	object_02_cream_cheese_drainer_right	Prior either-compartment task: BDRAIN_002. | Left/right are robot-relative (+Y/-Y with unchanged native yaw 0), not camera left/right. | Wrong compartment and divider are not accepted. No union mask or OR success adapter. | Drainer translation is computed from native site centers before inference; no outcome-based pose tuning. | Set the drainer collision bottom on the real physical floor plane z=0, not LIBERO's logical floor_offset=-0.035. | No installed mesh, collision geometry, native site or native success predicate is edited.	5	comparison_png/BDRSIDE_004__comparison.png	tasks/bdrside_004__pick_the_cream_cheese_and_place_it_in_the_right_compartment_of_the_bowl_drainer
BDRSIDE_005	F1_object_to_left_bowl_drainer_compartment	libero_object	6	pick_up_the_tomato_sauce_and_place_it_in_the_basket	Pick the tomato sauce and place it in the basket	Pick the tomato sauce and place it in the left compartment of the bowl drainer.	in(tomato_sauce_1, bowl_drainer_1_left_region)	object_06_tomato_sauce_drainer_left	Prior either-compartment task: BDRAIN_003. | Left/right are robot-relative (+Y/-Y with unchanged native yaw 0), not camera left/right. | Wrong compartment and divider are not accepted. No union mask or OR success adapter. | Drainer translation is computed from native site centers before inference; no outcome-based pose tuning. | Set the drainer collision bottom on the real physical floor plane z=0, not LIBERO's logical floor_offset=-0.035. | No installed mesh, collision geometry, native site or native success predicate is edited.	5	comparison_png/BDRSIDE_005__comparison.png	tasks/bdrside_005__pick_the_tomato_sauce_and_place_it_in_the_left_compartment_of_the_bowl_drainer
BDRSIDE_006	F1_object_to_right_bowl_drainer_compartment	libero_object	6	pick_up_the_tomato_sauce_and_place_it_in_the_basket	Pick the tomato sauce and place it in the basket	Pick the tomato sauce and place it in the right compartment of the bowl drainer.	in(tomato_sauce_1, bowl_drainer_1_right_region)	object_06_tomato_sauce_drainer_right	Prior either-compartment task: BDRAIN_003. | Left/right are robot-relative (+Y/-Y with unchanged native yaw 0), not camera left/right. | Wrong compartment and divider are not accepted. No union mask or OR success adapter. | Drainer translation is computed from native site centers before inference; no outcome-based pose tuning. | Set the drainer collision bottom on the real physical floor plane z=0, not LIBERO's logical floor_offset=-0.035. | No installed mesh, collision geometry, native site or native success predicate is edited.	5	comparison_png/BDRSIDE_006__comparison.png	tasks/bdrside_006__pick_the_tomato_sauce_and_place_it_in_the_right_compartment_of_the_bowl_drainer
BDRSIDE_007	F1_object_to_left_bowl_drainer_compartment	libero_object	7	pick_up_the_butter_and_place_it_in_the_basket	Pick the butter and place it in the basket	Pick the butter and place it in the left compartment of the bowl drainer.	in(butter_1, bowl_drainer_1_left_region)	object_07_butter_drainer_left	Prior either-compartment task: BDRAIN_004. | Left/right are robot-relative (+Y/-Y with unchanged native yaw 0), not camera left/right. | Wrong compartment and divider are not accepted. No union mask or OR success adapter. | Drainer translation is computed from native site centers before inference; no outcome-based pose tuning. | Set the drainer collision bottom on the real physical floor plane z=0, not LIBERO's logical floor_offset=-0.035. | No installed mesh, collision geometry, native site or native success predicate is edited.	5	comparison_png/BDRSIDE_007__comparison.png	tasks/bdrside_007__pick_the_butter_and_place_it_in_the_left_compartment_of_the_bowl_drainer
BDRSIDE_008	F1_object_to_right_bowl_drainer_compartment	libero_object	7	pick_up_the_butter_and_place_it_in_the_basket	Pick the butter and place it in the basket	Pick the butter and place it in the right compartment of the bowl drainer.	in(butter_1, bowl_drainer_1_right_region)	object_07_butter_drainer_right	Prior either-compartment task: BDRAIN_004. | Left/right are robot-relative (+Y/-Y with unchanged native yaw 0), not camera left/right. | Wrong compartment and divider are not accepted. No union mask or OR success adapter. | Drainer translation is computed from native site centers before inference; no outcome-based pose tuning. | Set the drainer collision bottom on the real physical floor plane z=0, not LIBERO's logical floor_offset=-0.035. | No installed mesh, collision geometry, native site or native success predicate is edited.	5	comparison_png/BDRSIDE_008__comparison.png	tasks/bdrside_008__pick_the_butter_and_place_it_in_the_right_compartment_of_the_bowl_drainer
BDRSIDE_009	F1_object_to_left_bowl_drainer_compartment	libero_object	9	pick_up_the_chocolate_pudding_and_place_it_in_the_basket	Pick the chocolate pudding and place it in the basket	Pick the chocolate pudding and place it in the left compartment of the bowl drainer.	in(chocolate_pudding_1, bowl_drainer_1_left_region)	object_09_chocolate_pudding_drainer_left	Prior either-compartment task: BDRAIN_005. | Left/right are robot-relative (+Y/-Y with unchanged native yaw 0), not camera left/right. | Wrong compartment and divider are not accepted. No union mask or OR success adapter. | Drainer translation is computed from native site centers before inference; no outcome-based pose tuning. | Set the drainer collision bottom on the real physical floor plane z=0, not LIBERO's logical floor_offset=-0.035. | No installed mesh, collision geometry, native site or native success predicate is edited.	5	comparison_png/BDRSIDE_009__comparison.png	tasks/bdrside_009__pick_the_chocolate_pudding_and_place_it_in_the_left_compartment_of_the_bowl_drainer
BDRSIDE_010	F1_object_to_right_bowl_drainer_compartment	libero_object	9	pick_up_the_chocolate_pudding_and_place_it_in_the_basket	Pick the chocolate pudding and place it in the basket	Pick the chocolate pudding and place it in the right compartment of the bowl drainer.	in(chocolate_pudding_1, bowl_drainer_1_right_region)	object_09_chocolate_pudding_drainer_right	Prior either-compartment task: BDRAIN_005. | Left/right are robot-relative (+Y/-Y with unchanged native yaw 0), not camera left/right. | Wrong compartment and divider are not accepted. No union mask or OR success adapter. | Drainer translation is computed from native site centers before inference; no outcome-based pose tuning. | Set the drainer collision bottom on the real physical floor plane z=0, not LIBERO's logical floor_offset=-0.035. | No installed mesh, collision geometry, native site or native success predicate is edited.	5	comparison_png/BDRSIDE_010__comparison.png	tasks/bdrside_010__pick_the_chocolate_pudding_and_place_it_in_the_right_compartment_of_the_bowl_drainer
