task_id	family	instruction	skill_sources	scene_sources	all_sources	transfer_summary
ADAPTX_001	X1_long_to_goal_plate	Put the white mug on the plate.	LIBERO_10_05	LIBERO_GOAL_09	LIBERO_10_05,LIBERO_GOAL_09	LIBERO-10 mug-to-plate is executed in the LIBERO-Goal scene.
ADAPTX_002	X1_long_to_goal_plate	Put the yellow and white mug on the plate.	LIBERO_10_05	LIBERO_GOAL_09	LIBERO_10_05,LIBERO_GOAL_09	LIBERO-10 mug-to-plate is executed in the LIBERO-Goal scene.
ADAPTX_003	X2_long_to_goal_stove	Put the moka pot on the stove.	LIBERO_10_03	LIBERO_GOAL_09	LIBERO_10_03,LIBERO_GOAL_09	LIBERO-10 moka-pot placement is executed on the Goal-scene stove.
ADAPTX_004	X3_long_to_goal_drawer	Put the yellow and white mug in the bottom drawer of the wooden cabinet.	LIBERO_10_04,LIBERO_10_05	LIBERO_GOAL_09	LIBERO_10_04,LIBERO_GOAL_09,LIBERO_10_05	The LIBERO-10 white-cabinet insertion skill is applied to the Goal wooden cabinet.
ADAPTX_005	X3_long_to_goal_drawer	Close the bottom drawer of the wooden cabinet.	LIBERO_10_04	LIBERO_GOAL_09	LIBERO_10_04,LIBERO_GOAL_09	The LIBERO-10 bottom-drawer close is executed on the Goal wooden cabinet.
ADAPTX_006	X4_long_to_goal_caddy	Put the book in the back compartment of the caddy.	LIBERO_10_06	LIBERO_GOAL_09	LIBERO_10_06,LIBERO_GOAL_09,LIBERO_GOAL_10	The LIBERO-10 caddy skill is executed after importing the caddy into the Goal scene.
ADAPTX_007	X4_long_to_goal_caddy	Put the book in the left compartment of the caddy.	LIBERO_10_06	LIBERO_GOAL_09	LIBERO_10_06,LIBERO_GOAL_09,LIBERO_GOAL_10	The LIBERO-10 caddy skill is executed after importing the caddy into the Goal scene.
ADAPTX_008	X5_long_to_goal_microwave	Put the yellow and white mug in the microwave.	LIBERO_10_10	LIBERO_GOAL_09	LIBERO_10_10,LIBERO_GOAL_09,LIBERO_GOAL_10	The LIBERO-10 microwave insertion is executed after importing the fixture into the Goal scene.
ADAPTX_009	X5_long_to_goal_microwave	Close the microwave door.	LIBERO_10_10	LIBERO_GOAL_09	LIBERO_10_10,LIBERO_GOAL_09,LIBERO_GOAL_10	The LIBERO-10 microwave close is executed on an imported Goal-scene microwave.
ADAPTX_010	X6_long_to_spatial_plate	Put the white mug on the plate.	LIBERO_10_05	LIBERO_SPATIAL_01	LIBERO_10_05,LIBERO_SPATIAL_01	A LIBERO-10 mug-to-plate skill is transferred across a Spatial source relation.
ADAPTX_011	X6_long_to_spatial_plate	Put the yellow and white mug on the plate.	LIBERO_10_05	LIBERO_SPATIAL_01	LIBERO_10_05,LIBERO_SPATIAL_01	A LIBERO-10 mug-to-plate skill is transferred across a Spatial source relation.
ADAPTX_012	X7_long_to_spatial_stove	Put the moka pot on the stove.	LIBERO_10_03	LIBERO_SPATIAL_01	LIBERO_10_03,LIBERO_SPATIAL_01	LIBERO-10 moka-pot placement is transferred into a Spatial scene.
ADAPTX_013	X6_long_to_spatial_plate	Put the white mug on the plate.	LIBERO_10_05	LIBERO_SPATIAL_02	LIBERO_10_05,LIBERO_SPATIAL_02	A LIBERO-10 mug-to-plate skill is transferred across a Spatial source relation.
ADAPTX_014	X6_long_to_spatial_plate	Put the yellow and white mug on the plate.	LIBERO_10_05	LIBERO_SPATIAL_02	LIBERO_10_05,LIBERO_SPATIAL_02	A LIBERO-10 mug-to-plate skill is transferred across a Spatial source relation.
ADAPTX_015	X7_long_to_spatial_stove	Put the moka pot on the stove.	LIBERO_10_03	LIBERO_SPATIAL_02	LIBERO_10_03,LIBERO_SPATIAL_02	LIBERO-10 moka-pot placement is transferred into a Spatial scene.
ADAPTX_016	X6_long_to_spatial_plate	Put the white mug on the plate.	LIBERO_10_05	LIBERO_SPATIAL_03	LIBERO_10_05,LIBERO_SPATIAL_03	A LIBERO-10 mug-to-plate skill is transferred across a Spatial source relation.
