candidate_id	task_id	source_task_id	original_instruction	original_target	left_object	right_object	left_initial_region	right_initial_region	bucket	pilot_batch	instruction	physical_signature	policy_status	native_sr_percent	strict_composition_sr_percent	simulator_initial_states	definition	strict_successes	native_final_count	native_ordered_count
BDRCENS_001	BDRCOMP_021	LIBERO_OBJECT_01	Pick the alphabet soup and place it in the basket	alphabet_soup_1	alphabet_soup_1	salad_dressing_1	floor_target_object_region	floor_other_object_region_0	original_target_first	extension20	Pick the alphabet soup and place it in the left compartment of the bowl drainer, then pick the salad dressing and place it in the right compartment of the bowl drainer.	9610d988549c9e51e542bbbd555c1e846c70efea8364b099b8c1647b1196b25d	evaluated		40	5	definitions/BDRCENS_001.bddl	2	2	2
BDRCENS_002	BDRCOMP_001	LIBERO_OBJECT_01	Pick the alphabet soup and place it in the basket	alphabet_soup_1	alphabet_soup_1	cream_cheese_1	floor_target_object_region	floor_other_object_region_1	original_target_first	anchor20	Pick the alphabet soup and place it in the left compartment of the bowl drainer, then pick the cream cheese and place it in the right compartment of the bowl drainer.	c3f956a3c23704cfc82ebbd9ea9ae737620c73e58ccaaa912e45a3ffede001cf	evaluated		0	5	definitions/BDRCENS_002.bddl	0	0	0
BDRCENS_003		LIBERO_OBJECT_01	Pick the alphabet soup and place it in the basket	alphabet_soup_1	alphabet_soup_1	milk_1	floor_target_object_region	floor_other_object_region_2	original_target_first		Pick the alphabet soup and place it in the left compartment of the bowl drainer, then pick the milk and place it in the right compartment of the bowl drainer.	29756135569b0f8f20d02ff1d528b1004025add0c43ed678b6b763aefdf21211	not evaluated			0	definitions/BDRCENS_003.bddl			
BDRCENS_004		LIBERO_OBJECT_01	Pick the alphabet soup and place it in the basket	alphabet_soup_1	alphabet_soup_1	tomato_sauce_1	floor_target_object_region	floor_other_object_region_3	original_target_first		Pick the alphabet soup and place it in the left compartment of the bowl drainer, then pick the tomato sauce and place it in the right compartment of the bowl drainer.	2b9e72bdfeb1a00ad6d788172acceda30d6dec3e7dd99f66e84802746048a253	not evaluated			0	definitions/BDRCENS_004.bddl			
BDRCENS_005		LIBERO_OBJECT_01	Pick the alphabet soup and place it in the basket	alphabet_soup_1	alphabet_soup_1	butter_1	floor_target_object_region	floor_other_object_region_4	original_target_first		Pick the alphabet soup and place it in the left compartment of the bowl drainer, then pick the butter and place it in the right compartment of the bowl drainer.	c7835ae176a694f26a3104868d8d6a8da4dba0aee30f91140fb0251e9a398573	not evaluated			0	definitions/BDRCENS_005.bddl			
BDRCENS_006	BDRCOMP_022	LIBERO_OBJECT_01	Pick the alphabet soup and place it in the basket	alphabet_soup_1	salad_dressing_1	alphabet_soup_1	floor_other_object_region_0	floor_target_object_region	original_target_second	extension20	Pick the salad dressing and place it in the left compartment of the bowl drainer, then pick the alphabet soup and place it in the right compartment of the bowl drainer.	80aa83145f5da65eb94e9077177e6b6004a706a251f24a828a7ee5f82cd03a63	evaluated		0	5	definitions/BDRCENS_006.bddl	0	0	0
BDRCENS_007		LIBERO_OBJECT_01	Pick the alphabet soup and place it in the basket	alphabet_soup_1	salad_dressing_1	cream_cheese_1	floor_other_object_region_0	floor_other_object_region_1	two_original_distractors		Pick the salad dressing and place it in the left compartment of the bowl drainer, then pick the cream cheese and place it in the right compartment of the bowl drainer.	9321ec27bb788f09cc494545c97ff5f3729150787ad97c76fc06c3950855d520	not evaluated			0	definitions/BDRCENS_007.bddl			
BDRCENS_008		LIBERO_OBJECT_01	Pick the alphabet soup and place it in the basket	alphabet_soup_1	salad_dressing_1	milk_1	floor_other_object_region_0	floor_other_object_region_2	two_original_distractors		Pick the salad dressing and place it in the left compartment of the bowl drainer, then pick the milk and place it in the right compartment of the bowl drainer.	3c1ce29315c06711c66b689e140cc652510d528a1114c9808b326040e1a21b8a	not evaluated			0	definitions/BDRCENS_008.bddl			
BDRCENS_009		LIBERO_OBJECT_01	Pick the alphabet soup and place it in the basket	alphabet_soup_1	salad_dressing_1	tomato_sauce_1	floor_other_object_region_0	floor_other_object_region_3	two_original_distractors		Pick the salad dressing and place it in the left compartment of the bowl drainer, then pick the tomato sauce and place it in the right compartment of the bowl drainer.	1459cbdcd0d5c2b5a13b24c7c0852bc46134d33309e3b3779043f9d621cf298a	not evaluated			0	definitions/BDRCENS_009.bddl			
BDRCENS_010		LIBERO_OBJECT_01	Pick the alphabet soup and place it in the basket	alphabet_soup_1	salad_dressing_1	butter_1	floor_other_object_region_0	floor_other_object_region_4	two_original_distractors		Pick the salad dressing and place it in the left compartment of the bowl drainer, then pick the butter and place it in the right compartment of the bowl drainer.	5feaf9b52830f11ee4d077d415fb8c8f2a8f4a6c885d7b132b695d7ec2f16d93	not evaluated			0	definitions/BDRCENS_010.bddl			
BDRCENS_011	BDRCOMP_002	LIBERO_OBJECT_01	Pick the alphabet soup and place it in the basket	alphabet_soup_1	cream_cheese_1	alphabet_soup_1	floor_other_object_region_1	floor_target_object_region	original_target_second	anchor20	Pick the cream cheese and place it in the left compartment of the bowl drainer, then pick the alphabet soup and place it in the right compartment of the bowl drainer.	52824af0caff6d9104ea6922953b8fecbcb923c15341c8163892e6abb4fc853e	evaluated		0	5	definitions/BDRCENS_011.bddl	0	0	0
BDRCENS_012		LIBERO_OBJECT_01	Pick the alphabet soup and place it in the basket	alphabet_soup_1	cream_cheese_1	salad_dressing_1	floor_other_object_region_1	floor_other_object_region_0	two_original_distractors		Pick the cream cheese and place it in the left compartment of the bowl drainer, then pick the salad dressing and place it in the right compartment of the bowl drainer.	9ea2c159808e426c807a4cea0d98ad1dd6c5dd527d4333a40b8e0b09e60767b0	not evaluated			0	definitions/BDRCENS_012.bddl			
BDRCENS_013		LIBERO_OBJECT_01	Pick the alphabet soup and place it in the basket	alphabet_soup_1	cream_cheese_1	milk_1	floor_other_object_region_1	floor_other_object_region_2	two_original_distractors		Pick the cream cheese and place it in the left compartment of the bowl drainer, then pick the milk and place it in the right compartment of the bowl drainer.	df21c29353b8e18ab13afe3443f356b589186511d887fb29dc14dcc6e56e360c	not evaluated			0	definitions/BDRCENS_013.bddl			
BDRCENS_014		LIBERO_OBJECT_01	Pick the alphabet soup and place it in the basket	alphabet_soup_1	cream_cheese_1	tomato_sauce_1	floor_other_object_region_1	floor_other_object_region_3	two_original_distractors		Pick the cream cheese and place it in the left compartment of the bowl drainer, then pick the tomato sauce and place it in the right compartment of the bowl drainer.	c0c0ca53b85cce4111275a2ea99ecb52c4a4c6b6a61a7774e5800dec0fa097a0	not evaluated			0	definitions/BDRCENS_014.bddl			
BDRCENS_015		LIBERO_OBJECT_01	Pick the alphabet soup and place it in the basket	alphabet_soup_1	cream_cheese_1	butter_1	floor_other_object_region_1	floor_other_object_region_4	two_original_distractors		Pick the cream cheese and place it in the left compartment of the bowl drainer, then pick the butter and place it in the right compartment of the bowl drainer.	bb7b874258c400c141966f9ba82dea01ef0606e915b07245783bd54ed6df81b1	not evaluated			0	definitions/BDRCENS_015.bddl			
BDRCENS_016		LIBERO_OBJECT_01	Pick the alphabet soup and place it in the basket	alphabet_soup_1	milk_1	alphabet_soup_1	floor_other_object_region_2	floor_target_object_region	original_target_second		Pick the milk and place it in the left compartment of the bowl drainer, then pick the alphabet soup and place it in the right compartment of the bowl drainer.	fc7adf5bd45ba7ab366d9a3eb62ba165994d14dddabdc904ede22d2a56587a29	not evaluated			0	definitions/BDRCENS_016.bddl			
BDRCENS_017		LIBERO_OBJECT_01	Pick the alphabet soup and place it in the basket	alphabet_soup_1	milk_1	salad_dressing_1	floor_other_object_region_2	floor_other_object_region_0	two_original_distractors		Pick the milk and place it in the left compartment of the bowl drainer, then pick the salad dressing and place it in the right compartment of the bowl drainer.	2b2058f9d89ad7ffe9f85d6a631725cab291f6513cdff2fab2795d0489b2bf88	not evaluated			0	definitions/BDRCENS_017.bddl			
BDRCENS_018		LIBERO_OBJECT_01	Pick the alphabet soup and place it in the basket	alphabet_soup_1	milk_1	cream_cheese_1	floor_other_object_region_2	floor_other_object_region_1	two_original_distractors		Pick the milk and place it in the left compartment of the bowl drainer, then pick the cream cheese and place it in the right compartment of the bowl drainer.	a2cf78be95d93a81aede0212bf695b33ad1cbedcc073cf821972e56b64160771	not evaluated			0	definitions/BDRCENS_018.bddl			
BDRCENS_019		LIBERO_OBJECT_01	Pick the alphabet soup and place it in the basket	alphabet_soup_1	milk_1	tomato_sauce_1	floor_other_object_region_2	floor_other_object_region_3	two_original_distractors		Pick the milk and place it in the left compartment of the bowl drainer, then pick the tomato sauce and place it in the right compartment of the bowl drainer.	44074cc35095a70237860eeb543bf4923cb1fecaa6dde92473e11213d692e76a	not evaluated			0	definitions/BDRCENS_019.bddl			
BDRCENS_020		LIBERO_OBJECT_01	Pick the alphabet soup and place it in the basket	alphabet_soup_1	milk_1	butter_1	floor_other_object_region_2	floor_other_object_region_4	two_original_distractors		Pick the milk and place it in the left compartment of the bowl drainer, then pick the butter and place it in the right compartment of the bowl drainer.	dd26cbc5a73067d82147f709e1db32d1134e201b0702bf78d9670d022d1dbea1	not evaluated			0	definitions/BDRCENS_020.bddl			
BDRCENS_021		LIBERO_OBJECT_01	Pick the alphabet soup and place it in the basket	alphabet_soup_1	tomato_sauce_1	alphabet_soup_1	floor_other_object_region_3	floor_target_object_region	original_target_second		Pick the tomato sauce and place it in the left compartment of the bowl drainer, then pick the alphabet soup and place it in the right compartment of the bowl drainer.	d38f7c198ab6d68961dea722ae4887551be209409b97c79a19af162f632ed271	not evaluated			0	definitions/BDRCENS_021.bddl			
BDRCENS_022		LIBERO_OBJECT_01	Pick the alphabet soup and place it in the basket	alphabet_soup_1	tomato_sauce_1	salad_dressing_1	floor_other_object_region_3	floor_other_object_region_0	two_original_distractors		Pick the tomato sauce and place it in the left compartment of the bowl drainer, then pick the salad dressing and place it in the right compartment of the bowl drainer.	28c0bd5509d34a7ae4ea415126b3332b8323ba9c25a0f68853ffed4d1d31f615	not evaluated			0	definitions/BDRCENS_022.bddl			
BDRCENS_023		LIBERO_OBJECT_01	Pick the alphabet soup and place it in the basket	alphabet_soup_1	tomato_sauce_1	cream_cheese_1	floor_other_object_region_3	floor_other_object_region_1	two_original_distractors		Pick the tomato sauce and place it in the left compartment of the bowl drainer, then pick the cream cheese and place it in the right compartment of the bowl drainer.	22995b2ea1c4091feb2823d8b1520f6d13e97e03241c530332ce00234ec00b35	not evaluated			0	definitions/BDRCENS_023.bddl			
BDRCENS_024		LIBERO_OBJECT_01	Pick the alphabet soup and place it in the basket	alphabet_soup_1	tomato_sauce_1	milk_1	floor_other_object_region_3	floor_other_object_region_2	two_original_distractors		Pick the tomato sauce and place it in the left compartment of the bowl drainer, then pick the milk and place it in the right compartment of the bowl drainer.	0d08db369e5ef5ae8484cc462c21ac83c64f8f5ca9d562149e2b7efb39cda4b0	not evaluated			0	definitions/BDRCENS_024.bddl			
BDRCENS_025		LIBERO_OBJECT_01	Pick the alphabet soup and place it in the basket	alphabet_soup_1	tomato_sauce_1	butter_1	floor_other_object_region_3	floor_other_object_region_4	two_original_distractors		Pick the tomato sauce and place it in the left compartment of the bowl drainer, then pick the butter and place it in the right compartment of the bowl drainer.	c231dc9fb53caa669ab7bd4fe65a9914b5ba6ee86ddcd4df22ea50f5cbc18604	not evaluated			0	definitions/BDRCENS_025.bddl			
BDRCENS_026		LIBERO_OBJECT_01	Pick the alphabet soup and place it in the basket	alphabet_soup_1	butter_1	alphabet_soup_1	floor_other_object_region_4	floor_target_object_region	original_target_second		Pick the butter and place it in the left compartment of the bowl drainer, then pick the alphabet soup and place it in the right compartment of the bowl drainer.	fe07ddbb2408baad3ec4434c216693339a73b1a76bd91885ecbff195e38dda92	not evaluated			0	definitions/BDRCENS_026.bddl			
BDRCENS_027		LIBERO_OBJECT_01	Pick the alphabet soup and place it in the basket	alphabet_soup_1	butter_1	salad_dressing_1	floor_other_object_region_4	floor_other_object_region_0	two_original_distractors		Pick the butter and place it in the left compartment of the bowl drainer, then pick the salad dressing and place it in the right compartment of the bowl drainer.	f35678f561878628f27c4ba295422aa7fcbb88c418573bbe4890c4fe0cec340e	not evaluated			0	definitions/BDRCENS_027.bddl			
BDRCENS_028		LIBERO_OBJECT_01	Pick the alphabet soup and place it in the basket	alphabet_soup_1	butter_1	cream_cheese_1	floor_other_object_region_4	floor_other_object_region_1	two_original_distractors		Pick the butter and place it in the left compartment of the bowl drainer, then pick the cream cheese and place it in the right compartment of the bowl drainer.	96216a5a5578e0102d663c490ac92eb453fa773bc0a3e29275eb018cc5ee6952	not evaluated			0	definitions/BDRCENS_028.bddl			
BDRCENS_029		LIBERO_OBJECT_01	Pick the alphabet soup and place it in the basket	alphabet_soup_1	butter_1	milk_1	floor_other_object_region_4	floor_other_object_region_2	two_original_distractors		Pick the butter and place it in the left compartment of the bowl drainer, then pick the milk and place it in the right compartment of the bowl drainer.	b4aec658083442a10de2db8f63fba88229d5dd192839ad479f7abc14b400cb1d	not evaluated			0	definitions/BDRCENS_029.bddl			
BDRCENS_030		LIBERO_OBJECT_01	Pick the alphabet soup and place it in the basket	alphabet_soup_1	butter_1	tomato_sauce_1	floor_other_object_region_4	floor_other_object_region_3	two_original_distractors		Pick the butter and place it in the left compartment of the bowl drainer, then pick the tomato sauce and place it in the right compartment of the bowl drainer.	f77187b0b29ed67368c65986b2eaa516a3ffeca2327ddcda4ef8563c1cb61995	not evaluated			0	definitions/BDRCENS_030.bddl			
BDRCENS_031	BDRCOMP_003	LIBERO_OBJECT_02	Pick the cream cheese and place it in the basket	cream_cheese_1	cream_cheese_1	alphabet_soup_1	floor_target_object_region	floor_other_object_region_0	original_target_first	anchor20	Pick the cream cheese and place it in the left compartment of the bowl drainer, then pick the alphabet soup and place it in the right compartment of the bowl drainer.	3e84a63f92ecfc4d2bbc59ae1f3a398c52057f686f1f58403179a53a5ae31596	evaluated		0	5	definitions/BDRCENS_031.bddl	0	0	0
BDRCENS_032	BDRCOMP_023	LIBERO_OBJECT_02	Pick the cream cheese and place it in the basket	cream_cheese_1	cream_cheese_1	milk_1	floor_target_object_region	floor_other_object_region_1	original_target_first	extension20	Pick the cream cheese and place it in the left compartment of the bowl drainer, then pick the milk and place it in the right compartment of the bowl drainer.	e8d61330d01e38c1233a99786eab23b6f8acbe3fcb558816eb43bce998eb42c4	evaluated		0	5	definitions/BDRCENS_032.bddl	0	0	0
BDRCENS_033		LIBERO_OBJECT_02	Pick the cream cheese and place it in the basket	cream_cheese_1	cream_cheese_1	tomato_sauce_1	floor_target_object_region	floor_other_object_region_2	original_target_first		Pick the cream cheese and place it in the left compartment of the bowl drainer, then pick the tomato sauce and place it in the right compartment of the bowl drainer.	99ef9890e9896e74604ec864fb00572fc7e9fd5689a2bee4a09757de56a25e66	not evaluated			0	definitions/BDRCENS_033.bddl			
BDRCENS_034		LIBERO_OBJECT_02	Pick the cream cheese and place it in the basket	cream_cheese_1	cream_cheese_1	butter_1	floor_target_object_region	floor_other_object_region_3	original_target_first		Pick the cream cheese and place it in the left compartment of the bowl drainer, then pick the butter and place it in the right compartment of the bowl drainer.	6b58c0d8f0cfd6c1fdc74a4e1930e7bcb10c48d0af0ce895c6f3f152bfb31a42	not evaluated			0	definitions/BDRCENS_034.bddl			
BDRCENS_035		LIBERO_OBJECT_02	Pick the cream cheese and place it in the basket	cream_cheese_1	cream_cheese_1	orange_juice_1	floor_target_object_region	floor_other_object_region_4	original_target_first		Pick the cream cheese and place it in the left compartment of the bowl drainer, then pick the orange juice and place it in the right compartment of the bowl drainer.	5c0aa1d5f6f910dd114d7d2732bee969074b29ae1ee522a0f0deb264d327e4a8	not evaluated			0	definitions/BDRCENS_035.bddl			
BDRCENS_036	BDRCOMP_004	LIBERO_OBJECT_02	Pick the cream cheese and place it in the basket	cream_cheese_1	alphabet_soup_1	cream_cheese_1	floor_other_object_region_0	floor_target_object_region	original_target_second	anchor20	Pick the alphabet soup and place it in the left compartment of the bowl drainer, then pick the cream cheese and place it in the right compartment of the bowl drainer.	d1ac770545bfd09f5560fba2f3d1d539384d37e2c2e7aa1aa6e10b3ea735221e	evaluated		20	5	definitions/BDRCENS_036.bddl	1	1	1
BDRCENS_037		LIBERO_OBJECT_02	Pick the cream cheese and place it in the basket	cream_cheese_1	alphabet_soup_1	milk_1	floor_other_object_region_0	floor_other_object_region_1	two_original_distractors		Pick the alphabet soup and place it in the left compartment of the bowl drainer, then pick the milk and place it in the right compartment of the bowl drainer.	5d0b661922cc80f7254523d6ef568ecc5c4ff73848723f03f204d46192d5539e	not evaluated			0	definitions/BDRCENS_037.bddl			
BDRCENS_038		LIBERO_OBJECT_02	Pick the cream cheese and place it in the basket	cream_cheese_1	alphabet_soup_1	tomato_sauce_1	floor_other_object_region_0	floor_other_object_region_2	two_original_distractors		Pick the alphabet soup and place it in the left compartment of the bowl drainer, then pick the tomato sauce and place it in the right compartment of the bowl drainer.	3b5b530703f504e18f86e9f3ab718675f2073ba2535e23a44db8de5cff713a99	not evaluated			0	definitions/BDRCENS_038.bddl			
BDRCENS_039		LIBERO_OBJECT_02	Pick the cream cheese and place it in the basket	cream_cheese_1	alphabet_soup_1	butter_1	floor_other_object_region_0	floor_other_object_region_3	two_original_distractors		Pick the alphabet soup and place it in the left compartment of the bowl drainer, then pick the butter and place it in the right compartment of the bowl drainer.	6b8135a48dea44a970ebf18186d78ab01c0d25892d2e52404ccb055ced4b2047	not evaluated			0	definitions/BDRCENS_039.bddl			
BDRCENS_040		LIBERO_OBJECT_02	Pick the cream cheese and place it in the basket	cream_cheese_1	alphabet_soup_1	orange_juice_1	floor_other_object_region_0	floor_other_object_region_4	two_original_distractors		Pick the alphabet soup and place it in the left compartment of the bowl drainer, then pick the orange juice and place it in the right compartment of the bowl drainer.	4c0ab7f2fd83a5410ffe591d7cb461f8afc8e5d2ecb5eb5626760d48d9c9fdc2	not evaluated			0	definitions/BDRCENS_040.bddl			
BDRCENS_041	BDRCOMP_024	LIBERO_OBJECT_02	Pick the cream cheese and place it in the basket	cream_cheese_1	milk_1	cream_cheese_1	floor_other_object_region_1	floor_target_object_region	original_target_second	extension20	Pick the milk and place it in the left compartment of the bowl drainer, then pick the cream cheese and place it in the right compartment of the bowl drainer.	4f0bb8e29c61b07e55e0d43d5a85b7255656a417410641dcdeca228c90390d30	evaluated		0	5	definitions/BDRCENS_041.bddl	0	0	0
BDRCENS_042		LIBERO_OBJECT_02	Pick the cream cheese and place it in the basket	cream_cheese_1	milk_1	alphabet_soup_1	floor_other_object_region_1	floor_other_object_region_0	two_original_distractors		Pick the milk and place it in the left compartment of the bowl drainer, then pick the alphabet soup and place it in the right compartment of the bowl drainer.	56504d996da0f691e5164328852382bfe9d937a2dcac941cb549a0507b75f9ee	not evaluated			0	definitions/BDRCENS_042.bddl			
BDRCENS_043		LIBERO_OBJECT_02	Pick the cream cheese and place it in the basket	cream_cheese_1	milk_1	tomato_sauce_1	floor_other_object_region_1	floor_other_object_region_2	two_original_distractors		Pick the milk and place it in the left compartment of the bowl drainer, then pick the tomato sauce and place it in the right compartment of the bowl drainer.	9013d8ee9118e6289fbbeff28b70a536afe266fc3e47b52511899bd5c8655cda	not evaluated			0	definitions/BDRCENS_043.bddl			
BDRCENS_044		LIBERO_OBJECT_02	Pick the cream cheese and place it in the basket	cream_cheese_1	milk_1	butter_1	floor_other_object_region_1	floor_other_object_region_3	two_original_distractors		Pick the milk and place it in the left compartment of the bowl drainer, then pick the butter and place it in the right compartment of the bowl drainer.	8fc9bde85c0774f5eff63ac7385d5d74499b271c7eae3088215dbee28a726431	not evaluated			0	definitions/BDRCENS_044.bddl			
BDRCENS_045		LIBERO_OBJECT_02	Pick the cream cheese and place it in the basket	cream_cheese_1	milk_1	orange_juice_1	floor_other_object_region_1	floor_other_object_region_4	two_original_distractors		Pick the milk and place it in the left compartment of the bowl drainer, then pick the orange juice and place it in the right compartment of the bowl drainer.	fb814d59065ca958a3263be64bb3c33f3328af0f82167714f4431e640c0d9b6c	not evaluated			0	definitions/BDRCENS_045.bddl			
