task_id	family	instruction	source_suite	source_task	original_instruction	goal_atom	evidence_notes	gpu	successes	episodes	success_rate_percent	success_videos
COMP_001	C1_goal_three_task_clique	Put the cream cheese on the black bowl, then put the black bowl on the plate, and finally put the wine bottle on the rack.	libero_goal	put_the_cream_cheese_in_the_bowl;put_the_bowl_on_the_plate;put_the_wine_bottle_on_the_rack	Put the cream cheese on the bowl | Put the bowl on the plate | Put the wine bottle on the rack	on(cream_cheese_1, akita_black_bowl_1); on(akita_black_bowl_1, plate_1); on(wine_bottle_1, wine_rack_1_top_region)	Novel three-task clique (1, 2, 4); all three pairwise edges are in the audited 37-pair compatibility graph. | The corresponding two-task pairs already exist in the original LIBERO-EX TC pool and are not duplicated here.	2	0	5	0.0	0
COMP_002	C1_goal_three_task_clique	Put the black bowl on the plate, then put the wine bottle on the rack, and finally push the plate to the front of the stove.	libero_goal	put_the_bowl_on_the_plate;put_the_wine_bottle_on_the_rack;push_the_plate_to_the_front_of_the_stove	Put the bowl on the plate | Put the wine bottle on the rack | Push the plate to the front of the stove	on(akita_black_bowl_1, plate_1); on(wine_bottle_1, wine_rack_1_top_region); on(plate_1, main_table_stove_front_region)	Novel three-task clique (1, 2, 6); all three pairwise edges are in the audited 37-pair compatibility graph. | The corresponding two-task pairs already exist in the original LIBERO-EX TC pool and are not duplicated here.	3	0	5	0.0	0
COMP_003	C1_goal_three_task_clique	Put the black bowl on the plate, then put the wine bottle on the rack, and finally turn on the stove.	libero_goal	put_the_bowl_on_the_plate;put_the_wine_bottle_on_the_rack;turn_on_the_stove	Put the bowl on the plate | Put the wine bottle on the rack | Turn on the stove	on(akita_black_bowl_1, plate_1); on(wine_bottle_1, wine_rack_1_top_region); turnon(flat_stove_1)	Novel three-task clique (1, 2, 7); all three pairwise edges are in the audited 37-pair compatibility graph. | The corresponding two-task pairs already exist in the original LIBERO-EX TC pool and are not duplicated here.	2	0	5	0.0	0
COMP_004	C1_goal_three_task_clique	Put the black bowl on the plate, then put the wine bottle on the rack, and finally open the middle drawer of the cabinet.	libero_goal	put_the_bowl_on_the_plate;put_the_wine_bottle_on_the_rack;open_the_middle_drawer_of_the_cabinet	Put the bowl on the plate | Put the wine bottle on the rack | Open the middle layer of the drawer	on(akita_black_bowl_1, plate_1); on(wine_bottle_1, wine_rack_1_top_region); open(wooden_cabinet_1_middle_region)	Novel three-task clique (1, 2, 10); all three pairwise edges are in the audited 37-pair compatibility graph. | The corresponding two-task pairs already exist in the original LIBERO-EX TC pool and are not duplicated here.	3	0	5	0.0	0
COMP_005	C1_goal_three_task_clique	Put the cream cheese on the black bowl, then put the black bowl on the plate, and finally put the wine bottle on top of the cabinet.	libero_goal	put_the_cream_cheese_in_the_bowl;put_the_bowl_on_the_plate;put_the_wine_bottle_on_top_of_the_cabinet	Put the cream cheese on the bowl | Put the bowl on the plate | Put the wine bottle on the top of the drawer	on(cream_cheese_1, akita_black_bowl_1); on(akita_black_bowl_1, plate_1); on(wine_bottle_1, wooden_cabinet_1_top_side)	Novel three-task clique (1, 4, 5); all three pairwise edges are in the audited 37-pair compatibility graph. | The corresponding two-task pairs already exist in the original LIBERO-EX TC pool and are not duplicated here.	2	0	5	0.0	0
COMP_006	C1_goal_three_task_clique	Put the cream cheese on the black bowl, then put the black bowl on the plate, and finally push the plate to the front of the stove.	libero_goal	put_the_cream_cheese_in_the_bowl;put_the_bowl_on_the_plate;push_the_plate_to_the_front_of_the_stove	Put the cream cheese on the bowl | Put the bowl on the plate | Push the plate to the front of the stove	on(cream_cheese_1, akita_black_bowl_1); on(akita_black_bowl_1, plate_1); on(plate_1, main_table_stove_front_region)	Novel three-task clique (1, 4, 6); all three pairwise edges are in the audited 37-pair compatibility graph. | The corresponding two-task pairs already exist in the original LIBERO-EX TC pool and are not duplicated here.	3	0	5	0.0	0
COMP_007	C1_goal_three_task_clique	Put the cream cheese on the black bowl, then put the black bowl on the plate, and finally turn on the stove.	libero_goal	put_the_cream_cheese_in_the_bowl;put_the_bowl_on_the_plate;turn_on_the_stove	Put the cream cheese on the bowl | Put the bowl on the plate | Turn on the stove	on(cream_cheese_1, akita_black_bowl_1); on(akita_black_bowl_1, plate_1); turnon(flat_stove_1)	Novel three-task clique (1, 4, 7); all three pairwise edges are in the audited 37-pair compatibility graph. | The corresponding two-task pairs already exist in the original LIBERO-EX TC pool and are not duplicated here.	2	0	5	0.0	0
COMP_008	C1_goal_three_task_clique	Put the cream cheese on the black bowl, then put the black bowl on the plate, and finally open the middle drawer of the cabinet.	libero_goal	put_the_cream_cheese_in_the_bowl;put_the_bowl_on_the_plate;open_the_middle_drawer_of_the_cabinet	Put the cream cheese on the bowl | Put the bowl on the plate | Open the middle layer of the drawer	on(cream_cheese_1, akita_black_bowl_1); on(akita_black_bowl_1, plate_1); open(wooden_cabinet_1_middle_region)	Novel three-task clique (1, 4, 10); all three pairwise edges are in the audited 37-pair compatibility graph. | The corresponding two-task pairs already exist in the original LIBERO-EX TC pool and are not duplicated here.	3	0	5	0.0	0
COMP_009	C1_goal_three_task_clique	Put the black bowl on the plate, then put the wine bottle on top of the cabinet, and finally push the plate to the front of the stove.	libero_goal	put_the_bowl_on_the_plate;put_the_wine_bottle_on_top_of_the_cabinet;push_the_plate_to_the_front_of_the_stove	Put the bowl on the plate | Put the wine bottle on the top of the drawer | Push the plate to the front of the stove	on(akita_black_bowl_1, plate_1); on(wine_bottle_1, wooden_cabinet_1_top_side); on(plate_1, main_table_stove_front_region)	Novel three-task clique (1, 5, 6); all three pairwise edges are in the audited 37-pair compatibility graph. | The corresponding two-task pairs already exist in the original LIBERO-EX TC pool and are not duplicated here.	2	0	5	0.0	0
COMP_010	C1_goal_three_task_clique	Put the black bowl on the plate, then put the wine bottle on top of the cabinet, and finally turn on the stove.	libero_goal	put_the_bowl_on_the_plate;put_the_wine_bottle_on_top_of_the_cabinet;turn_on_the_stove	Put the bowl on the plate | Put the wine bottle on the top of the drawer | Turn on the stove	on(akita_black_bowl_1, plate_1); on(wine_bottle_1, wooden_cabinet_1_top_side); turnon(flat_stove_1)	Novel three-task clique (1, 5, 7); all three pairwise edges are in the audited 37-pair compatibility graph. | The corresponding two-task pairs already exist in the original LIBERO-EX TC pool and are not duplicated here.	3	0	5	0.0	0
