"task_id"	"legacy_task_id"	"category"	"instruction"	"goal"	"review_status"	"review_notes"
"Decomposition_001"	"TDL10_001"	"Decomposition"	"Put the white mug on the left plate"	"on(porcelain_mug_1, plate_1)"	"미검수"	""
"Decomposition_002"	"TDL10_002"	"Decomposition"	"Put the yellow and white mug on the right plate"	"on(white_yellow_mug_1, plate_2)"	"미검수"	""
"Decomposition_003"	"TDL10_003"	"Decomposition"	"Put the white mug on the plate"	"on(porcelain_mug_1, plate_1)"	"미검수"	""
"Decomposition_004"	"TDL10_004"	"Decomposition"	"Put the chocolate pudding to the right of the plate"	"on(chocolate_pudding_1, living_room_table_plate_right_region)"	"미검수"	""
"Decomposition_005"	"TDL10_005"	"Decomposition"	"Put the yellow and white mug in the microwave"	"in(white_yellow_mug_1, microwave_1_heating_region)"	"미검수"	""
"Decomposition_006"	"TDL10_006"	"Decomposition"	"Close the microwave"	"close(microwave_1)"	"미검수"	""
"Decomposition_007"	"TDL10_008"	"Decomposition"	"Put the moka pot on the stove"	"on(moka_pot_1, flat_stove_1_cook_region)"	"미검수"	""
"Decomposition_008"	"TDL10_009"	"Decomposition"	"Put the alphabet soup in the basket"	"in(alphabet_soup_1, basket_1_contain_region)"	"미검수"	""
"Decomposition_009"	"TDL10_010"	"Decomposition"	"Put the cream cheese box in the basket"	"in(cream_cheese_1, basket_1_contain_region)"	"미검수"	""
"Decomposition_010"	"TDL10_011"	"Decomposition"	"Put the alphabet soup in the basket"	"in(alphabet_soup_1, basket_1_contain_region)"	"미검수"	""
"Decomposition_011"	"TDL10_012"	"Decomposition"	"Put the tomato sauce in the basket"	"in(tomato_sauce_1, basket_1_contain_region)"	"미검수"	""
"Decomposition_012"	"TDL10_013"	"Decomposition"	"Put the cream cheese box in the basket"	"in(cream_cheese_1, basket_1_contain_region)"	"미검수"	""
"Decomposition_013"	"TDL10_014"	"Decomposition"	"Put the butter in the basket"	"in(butter_1, basket_1_contain_region)"	"미검수"	""
"Decomposition_014"	"TDL10_016"	"Decomposition"	"Close the bottom drawer of the cabinet"	"close(white_cabinet_1_bottom_region)"	"미검수"	""
"Decomposition_015"	"TDC40_001"	"Decomposition"	"Turn on the stove"	"turnon(flat_stove_1)"	"미검수"	""
"Decomposition_016"	"TDC40_002"	"Decomposition"	"Put the black bowl in the bottom drawer of the cabinet"	"in(akita_black_bowl_1, white_cabinet_1_bottom_region)"	"미검수"	""
"Decomposition_017"	"TDC40_003"	"Decomposition"	"Put the left moka pot on the stove"	"on(moka_pot_2, flat_stove_1_cook_region)"	"미검수"	""
"Decomposition_018"	"TDC40_004"	"Decomposition"	"Put the right moka pot on the stove"	"on(moka_pot_1, flat_stove_1_cook_region)"	"미검수"	""
"Decomposition_019"	"TDC40_005"	"Decomposition"	"Open the top drawer of the cabinet"	"open(wooden_cabinet_1_top_region)"	"미검수"	""
"Decomposition_020"	"TDC40_006"	"Decomposition"	"Put the black bowl inside the top drawer of the cabinet"	"in(akita_black_bowl_1, wooden_cabinet_1_top_region)"	"미검수"	""
"Adapt_001"	"ANLGX_002"	"Adapt"	"Put the white mug on the middle plate"	"on(porcelain_mug_1, plate_3)"	"미검수"	""
"Adapt_002"	"ANLGX_003"	"Adapt"	"Put the white mug on the right plate"	"on(porcelain_mug_1, plate_2)"	"미검수"	""
"Adapt_003"	"ANLGX_017"	"Adapt"	"Put the black bowl in the middle drawer of the white cabinet"	"in(akita_black_bowl_1, white_cabinet_1_middle_region)"	"미검수"	""
"Adapt_004"	"ANLGX_022"	"Adapt"	"Close the top drawer of the white cabinet"	"close(white_cabinet_1_top_region)"	"미검수"	""
"Adapt_005"	"ANLGX_023"	"Adapt"	"Close the middle drawer of the white cabinet"	"close(white_cabinet_1_middle_region)"	"미검수"	""
"Adapt_006"	"ANLGX_089"	"Adapt"	"Pick up the wine bottle at the table center and place it on the plate"	"on(wine_bottle_1, plate_1)"	"미검수"	""
"Adapt_007"	"ANLGX_134"	"Adapt"	"Put the plate on the top of the wooden cabinet"	"on(plate_1, wooden_cabinet_1_top_side)"	"미검수"	""
"Adapt_008"	"ANLGX_147"	"Adapt"	"Put the cream cheese in the top drawer of the wooden cabinet"	"in(cream_cheese_1, wooden_cabinet_1_top_region)"	"미검수"	""
"Adapt_009"	"ANLGX_178"	"Adapt"	"Put the yellow and white mug in the right compartment of the caddy"	"in(white_yellow_mug_1, desk_caddy_1_left_contain_region)"	"미검수"	""
"Adapt_010"	"OGTS_001"	"Adapt"	"Pick the alphabet soup and place it in the basket"	"in(alphabet_soup_1, basket_1_contain_region)"	"미검수"	""
"Adapt_011"	"OGTS_010"	"Adapt"	"Pick the orange juice and place it in the basket"	"in(orange_juice_1, basket_1_contain_region)"	"미검수"	""
"Adapt_012"	"OGDTSL_011"	"Adapt"	"Pick the tomato sauce and place it in the basket"	"in(tomato_sauce_1, basket_1_contain_region)"	"미검수"	""
"Adapt_013"	"OGDTSL_046"	"Adapt"	"Pick the milk and place it in the basket"	"in(milk_1, basket_1_contain_region)"	"미검수"	""
"Adapt_014"	"NAFR3_001"	"Adapt"	"Put the popcorn on top of the short fridge"	"on(popcorn_1, short_fridge_1_feedback_top_region)"	"미검수"	""
"Adapt_015"	"NAFR3_002"	"Adapt"	"Put the yellow book on top of the two-layer wooden shelf"	"on(yellow_book_1, wooden_two_layer_shelf_1_feedback_roof_region)"	"미검수"	""
"Adapt_016"	"DSET_001"	"Adapt"	"Pick up the black bowl at the table center and place it on the dining-set mat"	"on(akita_black_bowl_1, dining_set_group_1_plate_support_region)"	"미검수"	""
"Adapt_017"	"BDRSWAP_001"	"Adapt"	"Pick the alphabet soup and place it in the right compartment of the bowl drainer"	"in(alphabet_soup_1, bowl_drainer_1_right_region)"	"미검수"	""
"Adapt_018"	"ADVCN19_001"	"Adapt"	"Open the top drawer of the wooden cabinet"	"open(wooden_cabinet_1_top_region)"	"미검수"	""
"Adapt_019"	"WTRAYR_004"	"Adapt"	"Pick up the black bowl and place it in the wooden tray"	"in(akita_black_bowl_1, wooden_tray_1_contain_region)"	"미검수"	""
"Adapt_020"	"GRACK_002"	"Adapt"	"Put the ketchup on the rack"	"on(ketchup_1, wine_rack_1_adapt_top_region)"	"미검수"	""
"Compose_001"	"VCN8_008"	"Compose"	"Put the chocolate pudding on the black bowl, then open the middle drawer of the cabinet"	"on(chocolate_pudding_1, akita_black_bowl_1);open(wooden_cabinet_1_middle_region)"	"미검수"	""
"Compose_002"	"VCN9_010"	"Compose"	"Put the cream cheese on the stove, then turn on the stove"	"on(cream_cheese_1, flat_stove_1_cook_region);turnon(flat_stove_1)"	"미검수"	""
"Compose_003"	"VCN10_001"	"Compose"	"Put the cream cheese on the stove, then push the plate to the front of the stove"	"on(cream_cheese_1, flat_stove_1_cook_region);on(plate_1, main_table_stove_front_region)"	"미검수"	""
"Compose_004"	"VCN19_020"	"Compose"	"Open the top drawer of the wooden cabinet, then put the ramekin on the plate"	"open(wooden_cabinet_1_top_region);on(glazed_rim_porcelain_ramekin_1, plate_1)"	"미검수"	""
"Compose_005"	"VCN21_001"	"Compose"	"Put the moka pot on the stove, then close the microwave door"	"on(moka_pot_2,flat_stove_1_cook_region);close(microwave_1)"	"미검수"	""
"Compose_006"	"COMP2_012"	"Compose"	"Put the butter in the basket, and then put the tomato sauce in the basket"	"in(butter_1, basket_1_contain_region); in(tomato_sauce_1, basket_1_contain_region)"	"미검수"	""
"Compose_007"	"COMP2_032"	"Compose"	"Push the plate to the front of the stove, and then open the middle drawer of the cabinet"	"on(plate_1, main_table_stove_front_region); open(wooden_cabinet_1_middle_region)"	"미검수"	""
"Compose_008"	"COMP2_222"	"Compose"	"Put the alphabet soup in the basket, and then put the tomato sauce in the basket"	"in(alphabet_soup_1, basket_1_contain_region); in(tomato_sauce_1, basket_1_contain_region)"	"미검수"	""
"Compose_009"	"COMP2_303"	"Compose"	"Put the milk in the basket, and then put the cream cheese box in the basket"	"in(milk_1, basket_1_contain_region); in(cream_cheese_1, basket_1_contain_region)"	"미검수"	""
"Compose_010"	"COMPOSE_155"	"Compose"	"Put the alphabet soup, the butter, and the tomato sauce in the basket one after another"	"in(alphabet_soup_1, basket_1_contain_region); in(butter_1, basket_1_contain_region); in(tomato_sauce_1, basket_1_contain_region)"	"미검수"	""
"Compose_011"	"COMP2_027"	"Compose"	"Put the cream cheese on the black bowl, and then push the plate to the front of the stove"	"on(cream_cheese_1, akita_black_bowl_1); on(plate_1, main_table_stove_front_region)"	"미검수"	""
"Compose_012"	"LBCM_003"	"Compose"	"Put the tomato sauce in the basket, then put the white mug on the plate"	"in(tomato_sauce_1, basket_1_contain_region);on(porcelain_mug_1, plate_3)"	"미검수"	""
"Compose_013"	"LBCM_028"	"Compose"	"Put the alphabet soup in the basket, then put the white mug on the left plate, then put the cream cheese box in the basket"	"in(alphabet_soup_1, basket_1_contain_region);on(porcelain_mug_1, plate_1);in(cream_cheese_1, basket_1_contain_region)"	"미검수"	""
"Compose_014"	"MKDC_001"	"Compose"	"Put the moka pot on the stove, then close the bottom drawer of the cabinet"	"on(moka_pot_2, flat_stove_1_cook_region);close(white_cabinet_1_bottom_region)"	"미검수"	""
"Compose_015"	"CTR_103"	"Compose"	"Pick the butter and place it in the right compartment of the bowl drainer, then pick the tomato sauce and place it in the left compartment of the bowl drainer"	"in(butter_1, bowl_drainer_1_left_region);in(tomato_sauce_1, bowl_drainer_1_right_region)"	"미검수"	""
"Compose_016"	"VCN35_004"	"Compose"	"Put the ramekin in the basket, then put the alphabet soup on the right plate"	"in(glazed_rim_porcelain_ramekin_1,basket_1_contain_region);on(alphabet_soup_1,plate_2)"	"미검수"	""
"Compose_017"	"UCOMP_040"	"Compose"	"Put the tomato sauce in the basket, and then put the yellow and white mug on the plate"	"in(tomato_sauce_1,basket_1_contain_region);on(white_yellow_mug_1,plate_1)"	"미검수"	""
"Compose_018"	"BDRMIN_002"	"Compose"	"Pick the alphabet soup and place it in the right compartment of the bowl drainer, then pick the tomato sauce and place it in the left compartment of the bowl drainer"	"in(alphabet_soup_1,bowl_drainer_1_right_region);in(tomato_sauce_1,bowl_drainer_1_left_region)"	"미검수"	""
"Compose_019"	"CTR_176"	"Compose"	"Put the alphabet soup in the basket, then put the butter in the basket, then put the cream cheese box in the basket"	"in(alphabet_soup_1, basket_1_contain_region);in(butter_1, basket_1_contain_region);in(cream_cheese_1, basket_1_contain_region)"	"미검수"	""
"Compose_020"	"CTR_140"	"Compose"	"Put the cream cheese on the stove, then turn on the stove, then open the top drawer of the wooden cabinet"	"on(cream_cheese_1, flat_stove_1_cook_region);turnon(flat_stove_1);open(wooden_cabinet_1_top_region)"	"미검수"	""
