task_id	family	instruction	skill_sources	scene_sources	all_sources	transfer_summary
DADAPT_001	D1_relocated_drawer_control	Open the top drawer of the wooden cabinet.	LIBERO_GOAL_01	LIBERO_GOAL_01	LIBERO_GOAL_01	Learned drawer open transfers to a translated and yawed wooden cabinet.
DADAPT_002	D1_relocated_drawer_control	Close the top drawer of the wooden cabinet.	LIBERO_10_04	LIBERO_GOAL_01	LIBERO_10_04,LIBERO_GOAL_01	Learned drawer close transfers to a translated and yawed wooden cabinet.
DADAPT_003	D1_relocated_drawer_control	Open the middle drawer of the wooden cabinet.	LIBERO_GOAL_01	LIBERO_GOAL_01	LIBERO_GOAL_01	Learned drawer open transfers to a translated and yawed wooden cabinet.
DADAPT_004	D1_relocated_drawer_control	Close the middle drawer of the wooden cabinet.	LIBERO_10_04	LIBERO_GOAL_01	LIBERO_10_04,LIBERO_GOAL_01	Learned drawer close transfers to a translated and yawed wooden cabinet.
DADAPT_005	D1_relocated_drawer_control	Open the bottom drawer of the white cabinet.	LIBERO_GOAL_01	LIBERO_10_04	LIBERO_GOAL_01,LIBERO_10_04	Learned drawer open transfers to a translated and yawed white cabinet.
DADAPT_006	D1_relocated_drawer_control	Close the bottom drawer of the white cabinet.	LIBERO_10_04	LIBERO_10_04	LIBERO_10_04	Learned drawer close transfers to a translated and yawed white cabinet.
DADAPT_007	D1_relocated_drawer_control	Open the top drawer of the white cabinet.	LIBERO_GOAL_01	LIBERO_10_04	LIBERO_GOAL_01,LIBERO_10_04	Learned drawer open transfers to a translated and yawed white cabinet.
DADAPT_008	D1_relocated_drawer_control	Close the top drawer of the white cabinet.	LIBERO_10_04	LIBERO_10_04	LIBERO_10_04	Learned drawer close transfers to a translated and yawed white cabinet.
DADAPT_009	D2_non_table_pickup	Put the black bowl from the top drawer on the plate.	LIBERO_SPATIAL_05	LIBERO_GOAL_09	LIBERO_SPATIAL_05,LIBERO_GOAL_09	The trained drawer-extraction skill transfers to a different cabinet pose and drawer height in the Goal scene.
DADAPT_010	D2_non_table_pickup	Put the black bowl from the middle drawer on the plate.	LIBERO_SPATIAL_05	LIBERO_GOAL_09	LIBERO_SPATIAL_05,LIBERO_GOAL_09	The trained drawer-extraction skill transfers to a different cabinet pose and drawer height in the Goal scene.
DADAPT_011	D2_non_table_pickup	Put the black bowl from the cabinet top on the plate.	LIBERO_SPATIAL_10	LIBERO_GOAL_09	LIBERO_SPATIAL_10,LIBERO_GOAL_09	A demonstrated cabinet-top pickup transfers to the Goal scene with a familiar bowl or mug.
DADAPT_012	D2_non_table_pickup	Put the white mug from the cabinet top on the plate.	LIBERO_SPATIAL_10,LIBERO_10_05	LIBERO_GOAL_09	LIBERO_SPATIAL_10,LIBERO_10_05,LIBERO_GOAL_09	A demonstrated cabinet-top pickup transfers to the Goal scene with a familiar bowl or mug.
DADAPT_013	D2_non_table_pickup	Put the black bowl from the top drawer on the plate.	LIBERO_SPATIAL_05,LIBERO_GOAL_09	LIBERO_10_04	LIBERO_SPATIAL_05,LIBERO_10_04,LIBERO_GOAL_09	Wooden-drawer extraction transfers to the white cabinet's three open drawer heights in Kitchen4.
DADAPT_014	D2_non_table_pickup	Put the black bowl from the middle drawer on the plate.	LIBERO_SPATIAL_05,LIBERO_GOAL_09	LIBERO_10_04	LIBERO_SPATIAL_05,LIBERO_10_04,LIBERO_GOAL_09	Wooden-drawer extraction transfers to the white cabinet's three open drawer heights in Kitchen4.
DADAPT_015	D2_non_table_pickup	Put the black bowl from the bottom drawer on the plate.	LIBERO_SPATIAL_05,LIBERO_GOAL_09	LIBERO_10_04	LIBERO_SPATIAL_05,LIBERO_10_04,LIBERO_GOAL_09	Wooden-drawer extraction transfers to the white cabinet's three open drawer heights in Kitchen4.
DADAPT_016	D3_moved_relative_placement	Put the chocolate pudding to the right of the plate.	LIBERO_10_07,LIBERO_OBJECT_09	LIBERO_GOAL_09	LIBERO_10_07,LIBERO_GOAL_09,LIBERO_OBJECT_09	Long07's learned right-of-plate relation follows a translated plate in a different physical scene.
DADAPT_017	D3_moved_relative_placement	Put the butter to the right of the plate.	LIBERO_10_07,LIBERO_OBJECT_07	LIBERO_GOAL_09	LIBERO_10_07,LIBERO_GOAL_09,LIBERO_OBJECT_07	Long07's learned right-of-plate relation follows a translated plate in a different physical scene.
DADAPT_018	D3_moved_relative_placement	Put the chocolate pudding to the right of the plate.	LIBERO_10_07,LIBERO_OBJECT_09	LIBERO_10_04	LIBERO_10_07,LIBERO_10_04,LIBERO_OBJECT_09	Long07's learned right-of-plate relation follows a translated plate in a different physical scene.
DADAPT_019	D3_moved_relative_placement	Put the butter to the right of the plate.	LIBERO_10_07,LIBERO_OBJECT_07	LIBERO_10_04	LIBERO_10_07,LIBERO_10_04,LIBERO_OBJECT_07	Long07's learned right-of-plate relation follows a translated plate in a different physical scene.
DADAPT_020	D3_moved_relative_placement	Put the chocolate pudding to the right of the plate.	LIBERO_10_07,LIBERO_OBJECT_09	LIBERO_10_04	LIBERO_10_07,LIBERO_10_04,LIBERO_OBJECT_09	Long07's learned right-of-plate relation follows a translated plate in a different physical scene.
DADAPT_021	D3_moved_relative_placement	Put the butter to the right of the plate.	LIBERO_10_07,LIBERO_OBJECT_07	LIBERO_10_04	LIBERO_10_07,LIBERO_10_04,LIBERO_OBJECT_07	Long07's learned right-of-plate relation follows a translated plate in a different physical scene.
DADAPT_022	D4_reference_relative_push	Push the plate to the front of the stove.	LIBERO_GOAL_06,LIBERO_GOAL_02	LIBERO_10_04	LIBERO_GOAL_06,LIBERO_10_04,LIBERO_GOAL_02	Transfer Goal pushing to a different table with a rotated stove and recomputed front region.
DADAPT_023	D4_reference_relative_push	Push the black bowl to the front of the stove.	LIBERO_GOAL_06,LIBERO_GOAL_02	LIBERO_10_04	LIBERO_GOAL_06,LIBERO_10_04,LIBERO_GOAL_02	Transfer Goal pushing to a different table with a rotated stove and recomputed front region.
DADAPT_024	D4_reference_relative_push	Push the plate to the front of the stove.	LIBERO_GOAL_06,LIBERO_GOAL_02	LIBERO_10_04	LIBERO_GOAL_06,LIBERO_10_04,LIBERO_GOAL_02	Transfer Goal pushing to a different table with a rotated stove and recomputed front region.
DADAPT_025	D4_reference_relative_push	Push the black bowl to the front of the stove.	LIBERO_GOAL_06,LIBERO_GOAL_02	LIBERO_10_04	LIBERO_GOAL_06,LIBERO_10_04,LIBERO_GOAL_02	Transfer Goal pushing to a different table with a rotated stove and recomputed front region.
DADAPT_026	D4_reference_relative_push	Push the plate to the front of the stove.	LIBERO_GOAL_06,LIBERO_GOAL_02	LIBERO_10_07	LIBERO_GOAL_06,LIBERO_10_07,LIBERO_GOAL_02	Transfer Goal pushing to a different table with a rotated stove and recomputed front region.
DADAPT_027	D4_reference_relative_push	Push the black bowl to the front of the stove.	LIBERO_GOAL_06,LIBERO_GOAL_02	LIBERO_10_07	LIBERO_GOAL_06,LIBERO_10_07,LIBERO_GOAL_02	Transfer Goal pushing to a different table with a rotated stove and recomputed front region.
DADAPT_028	D4_reference_relative_push	Push the plate to the front of the stove.	LIBERO_GOAL_06,LIBERO_GOAL_02	LIBERO_10_07	LIBERO_GOAL_06,LIBERO_10_07,LIBERO_GOAL_02	Transfer Goal pushing to a different table with a rotated stove and recomputed front region.
DADAPT_029	D4_reference_relative_push	Push the black bowl to the front of the stove.	LIBERO_GOAL_06,LIBERO_GOAL_02	LIBERO_10_07	LIBERO_GOAL_06,LIBERO_10_07,LIBERO_GOAL_02	Transfer Goal pushing to a different table with a rotated stove and recomputed front region.
DADAPT_030	D5_imported_receptacle	Put the book in the back compartment of the caddy.	LIBERO_10_06	LIBERO_10_08	LIBERO_10_06,LIBERO_10_08	Move the study book/caddy interaction into a package-filled living-room scene.
DADAPT_031	D5_imported_receptacle	Put the book in the back compartment of the caddy.	LIBERO_10_06	LIBERO_10_08	LIBERO_10_06,LIBERO_10_08	Move the study book/caddy interaction into a package-filled living-room scene.
DADAPT_032	D5_imported_receptacle	Put the wine bottle on the rack.	LIBERO_GOAL_10	LIBERO_10_06	LIBERO_GOAL_10,LIBERO_10_06	Transfer wine-to-rack placement into the study workspace at a new reachable orientation.
DADAPT_033	D5_imported_receptacle	Put the wine bottle on the rack.	LIBERO_GOAL_10	LIBERO_10_06	LIBERO_GOAL_10,LIBERO_10_06	Transfer wine-to-rack placement into the study workspace at a new reachable orientation.
DADAPT_034	D5_imported_receptacle	Put the yellow and white mug in the microwave.	LIBERO_10_10	LIBERO_10_07	LIBERO_10_10,LIBERO_10_07	Move the microwave interaction into a different source table; insertion and door-only closure are separate tasks.
DADAPT_035	D5_imported_receptacle	Close the microwave door.	LIBERO_10_10	LIBERO_10_07	LIBERO_10_10,LIBERO_10_07	Move the microwave interaction into a different source table; insertion and door-only closure are separate tasks.
DADAPT_036	D5_imported_receptacle	Put the yellow and white mug in the microwave.	LIBERO_10_10	LIBERO_10_07	LIBERO_10_10,LIBERO_10_07	Move the microwave interaction into a different source table; insertion and door-only closure are separate tasks.
DADAPT_037	D5_imported_receptacle	Close the microwave door.	LIBERO_10_10	LIBERO_10_07	LIBERO_10_10,LIBERO_10_07	Move the microwave interaction into a different source table; insertion and door-only closure are separate tasks.
