task_id	episode_index	strict_success	native_final_conjunction	native_ordered_final_success	both_native_ever	left_then_right_supported_steps	supported_final	control_steps	audit_generation	active_agent_missing_branch_availability_protocol	older_wrist_previous_None_causes_retrospectively_verified	original_episode_video
BDRCOMP_001	0	False	False	False	False	[183, None]	[True, False]	1040	retained_original_v2		False	videos/BDRCOMP_001_ep000_fail.mp4
BDRCOMP_001	1	False	False	False	False	[207, None]	[True, False]	1040	retained_original_v2		False	videos/BDRCOMP_001_ep001_fail.mp4
BDRCOMP_001	2	False	False	False	False	[632, None]	[True, False]	1040	retained_original_v2		False	videos/BDRCOMP_001_ep002_fail.mp4
BDRCOMP_001	3	False	False	False	False	[196, None]	[True, False]	1040	retained_original_v2		False	videos/BDRCOMP_001_ep003_fail.mp4
BDRCOMP_001	4	False	False	False	False	[199, None]	[True, False]	1040	retained_original_v2		False	videos/BDRCOMP_001_ep004_fail.mp4
BDRCOMP_002	0	False	False	False	False	[None, None]	[False, False]	1040	retained_original_v2		False	videos/BDRCOMP_002_ep000_fail.mp4
BDRCOMP_002	1	False	False	False	False	[None, None]	[False, False]	1040	retained_original_v2		False	videos/BDRCOMP_002_ep001_fail.mp4
BDRCOMP_002	2	False	False	False	False	[None, None]	[False, False]	1040	retained_original_v2		False	videos/BDRCOMP_002_ep002_fail.mp4
BDRCOMP_002	3	False	False	False	False	[None, None]	[False, False]	1040	retained_original_v2		False	videos/BDRCOMP_002_ep003_fail.mp4
BDRCOMP_002	4	False	False	False	False	[None, None]	[False, False]	1040	retained_original_v2		False	videos/BDRCOMP_002_ep004_fail.mp4
BDRCOMP_003	0	False	False	False	False	[None, None]	[False, False]	1040	retained_original_v2		False	videos/BDRCOMP_003_ep000_fail.mp4
BDRCOMP_003	1	False	False	False	False	[None, None]	[False, False]	1040	retained_original_v2		False	videos/BDRCOMP_003_ep001_fail.mp4
BDRCOMP_003	2	False	False	False	False	[None, None]	[False, False]	1040	retained_original_v2		False	videos/BDRCOMP_003_ep002_fail.mp4
BDRCOMP_003	3	False	False	False	False	[None, None]	[False, False]	1040	retained_original_v2		False	videos/BDRCOMP_003_ep003_fail.mp4
BDRCOMP_003	4	False	False	False	False	[None, None]	[False, False]	1040	retained_original_v2		False	videos/BDRCOMP_003_ep004_fail.mp4
BDRCOMP_004	0	False	False	False	False	[628, None]	[True, False]	1040	retained_original_v2		False	videos/BDRCOMP_004_ep000_fail.mp4
BDRCOMP_004	1	False	False	False	False	[218, None]	[True, False]	1040	retained_original_v2		False	videos/BDRCOMP_004_ep001_fail.mp4
BDRCOMP_004	2	True	True	True	True	[214, 709]	[True, True]	709	retained_original_v2		False	videos/BDRCOMP_004_ep002_ok.mp4
BDRCOMP_004	3	False	False	False	False	[225, None]	[True, False]	1040	retained_original_v2		False	videos/BDRCOMP_004_ep003_fail.mp4
BDRCOMP_004	4	False	False	False	False	[226, None]	[True, False]	1040	retained_original_v2		False	videos/BDRCOMP_004_ep004_fail.mp4
BDRCOMP_005	0	False	False	False	False	[None, None]	[False, False]	1040	retained_original_v2		False	videos/BDRCOMP_005_ep000_fail.mp4
BDRCOMP_005	1	False	False	False	False	[None, None]	[False, False]	1040	retained_original_v2		False	videos/BDRCOMP_005_ep001_fail.mp4
BDRCOMP_005	2	False	False	False	False	[None, None]	[False, False]	1040	retained_original_v2		False	videos/BDRCOMP_005_ep002_fail.mp4
BDRCOMP_005	3	False	False	False	False	[None, None]	[False, False]	1040	retained_original_v2		False	videos/BDRCOMP_005_ep003_fail.mp4
BDRCOMP_005	4	False	False	False	False	[None, None]	[False, False]	1040	retained_original_v2		False	videos/BDRCOMP_005_ep004_fail.mp4
BDRCOMP_006	0	False	False	False	False	[None, None]	[False, False]	1040	retained_original_v2		False	videos/BDRCOMP_006_ep000_fail.mp4
BDRCOMP_006	1	False	False	False	False	[None, None]	[False, False]	1040	retained_original_v2		False	videos/BDRCOMP_006_ep001_fail.mp4
BDRCOMP_006	2	False	False	False	False	[None, None]	[False, False]	1040	retained_original_v2		False	videos/BDRCOMP_006_ep002_fail.mp4
BDRCOMP_006	3	False	False	False	False	[None, None]	[False, False]	1040	retained_original_v2		False	videos/BDRCOMP_006_ep003_fail.mp4
BDRCOMP_006	4	False	False	False	False	[None, None]	[False, False]	1040	retained_original_v2		False	videos/BDRCOMP_006_ep004_fail.mp4
