review_id	task_id	group	instruction	goal	source_task_id	source_instruction	rule	successes	episodes	success_rate_percent	success_videos
DECOMP_001	TDL10_001	Existing final 14	Put the white mug on the left plate.	on(porcelain_mug_1, plate_1)	LIBERO_10_05	put the white mug on the left plate and put the yellow and white mug on the right plate	retained LIBERO-EX decomposition	33	50	66.0	5
DECOMP_002	TDL10_002	Existing final 14	Put the yellow and white mug on the right plate.	on(white_yellow_mug_1, plate_2)	LIBERO_10_05	put the white mug on the left plate and put the yellow and white mug on the right plate	retained LIBERO-EX decomposition	50	50	100.0	5
DECOMP_003	TDL10_003	Existing final 14	Put the white mug on the plate.	on(porcelain_mug_1, plate_1)	LIBERO_10_07	put the white mug on the plate and put the chocolate pudding to the right of the plate	retained LIBERO-EX decomposition	14	50	28.0	5
DECOMP_004	TDL10_004	Existing final 14	Put the chocolate pudding to the right of the plate.	on(chocolate_pudding_1, living_room_table_plate_right_region)	LIBERO_10_07	put the white mug on the plate and put the chocolate pudding to the right of the plate	retained LIBERO-EX decomposition	49	50	98.0	5
DECOMP_005	TDL10_005	Existing final 14	Put the yellow and white mug in the microwave.	in(white_yellow_mug_1, microwave_1_heating_region)	LIBERO_10_10	put the yellow and white mug in the microwave and close it	retained LIBERO-EX decomposition	20	50	40.0	5
DECOMP_006	TDL10_006	Existing final 14	Close the microwave.	close(microwave_1)	LIBERO_10_10	put the yellow and white mug in the microwave and close it	retained LIBERO-EX decomposition	47	50	94.0	5
DECOMP_007	TDL10_008	Existing final 14	Put the moka pot on the stove.	on(moka_pot_1, flat_stove_1_cook_region)	LIBERO_10_03	turn on the stove and put the moka pot on it	retained LIBERO-EX decomposition	10	50	20.0	5
DECOMP_008	TDL10_009	Existing final 14	Put the alphabet soup in the basket.	in(alphabet_soup_1, basket_1_contain_region)	LIBERO_10_08	put both the alphabet soup and the cream cheese box in the basket	retained LIBERO-EX decomposition	50	50	100.0	5
DECOMP_009	TDL10_010	Existing final 14	Put the cream cheese box in the basket.	in(cream_cheese_1, basket_1_contain_region)	LIBERO_10_08	put both the alphabet soup and the cream cheese box in the basket	retained LIBERO-EX decomposition	41	50	82.0	5
DECOMP_010	TDL10_011	Existing final 14	Put the alphabet soup in the basket.	in(alphabet_soup_1, basket_1_contain_region)	LIBERO_10_01	put both the alphabet soup and the tomato sauce in the basket	retained LIBERO-EX decomposition	45	50	90.0	5
DECOMP_011	TDL10_012	Existing final 14	Put the tomato sauce in the basket.	in(tomato_sauce_1, basket_1_contain_region)	LIBERO_10_01	put both the alphabet soup and the tomato sauce in the basket	retained LIBERO-EX decomposition	48	50	96.0	5
DECOMP_012	TDL10_013	Existing final 14	Put the cream cheese box in the basket.	in(cream_cheese_1, basket_1_contain_region)	LIBERO_10_02	put both the cream cheese box and the butter in the basket	retained LIBERO-EX decomposition	22	50	44.0	5
DECOMP_013	TDL10_014	Existing final 14	Put the butter in the basket.	in(butter_1, basket_1_contain_region)	LIBERO_10_02	put both the cream cheese box and the butter in the basket	retained LIBERO-EX decomposition	50	50	100.0	5
DECOMP_014	TDL10_016	Existing final 14	Close the bottom drawer of the cabinet.	close(white_cabinet_1_bottom_region)	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it	retained LIBERO-EX decomposition	16	50	32.0	5
DECOMP_015	TDC40_001	Added final 6	Turn on the stove.	turnon(flat_stove_1)	LIBERO_10_03	turn on the stove and put the moka pot on it	strict_goal_subset_reintroduced	2	10	20.0	2
DECOMP_016	TDC40_002	Added final 6	Put the black bowl in the bottom drawer of the cabinet.	in(akita_black_bowl_1, white_cabinet_1_bottom_region)	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it	strict_goal_subset_reintroduced	0	10	0.0	0
DECOMP_017	TDC40_003	Added final 6	Put the left moka pot on the stove.	on(moka_pot_2, flat_stove_1_cook_region)	LIBERO_10_09	put both moka pots on the stove	strict_goal_subset_new	9	10	90.0	5
DECOMP_018	TDC40_004	Added final 6	Put the right moka pot on the stove.	on(moka_pot_1, flat_stove_1_cook_region)	LIBERO_10_09	put both moka pots on the stove	strict_goal_subset_new	0	10	0.0	0
DECOMP_019	TDC40_005	Added final 6	Open the top drawer of the cabinet.	open(wooden_cabinet_1_top_region)	LIBERO_GOAL_04	Open the top layer of the drawer and put the bowl inside	trajectory_description_decomposition	1	10	10.0	1
DECOMP_020	TDC40_006	Added final 6	Put the black bowl inside the top drawer of the cabinet.	in(akita_black_bowl_1, wooden_cabinet_1_top_region)	LIBERO_GOAL_04	Open the top layer of the drawer and put the bowl inside	semantic_clause_decomposition_prerequisite_normalized	10	10	100.0	5
