task_id	family	instruction	semantic_count	components	full_successes	full_episodes	full_sr	failure_episode	goal_atoms	atom_first_steps	atom_final	max_simultaneous	combination_first_steps	subtasks_reached	num_subtasks	partial_kind	derived_two_step_instruction	failure_video	comparison_png	stove_turn_knob_frames
COMP_008	C1_goal_three_task_clique	Put the cream cheese on the black bowl, then put the black bowl on the plate, and finally open the middle drawer of the cabinet.	3	Put the cream cheese on the black bowl | Put the black bowl on the plate | Open the middle drawer of the cabinet	0	5	0.0	0	on(cream_cheese_1, akita_black_bowl_1) | on(akita_black_bowl_1, plate_1) | open(wooden_cabinet_1_middle_region)	[111, null, 453]	[true, false, true]	2	"{""000"": 0, ""100"": 111, ""101"": 453}"	5	5	non-prefix pair	Put the cream cheese on the black bowl, and then open the middle drawer of the cabinet.	../assets/composition/failure_videos/COMP_008/COMP_008_ep000_fail.mp4	../assets/composition/comparison_png/COMP_008__put_the_cream_cheese_on_the_black_bowl_then_put_the_black_bowl_on_the_plate_and_finally_open_the_middle_drawer_of_the_cabinet.png	0
COMP_036	C1_goal_three_task_clique	Put the cream cheese on the black bowl, then open the middle drawer of the cabinet, and finally open the top drawer and put the black bowl inside.	3	Put the cream cheese on the black bowl | Open the middle drawer of the cabinet | Open the top drawer and put the black bowl inside	0	5	0.0	0	on(cream_cheese_1, akita_black_bowl_1) | open(wooden_cabinet_1_middle_region) | in(akita_black_bowl_1, wooden_cabinet_1_top_region)	[109, 398, null]	[true, true, false]	2	"{""000"": 0, ""100"": 109, ""110"": 398}"	4	6	ordered instruction prefix	Put the cream cheese on the black bowl, and then open the middle drawer of the cabinet.	../assets/composition/failure_videos/COMP_036/COMP_036_ep000_fail.mp4	../assets/composition/comparison_png/COMP_036__put_the_cream_cheese_on_the_black_bowl_then_open_the_middle_drawer_of_the_cabinet_and_finally_open_the_top_drawer_and_put_the_black_bowl_inside.png	0
COMP_042	C1_goal_three_task_clique	Turn on the stove, then open the middle drawer of the cabinet, and finally open the top drawer and put the black bowl inside.	3	Turn on the stove | Open the middle drawer of the cabinet | Open the top drawer and put the black bowl inside	0	5	0.0	4	turnon(flat_stove_1) | open(wooden_cabinet_1_middle_region) | in(akita_black_bowl_1, wooden_cabinet_1_top_region)	[71, 561, null]	[true, true, false]	2	"{""000"": 0, ""100"": 71, ""110"": 561}"	3	5	ordered instruction prefix	Turn on the stove, and then open the middle drawer of the cabinet.	../assets/composition/failure_videos/COMP_042/COMP_042_ep004_fail.mp4	../assets/composition/comparison_png/COMP_042__turn_on_the_stove_then_open_the_middle_drawer_of_the_cabinet_and_finally_open_the_top_drawer_and_put_the_black_bowl_inside.png	10
COMP_046	C1_goal_three_task_clique	Put the cream cheese on the black bowl, then put the wine bottle on top of the cabinet, and finally open the middle drawer of the cabinet.	3	Put the cream cheese on the black bowl | Put the wine bottle on top of the cabinet | Open the middle drawer of the cabinet	0	5	0.0	1	on(cream_cheese_1, akita_black_bowl_1) | on(wine_bottle_1, wooden_cabinet_1_top_side) | open(wooden_cabinet_1_middle_region)	[112, null, 321]	[true, false, true]	2	"{""000"": 0, ""100"": 112, ""101"": 321}"	5	5	non-prefix pair	Put the cream cheese on the black bowl, and then open the middle drawer of the cabinet.	../assets/composition/failure_videos/COMP_046/COMP_046_ep001_fail.mp4	../assets/composition/comparison_png/COMP_046__put_the_cream_cheese_on_the_black_bowl_then_put_the_wine_bottle_on_top_of_the_cabinet_and_finally_open_the_middle_drawer_of_the_cabinet.png	0
COMP_054	C1_goal_three_task_clique	Put the cream cheese on the black bowl, then open the middle drawer of the cabinet, and finally put the black bowl on the stove.	3	Put the cream cheese on the black bowl | Open the middle drawer of the cabinet | Put the black bowl on the stove	0	5	0.0	1	on(cream_cheese_1, akita_black_bowl_1) | open(wooden_cabinet_1_middle_region) | on(akita_black_bowl_1, flat_stove_1_cook_region)	[104, 744, null]	[true, true, false]	2	"{""000"": 0, ""100"": 104, ""110"": 744}"	5	5	ordered instruction prefix	Put the cream cheese on the black bowl, and then open the middle drawer of the cabinet.	../assets/composition/failure_videos/COMP_054/COMP_054_ep001_fail.mp4	../assets/composition/comparison_png/COMP_054__put_the_cream_cheese_on_the_black_bowl_then_open_the_middle_drawer_of_the_cabinet_and_finally_put_the_black_bowl_on_the_stove.png	0
COMP_055	C1_goal_three_task_clique	Put the cream cheese on the black bowl, then open the middle drawer of the cabinet, and finally put the black bowl on top of the cabinet.	3	Put the cream cheese on the black bowl | Open the middle drawer of the cabinet | Put the black bowl on top of the cabinet	0	5	0.0	0	on(cream_cheese_1, akita_black_bowl_1) | open(wooden_cabinet_1_middle_region) | on(akita_black_bowl_1, wooden_cabinet_1_top_side)	[113, 598, null]	[true, true, false]	2	"{""000"": 0, ""100"": 113, ""110"": 598}"	4	5	ordered instruction prefix	Put the cream cheese on the black bowl, and then open the middle drawer of the cabinet.	../assets/composition/failure_videos/COMP_055/COMP_055_ep000_fail.mp4	../assets/composition/comparison_png/COMP_055__put_the_cream_cheese_on_the_black_bowl_then_open_the_middle_drawer_of_the_cabinet_and_finally_put_the_black_bowl_on_top_of_the_cabinet.png	0
COMP_063	C1_goal_three_task_clique	Push the plate to the front of the stove, then turn on the stove, and finally put the black bowl on top of the cabinet.	3	Push the plate to the front of the stove | Turn on the stove | Put the black bowl on top of the cabinet	0	5	0.0	4	on(plate_1, main_table_stove_front_region) | turnon(flat_stove_1) | on(akita_black_bowl_1, wooden_cabinet_1_top_side)	[142, 516, null]	[true, true, false]	2	"{""000"": 0, ""100"": 142, ""110"": 516}"	5	5	ordered instruction prefix	Push the plate to the front of the stove, and then turn on the stove.	../assets/composition/failure_videos/COMP_063/COMP_063_ep004_fail.mp4	../assets/composition/comparison_png/COMP_063__push_the_plate_to_the_front_of_the_stove_then_turn_on_the_stove_and_finally_put_the_black_bowl_on_top_of_the_cabinet.png	7
COMP_066	C1_goal_three_task_clique	Push the plate to the front of the stove, then open the middle drawer of the cabinet, and finally put the black bowl on top of the cabinet.	3	Push the plate to the front of the stove | Open the middle drawer of the cabinet | Put the black bowl on top of the cabinet	0	5	0.0	4	on(plate_1, main_table_stove_front_region) | open(wooden_cabinet_1_middle_region) | on(akita_black_bowl_1, wooden_cabinet_1_top_side)	[139, null, 387]	[true, false, true]	2	"{""000"": 0, ""100"": 139, ""101"": 387}"	5	5	non-prefix pair	Push the plate to the front of the stove, and then put the black bowl on top of the cabinet.	../assets/composition/failure_videos/COMP_066/COMP_066_ep004_fail.mp4	../assets/composition/comparison_png/COMP_066__push_the_plate_to_the_front_of_the_stove_then_open_the_middle_drawer_of_the_cabinet_and_finally_put_the_black_bowl_on_top_of_the_cabinet.png	0
COMP_067	C1_goal_three_task_clique	Turn on the stove, then open the middle drawer of the cabinet, and finally put the black bowl on the stove.	3	Turn on the stove | Open the middle drawer of the cabinet | Put the black bowl on the stove	0	5	0.0	3	turnon(flat_stove_1) | open(wooden_cabinet_1_middle_region) | on(akita_black_bowl_1, flat_stove_1_cook_region)	[74, 583, null]	[true, true, false]	2	"{""000"": 0, ""100"": 74, ""110"": 583}"	3	4	ordered instruction prefix	Turn on the stove, and then open the middle drawer of the cabinet.	../assets/composition/failure_videos/COMP_067/COMP_067_ep003_fail.mp4	../assets/composition/comparison_png/COMP_067__turn_on_the_stove_then_open_the_middle_drawer_of_the_cabinet_and_finally_put_the_black_bowl_on_the_stove.png	11
COMP_068	C1_goal_three_task_clique	Turn on the stove, then open the middle drawer of the cabinet, and finally put the black bowl on top of the cabinet.	3	Turn on the stove | Open the middle drawer of the cabinet | Put the black bowl on top of the cabinet	0	5	0.0	1	turnon(flat_stove_1) | open(wooden_cabinet_1_middle_region) | on(akita_black_bowl_1, wooden_cabinet_1_top_side)	[101, 359, null]	[true, true, false]	2	"{""000"": 0, ""100"": 101, ""110"": 359}"	3	4	ordered instruction prefix	Turn on the stove, and then open the middle drawer of the cabinet.	../assets/composition/failure_videos/COMP_068/COMP_068_ep001_fail.mp4	../assets/composition/comparison_png/COMP_068__turn_on_the_stove_then_open_the_middle_drawer_of_the_cabinet_and_finally_put_the_black_bowl_on_top_of_the_cabinet.png	14
