task_id	instruction	episode_idx	success	video	source_video	source_sha256
WTRAYR_001	Pick up the left plate and place it in the wooden tray.	0	False	local_sources/WTRAYR_001_ep000_fail.mp4	local_sources/WTRAYR_001_ep000_fail.mp4	f59d00ec1640fb4d279e30f7c15dbdc594cac839628c659dae937338eb1ac1e1
WTRAYR_001	Pick up the left plate and place it in the wooden tray.	1	False	local_sources/WTRAYR_001_ep001_fail.mp4	local_sources/WTRAYR_001_ep001_fail.mp4	5c5a8ac07d77d2ee6fb2d006dae0dcffae4260d1abc241105b756eb2b05217e6
WTRAYR_001	Pick up the left plate and place it in the wooden tray.	2	False	local_sources/WTRAYR_001_ep002_fail.mp4	local_sources/WTRAYR_001_ep002_fail.mp4	628e0e164b4b1437976d8dff7ac8b66a407747bc8994a2b173f33ff092a0cd2f
WTRAYR_001	Pick up the left plate and place it in the wooden tray.	3	False	local_sources/WTRAYR_001_ep003_fail.mp4	local_sources/WTRAYR_001_ep003_fail.mp4	de8d77e81425c71ffb12fd7d8c6632217b96a7ea423e157840c8e424b8ae9ac9
WTRAYR_001	Pick up the left plate and place it in the wooden tray.	4	False	local_sources/WTRAYR_001_ep004_fail.mp4	local_sources/WTRAYR_001_ep004_fail.mp4	82dc501884c5740935e5184b042fd1e44385878f6144aeb0a3e24fee59b51914
WTRAYR_002	Pick up the middle plate and place it in the wooden tray.	0	False	local_sources/WTRAYR_002_ep000_fail.mp4	local_sources/WTRAYR_002_ep000_fail.mp4	3efff5cbae8a2e31c2ad1829e01123579cad8bdece347303404767e2548abcef
WTRAYR_002	Pick up the middle plate and place it in the wooden tray.	1	False	local_sources/WTRAYR_002_ep001_fail.mp4	local_sources/WTRAYR_002_ep001_fail.mp4	7c75649e1d1efb6d60c44e7e3039aac041437f5a564db19820acc73c46539545
WTRAYR_002	Pick up the middle plate and place it in the wooden tray.	2	False	local_sources/WTRAYR_002_ep002_fail.mp4	local_sources/WTRAYR_002_ep002_fail.mp4	382f6e3864a0923fd4b72e8eeafc25ad9d4e036177248ac8bab357a1a4d82ba0
WTRAYR_002	Pick up the middle plate and place it in the wooden tray.	3	False	local_sources/WTRAYR_002_ep003_fail.mp4	local_sources/WTRAYR_002_ep003_fail.mp4	09c50b6c5b0ab5bb44797b2993fe31a24a2fa55f866f76474222b888a9f35401
WTRAYR_002	Pick up the middle plate and place it in the wooden tray.	4	False	local_sources/WTRAYR_002_ep004_fail.mp4	local_sources/WTRAYR_002_ep004_fail.mp4	a273debef97b8c73a39c182bcea33f7ef6787abff7a8504b47eaa3a8f698f486
WTRAYR_003	Pick up the right plate and place it in the wooden tray.	0	False	local_sources/WTRAYR_003_ep000_fail.mp4	local_sources/WTRAYR_003_ep000_fail.mp4	4176ca3636c5dd20275a57ea84739ea93ed6fbc39c767654cb9dd30f2f382c17
WTRAYR_003	Pick up the right plate and place it in the wooden tray.	1	False	local_sources/WTRAYR_003_ep001_fail.mp4	local_sources/WTRAYR_003_ep001_fail.mp4	8f3c3decc9bcd7cf3384b8ca4f09f21437f2c1139e07672356eebdfc9be6e786
WTRAYR_003	Pick up the right plate and place it in the wooden tray.	2	False	local_sources/WTRAYR_003_ep002_fail.mp4	local_sources/WTRAYR_003_ep002_fail.mp4	2d3c94d2bf0d5865143d6c2dcd11fe29dfc6e938f9dfbec1605543e8ee3c0416
WTRAYR_003	Pick up the right plate and place it in the wooden tray.	3	False	local_sources/WTRAYR_003_ep003_fail.mp4	local_sources/WTRAYR_003_ep003_fail.mp4	f38c2d44a85a40a5c7691e729795f319c6fdcdecea538d6f12a7e367370c18f3
WTRAYR_003	Pick up the right plate and place it in the wooden tray.	4	False	local_sources/WTRAYR_003_ep004_fail.mp4	local_sources/WTRAYR_003_ep004_fail.mp4	af1f70ffb3a12493521be7e20e25e1cd50a1ed28640e0330ee7b69fe8d89114b
WTRAYR_004	Pick up the black bowl and place it in the wooden tray.	0	False	local_sources/WTRAYR_004_ep000_fail.mp4	local_sources/WTRAYR_004_ep000_fail.mp4	87347e1e1cc39468ea0ee45132fce82b8163486519fb1535febe32553e161ea2
WTRAYR_004	Pick up the black bowl and place it in the wooden tray.	3	False	local_sources/WTRAYR_004_ep003_fail.mp4	local_sources/WTRAYR_004_ep003_fail.mp4	f3f6090a0c2f456ed7e6ea7897f7ff9953723764778a701a6872914b5a8f3acf
WTRAYR_004	Pick up the black bowl and place it in the wooden tray.	4	False	local_sources/WTRAYR_004_ep004_fail.mp4	local_sources/WTRAYR_004_ep004_fail.mp4	78bd458f8290142d6057b9aa2a09eeff1a9ff2285b9c655eed4c3ac261a7013b
WTRAYR_005	Pick up the ramekin and place it in the wooden tray.	0	False	local_sources/WTRAYR_005_ep000_fail.mp4	local_sources/WTRAYR_005_ep000_fail.mp4	27b63cf838cd5359ebb8ee427e0ccdbdea9446c28d9ba1c29131b6c6f70210fc
WTRAYR_005	Pick up the ramekin and place it in the wooden tray.	1	False	local_sources/WTRAYR_005_ep001_fail.mp4	local_sources/WTRAYR_005_ep001_fail.mp4	9a4dab974e8f434b90c0e36ac2c2a7cce3ca392632d5db4141ddc66d7f771134
WTRAYR_005	Pick up the ramekin and place it in the wooden tray.	3	False	local_sources/WTRAYR_005_ep003_fail.mp4	local_sources/WTRAYR_005_ep003_fail.mp4	525b7e2ed39154914e6bd103f690dcdcc3e1d2d6c50ecb5a6e7fd3bccbd5e623
WTRAYR_005	Pick up the ramekin and place it in the wooden tray.	4	False	local_sources/WTRAYR_005_ep004_fail.mp4	local_sources/WTRAYR_005_ep004_fail.mp4	152f2e9485aa444cd6916cb657a0be959b7b0790af8a957e8c9c45fd0b74889a
WTRAYR_006	Pick up the white bowl and place it in the wooden tray.	1	False	local_sources/WTRAYR_006_ep001_fail.mp4	local_sources/WTRAYR_006_ep001_fail.mp4	fe1e9ea2540e8946cd2f477aae35115607d3ac32c08d0aa9e9966e5489c2f0ab
WTRAYR_006	Pick up the white bowl and place it in the wooden tray.	3	False	local_sources/WTRAYR_006_ep003_fail.mp4	local_sources/WTRAYR_006_ep003_fail.mp4	06decce047ebecfa4fcfc070797d2617d07d5be4da0865b987c6aa341c0c7da4
WTRAYR_006	Pick up the white bowl and place it in the wooden tray.	4	False	local_sources/WTRAYR_006_ep004_fail.mp4	local_sources/WTRAYR_006_ep004_fail.mp4	e6ce3c83ec14f5b69e36af6314f259d9112d84f1dfdcc8878fa5f7001ec95c0e
