global_index	task_id	suite	suite_index	instruction	goal	stem	fixtures	objects	interaction_summary	mask_areas	card_png
1	LIBERO_SPATIAL_01	libero_spatial	1	Pick the akita black bowl between the plate and the ramekin and place it on the plate	(And (On akita_black_bowl_1 plate_1))	pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate	main_table - table; wooden_cabinet_1 - wooden_cabinet; flat_stove_1 - flat_stove	akita_black_bowl_1 akita_black_bowl_2 - akita_black_bowl; cookies_1 - cookies; glazed_rim_porcelain_ramekin_1 - glazed_rim_porcelain_ramekin; plate_1 - plate	akita_black_bowl_1 (green); plate_1 (yellow)	"{""goal_destination_02"": 5559, ""manipulated_object_01"": 3289}"	LIBERO_SPATIAL_01.png
2	LIBERO_SPATIAL_02	libero_spatial	2	Pick the akita black bowl next to the ramekin and place it on the plate	(And (On akita_black_bowl_1 plate_1))	pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate	main_table - table; wooden_cabinet_1 - wooden_cabinet; flat_stove_1 - flat_stove	akita_black_bowl_1 akita_black_bowl_2 - akita_black_bowl; cookies_1 - cookies; glazed_rim_porcelain_ramekin_1 - glazed_rim_porcelain_ramekin; plate_1 - plate	akita_black_bowl_1 (green); plate_1 (yellow)	"{""goal_destination_02"": 5812, ""manipulated_object_01"": 2626}"	LIBERO_SPATIAL_02.png
3	LIBERO_SPATIAL_03	libero_spatial	3	Pick the akita black bowl from table center and place it on the plate	(And (On akita_black_bowl_1 plate_1))	pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate	main_table - table; wooden_cabinet_1 - wooden_cabinet; flat_stove_1 - flat_stove	akita_black_bowl_1 akita_black_bowl_2 - akita_black_bowl; cookies_1 - cookies; glazed_rim_porcelain_ramekin_1 - glazed_rim_porcelain_ramekin; plate_1 - plate	akita_black_bowl_1 (green); plate_1 (yellow)	"{""goal_destination_02"": 5843, ""manipulated_object_01"": 3173}"	LIBERO_SPATIAL_03.png
4	LIBERO_SPATIAL_04	libero_spatial	4	Pick the akita black bowl on the cookies box and place it on the plate	(And (On akita_black_bowl_1 plate_1))	pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate	main_table - table; wooden_cabinet_1 - wooden_cabinet; flat_stove_1 - flat_stove	akita_black_bowl_1 akita_black_bowl_2 - akita_black_bowl; cookies_1 - cookies; glazed_rim_porcelain_ramekin_1 - glazed_rim_porcelain_ramekin; plate_1 - plate	akita_black_bowl_1 (green); plate_1 (yellow)	"{""goal_destination_02"": 5811, ""manipulated_object_01"": 4843}"	LIBERO_SPATIAL_04.png
5	LIBERO_SPATIAL_05	libero_spatial	5	Pick the akita black bowl in the top layer of the wooden cabinet and place it on the plate	(And (On akita_black_bowl_1 plate_1))	pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate	main_table - table; wooden_cabinet_1 - wooden_cabinet; flat_stove_1 - flat_stove	akita_black_bowl_1 akita_black_bowl_2 - akita_black_bowl; cookies_1 - cookies; glazed_rim_porcelain_ramekin_1 - glazed_rim_porcelain_ramekin; plate_1 - plate	akita_black_bowl_1 (green); plate_1 (yellow)	"{""goal_destination_02"": 5585, ""manipulated_object_01"": 5527}"	LIBERO_SPATIAL_05.png
6	LIBERO_SPATIAL_06	libero_spatial	6	Pick the akita black bowl on the ramekin and place it on the plate	(And (On akita_black_bowl_1 plate_1))	pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate	main_table - table; wooden_cabinet_1 - wooden_cabinet; flat_stove_1 - flat_stove	akita_black_bowl_1 akita_black_bowl_2 - akita_black_bowl; cookies_1 - cookies; glazed_rim_porcelain_ramekin_1 - glazed_rim_porcelain_ramekin; plate_1 - plate	akita_black_bowl_1 (green); plate_1 (yellow)	"{""goal_destination_02"": 5877, ""manipulated_object_01"": 2825}"	LIBERO_SPATIAL_06.png
7	LIBERO_SPATIAL_07	libero_spatial	7	Pick the akita black bowl next to the cookies box and place it on the plate	(And (On akita_black_bowl_1 plate_1))	pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate	main_table - table; wooden_cabinet_1 - wooden_cabinet; flat_stove_1 - flat_stove	akita_black_bowl_1 akita_black_bowl_2 - akita_black_bowl; cookies_1 - cookies; glazed_rim_porcelain_ramekin_1 - glazed_rim_porcelain_ramekin; plate_1 - plate	akita_black_bowl_1 (green); plate_1 (yellow)	"{""goal_destination_02"": 5809, ""manipulated_object_01"": 5128}"	LIBERO_SPATIAL_07.png
8	LIBERO_SPATIAL_08	libero_spatial	8	Pick the akita black bowl on the stove and place it on the plate	(And (On akita_black_bowl_1 plate_1))	pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate	main_table - table; wooden_cabinet_1 - wooden_cabinet; flat_stove_1 - flat_stove	akita_black_bowl_1 akita_black_bowl_2 - akita_black_bowl; cookies_1 - cookies; glazed_rim_porcelain_ramekin_1 - glazed_rim_porcelain_ramekin; plate_1 - plate	akita_black_bowl_1 (green); plate_1 (yellow)	"{""goal_destination_02"": 5667, ""manipulated_object_01"": 2348}"	LIBERO_SPATIAL_08.png
9	LIBERO_SPATIAL_09	libero_spatial	9	Pick the akita black bowl next to the plate and place it on the plate	(And (On akita_black_bowl_1 plate_1))	pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate	main_table - table; wooden_cabinet_1 - wooden_cabinet; flat_stove_1 - flat_stove	akita_black_bowl_1 akita_black_bowl_2 - akita_black_bowl; cookies_1 - cookies; glazed_rim_porcelain_ramekin_1 - glazed_rim_porcelain_ramekin; plate_1 - plate	akita_black_bowl_1 (green); plate_1 (yellow)	"{""goal_destination_02"": 5586, ""manipulated_object_01"": 3891}"	LIBERO_SPATIAL_09.png
10	LIBERO_SPATIAL_10	libero_spatial	10	Pick the akita black bowl on the wooden cabinet and place it on the plate	(And (On akita_black_bowl_1 plate_1))	pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate	main_table - table; wooden_cabinet_1 - wooden_cabinet; flat_stove_1 - flat_stove	akita_black_bowl_1 akita_black_bowl_2 - akita_black_bowl; cookies_1 - cookies; glazed_rim_porcelain_ramekin_1 - glazed_rim_porcelain_ramekin; plate_1 - plate	akita_black_bowl_1 (green); plate_1 (yellow)	"{""goal_destination_02"": 5488, ""manipulated_object_01"": 4202}"	LIBERO_SPATIAL_10.png
