task_id	instruction	layout	physical_group	verified_successes	completed_episodes	success_rate_percent	failure_count	mask_diagnostic_alias_of	input_mask_contract	reel	reel_seconds	comparison_png
VCN91_001	Turn on the stove, then put the moka pot on the stove, then put the black bowl on top of the cabinet.	K3 + Goal (원본 좌표)	top3	0	5	0	5		original task-specific GT segmentation	../assets/compose_recent_failures/reels/VCN91_001_failures.mp4	278.8	../assets/compose_recent_failures/comparison_png/VCN91_001.png
VCN91_002	Put the black bowl on top of the cabinet, then turn on the stove, then put the moka pot on the stove.	K3 + Goal (원본 좌표)	top3	1	5	20	4		original task-specific GT segmentation	../assets/compose_recent_failures/reels/VCN91_002_failures.mp4	180.6	../assets/compose_recent_failures/comparison_png/VCN91_002.png
VCN91_003	Turn on the stove, then put the moka pot on the stove, then open the top drawer, then put the black bowl in the top drawer.	K3 + Goal (drawer·bowl 1.3cm 조정)	drawer4	0	5	0	5		original task-specific GT segmentation	../assets/compose_recent_failures/reels/VCN91_003_failures.mp4	354.2	../assets/compose_recent_failures/comparison_png/VCN91_003.png
VCN91_004	Open the top drawer, then put the black bowl in the top drawer, then turn on the stove, then put the moka pot on the stove.	K3 + Goal (drawer·bowl 1.3cm 조정)	drawer4	0	5	0	5		original task-specific GT segmentation	../assets/compose_recent_failures/reels/VCN91_004_failures.mp4	353.0	../assets/compose_recent_failures/comparison_png/VCN91_004.png
VCN91_005	Turn on the stove, then put the black bowl on top of the cabinet, then put the moka pot on the stove.	K3 + Goal (원본 좌표)	top3	0	5	0	5		original task-specific GT segmentation	../assets/compose_recent_failures/reels/VCN91_005_failures.mp4	278.2	../assets/compose_recent_failures/comparison_png/VCN91_005.png
VCN91_006	Turn on the stove, then put the moka pot on the stove, then open the top drawer, then put the black bowl in the top drawer.	K3 + Goal (drawer·bowl 1.3cm 조정)	drawer4	0	5	0	5	VCN91_003	cabinet_top_only_dedicated_zero_msaa_framebuffer_v1	../assets/compose_recent_failures/reels/VCN91_006_failures.mp4	354.2	../assets/compose_recent_failures/comparison_png/VCN91_006.png
VCN91_007	Open the top drawer, then put the black bowl in the top drawer, then turn on the stove, then put the moka pot on the stove.	K3 + Goal (drawer·bowl 1.3cm 조정)	drawer4	0	5	0	5	VCN91_004	cabinet_top_only_dedicated_zero_msaa_framebuffer_v1	../assets/compose_recent_failures/reels/VCN91_007_failures.mp4	304.0	../assets/compose_recent_failures/comparison_png/VCN91_007.png
VCN92_001	Open the middle drawer of the cabinet, then put the book in the back compartment of the caddy.	Study 기준 + Goal drawer	study_anchor_goal_drawer	0	5	0	5		original task-specific GT segmentation	../assets/compose_recent_failures/reels/VCN92_001_failures.mp4	201.4	../assets/compose_recent_failures/comparison_png/VCN92_001.png
VCN92_002	Put the book in the back compartment of the caddy, then open the middle drawer of the cabinet.	Study 기준 + Goal drawer	study_anchor_goal_drawer	0	5	0	5		original task-specific GT segmentation	../assets/compose_recent_failures/reels/VCN92_002_failures.mp4	201.4	../assets/compose_recent_failures/comparison_png/VCN92_002.png
VCN92_003	Open the middle drawer of the cabinet, then put the book in the back compartment of the caddy.	Goal 기준 + Study book/caddy	goal_anchor_study_book_caddy	0	5	0	5		cabinet_middle_only_dedicated_zero_msaa_framebuffer_v1	../assets/compose_recent_failures/reels/VCN92_003_failures.mp4	202.0	../assets/compose_recent_failures/comparison_png/VCN92_003.png
VCN92_004	Put the book in the back compartment of the caddy, then open the middle drawer of the cabinet.	Goal 기준 + Study book/caddy	goal_anchor_study_book_caddy	0	5	0	5		cabinet_middle_only_dedicated_zero_msaa_framebuffer_v1	../assets/compose_recent_failures/reels/VCN92_004_failures.mp4	202.6	../assets/compose_recent_failures/comparison_png/VCN92_004.png
VCN92_005	Open the middle drawer of the cabinet, then put the book in the back compartment of the caddy.	Study 기준 + Goal drawer	study_anchor_goal_drawer	0	5	0	5	VCN92_001	cabinet_middle_only_dedicated_zero_msaa_framebuffer_v1	../assets/compose_recent_failures/reels/VCN92_005_failures.mp4	201.4	../assets/compose_recent_failures/comparison_png/VCN92_005.png
VCN92_006	Put the book in the back compartment of the caddy, then open the middle drawer of the cabinet.	Study 기준 + Goal drawer	study_anchor_goal_drawer	0	5	0	5	VCN92_002	cabinet_middle_only_dedicated_zero_msaa_framebuffer_v1	../assets/compose_recent_failures/reels/VCN92_006_failures.mp4	201.0	../assets/compose_recent_failures/comparison_png/VCN92_006.png
