task_id	family	instruction	skill_sources	scene_sources	all_sources	transfer_summary
NAF_001	F01_plate_into_drainer	Put the plate in the left compartment of the drainer.	LIBERO_GOAL_09,LIBERO_10_04	LIBERO_GOAL_06	LIBERO_GOAL_06,LIBERO_GOAL_09,LIBERO_10_04	Transfer an original40 movement/placement primitive to an unused40 functional destination, with explicit original40 positional anchors and independently rebuilt foreground geometry.
NAF_002	F01_plate_into_drainer	Put the plate in the right compartment of the drainer.	LIBERO_GOAL_09,LIBERO_10_04	LIBERO_GOAL_06	LIBERO_GOAL_06,LIBERO_GOAL_09,LIBERO_10_04	Transfer an original40 movement/placement primitive to an unused40 functional destination, with explicit original40 positional anchors and independently rebuilt foreground geometry.
NAF_003	F01_plate_into_drainer	Put the plate in the left compartment of the drainer.	LIBERO_GOAL_09,LIBERO_10_04	LIBERO_GOAL_06	LIBERO_GOAL_06,LIBERO_GOAL_09,LIBERO_10_04	Transfer an original40 movement/placement primitive to an unused40 functional destination, with explicit original40 positional anchors and independently rebuilt foreground geometry.
NAF_004	F01_plate_into_drainer	Put the plate in the right compartment of the drainer.	LIBERO_GOAL_09,LIBERO_10_04	LIBERO_GOAL_06	LIBERO_GOAL_06,LIBERO_GOAL_09,LIBERO_10_04	Transfer an original40 movement/placement primitive to an unused40 functional destination, with explicit original40 positional anchors and independently rebuilt foreground geometry.
NAF_005	F02_plate_on_dining_set	Put the plate on the dining-set mat.	LIBERO_GOAL_09,LIBERO_10_04	LIBERO_GOAL_06	LIBERO_GOAL_06,LIBERO_GOAL_09,LIBERO_10_04	Transfer an original40 movement/placement primitive to an unused40 functional destination, with explicit original40 positional anchors and independently rebuilt foreground geometry.
NAF_006	F02_plate_on_dining_set	Put the plate on the dining-set mat.	LIBERO_GOAL_09,LIBERO_10_04	LIBERO_GOAL_06	LIBERO_GOAL_06,LIBERO_GOAL_09,LIBERO_10_04	Transfer an original40 movement/placement primitive to an unused40 functional destination, with explicit original40 positional anchors and independently rebuilt foreground geometry.
NAF_007	F02_plate_on_dining_set	Put the plate on the dining-set mat.	LIBERO_GOAL_09,LIBERO_10_04	LIBERO_GOAL_06	LIBERO_GOAL_06,LIBERO_GOAL_09,LIBERO_10_04	Transfer an original40 movement/placement primitive to an unused40 functional destination, with explicit original40 positional anchors and independently rebuilt foreground geometry.
NAF_008	F02_plate_on_dining_set	Put the plate on the dining-set mat.	LIBERO_GOAL_09,LIBERO_10_04	LIBERO_GOAL_06	LIBERO_GOAL_06,LIBERO_GOAL_09,LIBERO_10_04	Transfer an original40 movement/placement primitive to an unused40 functional destination, with explicit original40 positional anchors and independently rebuilt foreground geometry.
NAF_009	F03_popcorn_microwave_atomic	Put the popcorn in the microwave.	LIBERO_10_10	LIBERO_10_10	LIBERO_10_10	One original40 microwave primitive transferred to popcorn or its prepared containment context.
NAF_010	F03_popcorn_microwave_atomic	Close the microwave.	LIBERO_10_10	LIBERO_10_10	LIBERO_10_10	One original40 microwave primitive transferred to popcorn or its prepared containment context.
NAF_011	F03_popcorn_microwave_atomic	Put the popcorn in the microwave.	LIBERO_10_10	LIBERO_10_10	LIBERO_10_10	One original40 microwave primitive transferred to popcorn or its prepared containment context.
NAF_012	F03_popcorn_microwave_atomic	Close the microwave.	LIBERO_10_10	LIBERO_10_10	LIBERO_10_10	One original40 microwave primitive transferred to popcorn or its prepared containment context.
