task_id	family	instruction	source_suite	source_task_id	source_task	original_instruction	goal_atom	evidence_notes	gpu	successes	episodes	success_rate_percent	success_videos	failure_videos	failure_episode_idx	comparison_png	comparison_sha256	result_dir	skill_sources	scene_sources	all_sources	transfer_summary	success_episode_ids	original_trial_outcomes
NADAPT_001	N1_new_shelf_and_cubby	Put the popcorn on the bottom shelf.	libero_10		STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy	pick up the book and place it in the back compartment of the caddy	in(popcorn_1, wooden_shelf_1_bottom_region)	Transfer one demonstrated pickup-and-placement action between newly composed physical fixtures in novel_study_shelf_cubby.	2	0	5	0.0	0	1	0	../assets/diverse_adapt_novel/comparison_png/NADAPT_001__comparison.png	85756ae9ba2ddbfd6679fd6e13bdb6a47af0d1977c4d89277895e12d07c898b7		LIBERO_SPATIAL_05,LIBERO_10_04		LIBERO_SPATIAL_05,LIBERO_10_04,LIBERO_10_06	Transfer one demonstrated pickup-and-placement action between newly composed physical fixtures in novel_study_shelf_cubby.		ep0: failure · ep1: failure · ep2: failure · ep3: failure · ep4: failure
NADAPT_002	N1_new_shelf_and_cubby	Put the popcorn on the middle shelf.	libero_10		STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy	pick up the book and place it in the back compartment of the caddy	in(popcorn_1, wooden_shelf_1_middle_region)	Transfer one demonstrated pickup-and-placement action between newly composed physical fixtures in novel_study_shelf_cubby.	3	0	5	0.0	0	1	0	../assets/diverse_adapt_novel/comparison_png/NADAPT_002__comparison.png	402becaf1280a8c4bb916c6e595bbb9a8441be36791c08247e8386541cbdad45		LIBERO_SPATIAL_05,LIBERO_10_04		LIBERO_SPATIAL_05,LIBERO_10_04,LIBERO_10_06	Transfer one demonstrated pickup-and-placement action between newly composed physical fixtures in novel_study_shelf_cubby.		ep0: failure · ep1: failure · ep2: failure · ep3: failure · ep4: failure
NADAPT_003	N1_new_shelf_and_cubby	Put the popcorn on top of the white storage box.	libero_10		STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy	pick up the book and place it in the back compartment of the caddy	on(popcorn_1, white_storage_box_1_top_side)	Transfer one demonstrated pickup-and-placement action between newly composed physical fixtures in novel_study_shelf_cubby.	2	0	5	0.0	0	1	0	../assets/diverse_adapt_novel/comparison_png/NADAPT_003__comparison.png	224afd40dbc595ccc9d3ddbe7e7394f0bc3a1702bf080e80fc5ba92f967462c6		LIBERO_SPATIAL_05,LIBERO_10_04		LIBERO_SPATIAL_05,LIBERO_10_04,LIBERO_10_06	Transfer one demonstrated pickup-and-placement action between newly composed physical fixtures in novel_study_shelf_cubby.		ep0: failure · ep1: failure · ep2: failure · ep3: failure · ep4: failure
NADAPT_004	N1_new_shelf_and_cubby	Put the macaroni and cheese on top of the white storage box.	libero_10		STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy	pick up the book and place it in the back compartment of the caddy	on(macaroni_and_cheese_1, white_storage_box_1_top_side)	Transfer one demonstrated pickup-and-placement action between newly composed physical fixtures in novel_study_shelf_cubby.	3	0	5	0.0	0	1	0	../assets/diverse_adapt_novel/comparison_png/NADAPT_004__comparison.png	1508b5745d828c71c2b44960230f9371325fcbddd0ce7ac9b0d20b8b9e1e6854		LIBERO_SPATIAL_05,LIBERO_10_04		LIBERO_SPATIAL_05,LIBERO_10_04,LIBERO_10_06	Transfer one demonstrated pickup-and-placement action between newly composed physical fixtures in novel_study_shelf_cubby.		ep0: failure · ep1: failure · ep2: failure · ep3: failure · ep4: failure
NADAPT_005	N2_new_drainer_and_cubby	Put the popcorn in the left compartment of the drainer.	libero_10		KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it	put the black bowl in the bottom drawer of the cabinet and close it	in(popcorn_1, bowl_drainer_1_left_region)	Transfer one demonstrated pickup-and-placement action between newly composed physical fixtures in novel_kitchen_drainer_cubby.	2	0	5	0.0	0	1	0	../assets/diverse_adapt_novel/comparison_png/NADAPT_005__comparison.png	3bf9e42cb6ff04c362f6db1f2953a06e6688500a14bdcbe055a951e45c094716		LIBERO_SPATIAL_05,LIBERO_10_04		LIBERO_SPATIAL_05,LIBERO_10_04	Transfer one demonstrated pickup-and-placement action between newly composed physical fixtures in novel_kitchen_drainer_cubby.		ep0: failure · ep1: failure · ep2: failure · ep3: failure · ep4: failure
NADAPT_006	N2_new_drainer_and_cubby	Put the popcorn in the right compartment of the drainer.	libero_10		KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it	put the black bowl in the bottom drawer of the cabinet and close it	in(popcorn_1, bowl_drainer_1_right_region)	Transfer one demonstrated pickup-and-placement action between newly composed physical fixtures in novel_kitchen_drainer_cubby.	3	0	5	0.0	0	1	0	../assets/diverse_adapt_novel/comparison_png/NADAPT_006__comparison.png	1e32569132c7a64ab23e0c03dabc7bd5b4a0a30bbe7b35338ac00b16242f08c7		LIBERO_SPATIAL_05,LIBERO_10_04		LIBERO_SPATIAL_05,LIBERO_10_04	Transfer one demonstrated pickup-and-placement action between newly composed physical fixtures in novel_kitchen_drainer_cubby.		ep0: failure · ep1: failure · ep2: failure · ep3: failure · ep4: failure
NADAPT_007	N2_new_drainer_and_cubby	Put the popcorn from the left drainer compartment on top of the white storage box.	libero_10		KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it	put the black bowl in the bottom drawer of the cabinet and close it	on(popcorn_1, white_storage_box_1_top_side)	Transfer one demonstrated pickup-and-placement action between newly composed physical fixtures in novel_kitchen_drainer_cubby.	2	0	5	0.0	0	1	0	../assets/diverse_adapt_novel/comparison_png/NADAPT_007__comparison.png	169f50770691db05d488f8314d01b20b8c7bc48e5624f69986099777a572c669		LIBERO_SPATIAL_05,LIBERO_10_04		LIBERO_SPATIAL_05,LIBERO_10_04	Transfer one demonstrated pickup-and-placement action between newly composed physical fixtures in novel_kitchen_drainer_cubby.		ep0: failure · ep1: failure · ep2: failure · ep3: failure · ep4: failure
NADAPT_008	N2_new_drainer_and_cubby	Put the popcorn from the right drainer compartment on top of the white storage box.	libero_10		KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it	put the black bowl in the bottom drawer of the cabinet and close it	on(popcorn_1, white_storage_box_1_top_side)	Transfer one demonstrated pickup-and-placement action between newly composed physical fixtures in novel_kitchen_drainer_cubby.	3	0	5	0.0	0	1	0	../assets/diverse_adapt_novel/comparison_png/NADAPT_008__comparison.png	a0558f4321e7e56df98f3f7707e83029c7e69a25e786af0b96bb1ffc185f166c		LIBERO_SPATIAL_05,LIBERO_10_04		LIBERO_SPATIAL_05,LIBERO_10_04	Transfer one demonstrated pickup-and-placement action between newly composed physical fixtures in novel_kitchen_drainer_cubby.		ep0: failure · ep1: failure · ep2: failure · ep3: failure · ep4: failure
NADAPT_009	N3_new_short_drawers_and_shelf	Put the popcorn in the top drawer.	libero_10		LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket	put both the alphabet soup and the cream cheese box in the basket	in(popcorn_1, short_cabinet_1_top_region)	Transfer one demonstrated pickup-and-placement action between newly composed physical fixtures in novel_living_drawers_shelf.	2	0	5	0.0	0	1	0	../assets/diverse_adapt_novel/comparison_png/NADAPT_009__comparison.png	939f1fae999d77c1af468da378a76167b15b1b0fd5e03f1164ad3e28a0eab438		LIBERO_SPATIAL_05,LIBERO_10_04		LIBERO_SPATIAL_05,LIBERO_10_04,LIBERO_10_08	Transfer one demonstrated pickup-and-placement action between newly composed physical fixtures in novel_living_drawers_shelf.		ep0: failure · ep1: failure · ep2: failure · ep3: failure · ep4: failure
NADAPT_010	N3_new_short_drawers_and_shelf	Put the popcorn in the middle drawer.	libero_10		LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket	put both the alphabet soup and the cream cheese box in the basket	in(popcorn_1, short_cabinet_1_middle_region)	Transfer one demonstrated pickup-and-placement action between newly composed physical fixtures in novel_living_drawers_shelf.	3	0	5	0.0	0	1	0	../assets/diverse_adapt_novel/comparison_png/NADAPT_010__comparison.png	1d20563dce160a8783b6b69ecf99a9ee7bf88d1c8eb03806d641b2c5c4aceb5f		LIBERO_SPATIAL_05,LIBERO_10_04		LIBERO_SPATIAL_05,LIBERO_10_04,LIBERO_10_08	Transfer one demonstrated pickup-and-placement action between newly composed physical fixtures in novel_living_drawers_shelf.		ep0: failure · ep1: failure · ep2: failure · ep3: failure · ep4: failure
