task_id	adapt_instruction	skill_source_ids	skill_source_instructions	scene_source_id	scene_source_instruction	object_source_ids	all_evidence_source_ids	evidence_roles	flags	cross_category_exact_overlaps	review_status
ADAPT_001	Put the white mug on the middle plate.	LIBERO_10_05	put the white mug on the left plate and put the yellow and white mug on the right plate	LIBERO_10_05	put the white mug on the left plate and put the yellow and white mug on the right plate		LIBERO_10_05	LIBERO_10_05:SKILL SOURCE+SCENE SOURCE			ELIGIBLE
ADAPT_002	Put the white mug on the right plate.	LIBERO_10_05	put the white mug on the left plate and put the yellow and white mug on the right plate	LIBERO_10_05	put the white mug on the left plate and put the yellow and white mug on the right plate		LIBERO_10_05	LIBERO_10_05:SKILL SOURCE+SCENE SOURCE			ELIGIBLE
ADAPT_003	Put the black bowl in the middle drawer of the white cabinet.	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it		LIBERO_10_04	LIBERO_10_04:SKILL SOURCE+SCENE SOURCE			ELIGIBLE
ADAPT_004	Close the top drawer of the white cabinet.	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it		LIBERO_10_04	LIBERO_10_04:SKILL SOURCE+SCENE SOURCE			ELIGIBLE
ADAPT_005	Close the middle drawer of the white cabinet.	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it		LIBERO_10_04	LIBERO_10_04:SKILL SOURCE+SCENE SOURCE			ELIGIBLE
ADAPT_006	Pick up the wine bottle at the table center and place it on the plate.	LIBERO_SPATIAL_03	Pick the akita black bowl from table center and place it on the plate	LIBERO_SPATIAL_03	Pick the akita black bowl from table center and place it on the plate	LIBERO_GOAL_03	LIBERO_SPATIAL_03,LIBERO_GOAL_03	LIBERO_SPATIAL_03:SKILL SOURCE+SCENE SOURCE || LIBERO_GOAL_03:OBJECT-INTERACTION SOURCE			ELIGIBLE
ADAPT_007	Put the plate on the top of the wooden cabinet.	LIBERO_GOAL_03	Put the wine bottle on the top of the drawer	LIBERO_GOAL_03	Put the wine bottle on the top of the drawer	LIBERO_GOAL_06	LIBERO_GOAL_03,LIBERO_GOAL_06	LIBERO_GOAL_03:SKILL SOURCE+SCENE SOURCE || LIBERO_GOAL_06:OBJECT-INTERACTION SOURCE			ELIGIBLE
ADAPT_008	Put the cream cheese in the top drawer of the wooden cabinet.	LIBERO_GOAL_04	Open the top layer of the drawer and put the bowl inside	LIBERO_GOAL_04	Open the top layer of the drawer and put the bowl inside	LIBERO_OBJECT_02	LIBERO_GOAL_04,LIBERO_OBJECT_02	LIBERO_GOAL_04:SKILL SOURCE+SCENE SOURCE || LIBERO_OBJECT_02:OBJECT-INTERACTION SOURCE			ELIGIBLE
ADAPT_009	Put the yellow and white mug in the left compartment of the caddy.	LIBERO_10_06	pick up the book and place it in the back compartment of the caddy	LIBERO_10_06	pick up the book and place it in the back compartment of the caddy	LIBERO_10_05	LIBERO_10_06,LIBERO_10_05	LIBERO_10_06:SKILL SOURCE+SCENE SOURCE || LIBERO_10_05:OBJECT-INTERACTION SOURCE			ELIGIBLE
ADAPT_010	Pick the alphabet soup on the right and place it in the basket on the left.	LIBERO_OBJECT_01	Pick the alphabet soup and place it in the basket	LIBERO_OBJECT_01	Pick the alphabet soup and place it in the basket		LIBERO_OBJECT_01	LIBERO_OBJECT_01:SKILL SOURCE+SCENE SOURCE			ELIGIBLE
