task_id	family	instruction	source_suite	source_task	original_instruction	goal_atom	successes	episodes	success_rate_percent	success_videos
ANLGX_001	E1_clean_exact_instance_three_targets	Put the white mug on the left plate.	libero_10	LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate	put the white mug on the left plate and put the yellow and white mug on the right plate	on(porcelain_mug_1, plate_1)	5	5	100.0	5
ANLGX_002	E1_clean_exact_instance_three_targets	Put the white mug on the middle plate.	libero_10	LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate	put the white mug on the left plate and put the yellow and white mug on the right plate	on(porcelain_mug_1, plate_3)	4	5	80.0	4
ANLGX_003	E1_clean_exact_instance_three_targets	Put the white mug on the right plate.	libero_10	LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate	put the white mug on the left plate and put the yellow and white mug on the right plate	on(porcelain_mug_1, plate_2)	3	5	60.0	3
ANLGX_004	E1_clean_exact_instance_three_targets	Put the yellow and white mug on the left plate.	libero_10	LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate	put the white mug on the left plate and put the yellow and white mug on the right plate	on(white_yellow_mug_1, plate_1)	0	5	0.0	0
ANLGX_005	E1_clean_exact_instance_three_targets	Put the yellow and white mug on the middle plate.	libero_10	LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate	put the white mug on the left plate and put the yellow and white mug on the right plate	on(white_yellow_mug_1, plate_3)	0	5	0.0	0
ANLGX_006	E1_clean_exact_instance_three_targets	Put the yellow and white mug on the right plate.	libero_10	LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate	put the white mug on the left plate and put the yellow and white mug on the right plate	on(white_yellow_mug_1, plate_2)	4	5	80.0	4
ANLGX_007	E1_clean_exact_instance_three_targets	Put the black bowl on the left plate.	libero_goal	put_the_bowl_on_the_plate	Put the bowl on the plate	on(akita_black_bowl_1, plate_1)	0	5	0.0	0
ANLGX_008	E1_clean_exact_instance_three_targets	Put the black bowl on the middle plate.	libero_goal	put_the_bowl_on_the_plate	Put the bowl on the plate	on(akita_black_bowl_1, plate_3)	5	5	100.0	5
ANLGX_009	E1_clean_exact_instance_three_targets	Put the black bowl on the right plate.	libero_goal	put_the_bowl_on_the_plate	Put the bowl on the plate	on(akita_black_bowl_1, plate_2)	0	5	0.0	0
ANLGX_010	E1_clean_exact_instance_three_targets	Put the cream cheese on the left black bowl.	libero_goal	put_the_cream_cheese_in_the_bowl	Put the cream cheese on the bowl	on(cream_cheese_1, akita_black_bowl_1)	0	5	0.0	0
ANLGX_011	E1_clean_exact_instance_three_targets	Put the cream cheese on the middle black bowl.	libero_goal	put_the_cream_cheese_in_the_bowl	Put the cream cheese on the bowl	on(cream_cheese_1, akita_black_bowl_2)	0	5	0.0	0
ANLGX_012	E1_clean_exact_instance_three_targets	Put the cream cheese on the right black bowl.	libero_goal	put_the_cream_cheese_in_the_bowl	Put the cream cheese on the bowl	on(cream_cheese_1, akita_black_bowl_3)	0	5	0.0	0
ANLGX_013	E2_sibling_part_or_compartment	Put the book in the front compartment of the caddy.	libero_10	STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy	pick up the book and place it in the back compartment of the caddy	in(black_book_1, desk_caddy_1_front_contain_region)	0	5	0.0	0
ANLGX_014	E2_sibling_part_or_compartment	Put the book in the left compartment of the caddy.	libero_10	STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy	pick up the book and place it in the back compartment of the caddy	in(black_book_1, desk_caddy_1_left_contain_region)	0	5	0.0	0
ANLGX_015	E2_sibling_part_or_compartment	Put the book in the right compartment of the caddy.	libero_10	STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy	pick up the book and place it in the back compartment of the caddy	in(black_book_1, desk_caddy_1_right_contain_region)	0	5	0.0	0
ANLGX_016	E2_sibling_part_or_compartment	Put the black bowl in the top drawer of the white cabinet.	libero_10	KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it	put the black bowl in the bottom drawer of the cabinet and close it	in(akita_black_bowl_1, white_cabinet_1_top_region)	0	5	0.0	0
ANLGX_017	E2_sibling_part_or_compartment	Put the black bowl in the middle drawer of the white cabinet.	libero_10	KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it	put the black bowl in the bottom drawer of the cabinet and close it	in(akita_black_bowl_1, white_cabinet_1_middle_region)	5	5	100.0	5
ANLGX_018	E2_sibling_part_or_compartment	Put the black bowl in the middle drawer of the wooden cabinet.	libero_goal	open_the_top_drawer_and_put_the_bowl_inside	Open the top layer of the drawer and put the bowl inside	in(akita_black_bowl_1, wooden_cabinet_1_middle_region)	0	5	0.0	0
ANLGX_019	E2_sibling_part_or_compartment	Put the black bowl in the bottom drawer of the wooden cabinet.	libero_goal	open_the_top_drawer_and_put_the_bowl_inside	Open the top layer of the drawer and put the bowl inside	in(akita_black_bowl_1, wooden_cabinet_1_bottom_region)	2	5	40.0	2
ANLGX_020	E2_sibling_part_or_compartment	Open the top drawer of the wooden cabinet.	libero_goal	open_the_middle_drawer_of_the_cabinet	Open the middle layer of the drawer	open(wooden_cabinet_1_top_region)	3	5	60.0	3
