task_id	robot_side	native_region	original_source_task	original_instruction	task_instruction	successes	episodes	success_rate_percent	metric	success_episode_ids	failure_episode_ids	gpu	comparison	episodes_with_final_drainer_contact	episodes_with_final_floor_contact	native_successes_with_final_drainer_contact	native_successes_with_final_floor_contact	native_successes_without_final_drainer_or_floor_contact	native_successes_ending_at_first_selected_native_true	settled_placement_validation_performed
BDRSIDE_001	left	left_region	LIBERO_OBJECT_01	Pick the alphabet soup and place it in the basket	Pick the alphabet soup and place it in the left compartment of the bowl drainer.	4	5	80.0	native_selected_In_SR_not_settled_placement	0,1,2,4	3	6	assets/bowl_drainer_sections/comparison_png/BDRSIDE_001__comparison.png	0	1	0	0	4	4	False
BDRSIDE_002	right	right_region	LIBERO_OBJECT_01	Pick the alphabet soup and place it in the basket	Pick the alphabet soup and place it in the right compartment of the bowl drainer.	5	5	100.0	native_selected_In_SR_not_settled_placement	0,1,2,3,4		7	assets/bowl_drainer_sections/comparison_png/BDRSIDE_002__comparison.png	0	0	0	0	5	5	False
BDRSIDE_003	left	left_region	LIBERO_OBJECT_02	Pick the cream cheese and place it in the basket	Pick the cream cheese and place it in the left compartment of the bowl drainer.	5	5	100.0	native_selected_In_SR_not_settled_placement	0,1,2,3,4		6	assets/bowl_drainer_sections/comparison_png/BDRSIDE_003__comparison.png	0	0	0	0	5	5	False
BDRSIDE_004	right	right_region	LIBERO_OBJECT_02	Pick the cream cheese and place it in the basket	Pick the cream cheese and place it in the right compartment of the bowl drainer.	5	5	100.0	native_selected_In_SR_not_settled_placement	0,1,2,3,4		7	assets/bowl_drainer_sections/comparison_png/BDRSIDE_004__comparison.png	0	0	0	0	5	5	False
BDRSIDE_005	left	left_region	LIBERO_OBJECT_06	Pick the tomato sauce and place it in the basket	Pick the tomato sauce and place it in the left compartment of the bowl drainer.	5	5	100.0	native_selected_In_SR_not_settled_placement	0,1,2,3,4		6	assets/bowl_drainer_sections/comparison_png/BDRSIDE_005__comparison.png	0	0	0	0	5	5	False
BDRSIDE_006	right	right_region	LIBERO_OBJECT_06	Pick the tomato sauce and place it in the basket	Pick the tomato sauce and place it in the right compartment of the bowl drainer.	5	5	100.0	native_selected_In_SR_not_settled_placement	0,1,2,3,4		7	assets/bowl_drainer_sections/comparison_png/BDRSIDE_006__comparison.png	0	0	0	0	5	5	False
BDRSIDE_007	left	left_region	LIBERO_OBJECT_07	Pick the butter and place it in the basket	Pick the butter and place it in the left compartment of the bowl drainer.	5	5	100.0	native_selected_In_SR_not_settled_placement	0,1,2,3,4		6	assets/bowl_drainer_sections/comparison_png/BDRSIDE_007__comparison.png	0	0	0	0	5	5	False
BDRSIDE_008	right	right_region	LIBERO_OBJECT_07	Pick the butter and place it in the basket	Pick the butter and place it in the right compartment of the bowl drainer.	5	5	100.0	native_selected_In_SR_not_settled_placement	0,1,2,3,4		7	assets/bowl_drainer_sections/comparison_png/BDRSIDE_008__comparison.png	0	0	0	0	5	5	False
BDRSIDE_009	left	left_region	LIBERO_OBJECT_09	Pick the chocolate pudding and place it in the basket	Pick the chocolate pudding and place it in the left compartment of the bowl drainer.	5	5	100.0	native_selected_In_SR_not_settled_placement	0,1,2,3,4		6	assets/bowl_drainer_sections/comparison_png/BDRSIDE_009__comparison.png	0	0	0	0	5	5	False
BDRSIDE_010	right	right_region	LIBERO_OBJECT_09	Pick the chocolate pudding and place it in the basket	Pick the chocolate pudding and place it in the right compartment of the bowl drainer.	5	5	100.0	native_selected_In_SR_not_settled_placement	0,1,2,3,4		7	assets/bowl_drainer_sections/comparison_png/BDRSIDE_010__comparison.png	0	0	0	0	5	5	False
