task_id	family	instruction	source_suite	source_task_id	source_task	original_instruction	goal_atom	evidence_notes	gpu	successes	episodes	success_rate_percent	success_videos	failure_videos	failure_episode_idx	comparison_png	comparison_sha256	result_dir	skill_sources	scene_sources	all_sources	transfer_summary	success_episode_ids	original_trial_outcomes
NAF_001	F01_plate_into_drainer	Put the plate in the left compartment of the drainer.	libero_goal	6	push_the_plate_to_the_front_of_the_stove	Push the plate to the front of the stove	in(plate_1, bowl_drainer_1_left_region)	Transfer an original40 movement/placement primitive to an unused40 functional destination, with explicit original40 positional anchors and independently rebuilt foreground geometry.	5	0	5	0.0	0	1	0	../assets/novel_adapt_feedback/comparison_png/NAF_001__comparison.png	995d975089862ab3db1621753fe640d380cc7888c334d5e381552ea7d1611e61		LIBERO_GOAL_09,LIBERO_10_04	LIBERO_GOAL_06	LIBERO_GOAL_06,LIBERO_GOAL_09,LIBERO_10_04	Transfer an original40 movement/placement primitive to an unused40 functional destination, with explicit original40 positional anchors and independently rebuilt foreground geometry.		ep0: failure · ep1: failure · ep2: failure · ep3: failure · ep4: failure
NAF_002	F01_plate_into_drainer	Put the plate in the right compartment of the drainer.	libero_goal	6	push_the_plate_to_the_front_of_the_stove	Push the plate to the front of the stove	in(plate_1, bowl_drainer_1_right_region)	Transfer an original40 movement/placement primitive to an unused40 functional destination, with explicit original40 positional anchors and independently rebuilt foreground geometry.	6	0	5	0.0	0	1	0	../assets/novel_adapt_feedback/comparison_png/NAF_002__comparison.png	3d5c7f2c0f793b29c3da109a5df2cdbb619a6db3e7f9fcb776498537c1ca6243		LIBERO_GOAL_09,LIBERO_10_04	LIBERO_GOAL_06	LIBERO_GOAL_06,LIBERO_GOAL_09,LIBERO_10_04	Transfer an original40 movement/placement primitive to an unused40 functional destination, with explicit original40 positional anchors and independently rebuilt foreground geometry.		ep0: failure · ep1: failure · ep2: failure · ep3: failure · ep4: failure
NAF_003	F01_plate_into_drainer	Put the plate in the left compartment of the drainer.	libero_goal	6	push_the_plate_to_the_front_of_the_stove	Push the plate to the front of the stove	in(plate_1, bowl_drainer_1_left_region)	Transfer an original40 movement/placement primitive to an unused40 functional destination, with explicit original40 positional anchors and independently rebuilt foreground geometry.	5	0	5	0.0	0	1	0	../assets/novel_adapt_feedback/comparison_png/NAF_003__comparison.png	7306bbcc951d54403c04ee194a71b3b8a2d2a36edef6f8325732f202c5bbb46d		LIBERO_GOAL_09,LIBERO_10_04	LIBERO_GOAL_06	LIBERO_GOAL_06,LIBERO_GOAL_09,LIBERO_10_04	Transfer an original40 movement/placement primitive to an unused40 functional destination, with explicit original40 positional anchors and independently rebuilt foreground geometry.		ep0: failure · ep1: failure · ep2: failure · ep3: failure · ep4: failure
NAF_004	F01_plate_into_drainer	Put the plate in the right compartment of the drainer.	libero_goal	6	push_the_plate_to_the_front_of_the_stove	Push the plate to the front of the stove	in(plate_1, bowl_drainer_1_right_region)	Transfer an original40 movement/placement primitive to an unused40 functional destination, with explicit original40 positional anchors and independently rebuilt foreground geometry.	6	0	5	0.0	0	1	0	../assets/novel_adapt_feedback/comparison_png/NAF_004__comparison.png	52b12a668eb8ab2d348cca0283a80838d11f3779477ac9bf12aa2044cdff175b		LIBERO_GOAL_09,LIBERO_10_04	LIBERO_GOAL_06	LIBERO_GOAL_06,LIBERO_GOAL_09,LIBERO_10_04	Transfer an original40 movement/placement primitive to an unused40 functional destination, with explicit original40 positional anchors and independently rebuilt foreground geometry.		ep0: failure · ep1: failure · ep2: failure · ep3: failure · ep4: failure
NAF_005	F02_plate_on_dining_set	Put the plate on the dining-set mat.	libero_goal	6	push_the_plate_to_the_front_of_the_stove	Push the plate to the front of the stove	on(plate_1, dining_set_group_1_plate_support_region)	Transfer an original40 movement/placement primitive to an unused40 functional destination, with explicit original40 positional anchors and independently rebuilt foreground geometry.	5	0	5	0.0	0	1	0	../assets/novel_adapt_feedback/comparison_png/NAF_005__comparison.png	bf5ac2dca0d1d47010be2e41a5a21d5ebdfdc48c03bd6c7ba4066f3dcc292758		LIBERO_GOAL_09,LIBERO_10_04	LIBERO_GOAL_06	LIBERO_GOAL_06,LIBERO_GOAL_09,LIBERO_10_04	Transfer an original40 movement/placement primitive to an unused40 functional destination, with explicit original40 positional anchors and independently rebuilt foreground geometry.		ep0: failure · ep1: failure · ep2: failure · ep3: failure · ep4: failure
NAF_006	F02_plate_on_dining_set	Put the plate on the dining-set mat.	libero_goal	6	push_the_plate_to_the_front_of_the_stove	Push the plate to the front of the stove	on(plate_1, dining_set_group_1_plate_support_region)	Transfer an original40 movement/placement primitive to an unused40 functional destination, with explicit original40 positional anchors and independently rebuilt foreground geometry.	6	0	5	0.0	0	1	0	../assets/novel_adapt_feedback/comparison_png/NAF_006__comparison.png	18647bcf527f7ab3ac6c772807e49ebb5d8b55ba767e6bbff4152db37e196391		LIBERO_GOAL_09,LIBERO_10_04	LIBERO_GOAL_06	LIBERO_GOAL_06,LIBERO_GOAL_09,LIBERO_10_04	Transfer an original40 movement/placement primitive to an unused40 functional destination, with explicit original40 positional anchors and independently rebuilt foreground geometry.		ep0: failure · ep1: failure · ep2: failure · ep3: failure · ep4: failure
NAF_007	F02_plate_on_dining_set	Put the plate on the dining-set mat.	libero_goal	6	push_the_plate_to_the_front_of_the_stove	Push the plate to the front of the stove	on(plate_1, dining_set_group_1_plate_support_region)	Transfer an original40 movement/placement primitive to an unused40 functional destination, with explicit original40 positional anchors and independently rebuilt foreground geometry.	5	0	5	0.0	0	1	0	../assets/novel_adapt_feedback/comparison_png/NAF_007__comparison.png	2e9c071ece31dbbf751da0e2d609f8514fe4ef14ab13e0db6dadefac42a8524e		LIBERO_GOAL_09,LIBERO_10_04	LIBERO_GOAL_06	LIBERO_GOAL_06,LIBERO_GOAL_09,LIBERO_10_04	Transfer an original40 movement/placement primitive to an unused40 functional destination, with explicit original40 positional anchors and independently rebuilt foreground geometry.		ep0: failure · ep1: failure · ep2: failure · ep3: failure · ep4: failure
NAF_008	F02_plate_on_dining_set	Put the plate on the dining-set mat.	libero_goal	6	push_the_plate_to_the_front_of_the_stove	Push the plate to the front of the stove	on(plate_1, dining_set_group_1_plate_support_region)	Transfer an original40 movement/placement primitive to an unused40 functional destination, with explicit original40 positional anchors and independently rebuilt foreground geometry.	6	0	5	0.0	0	1	0	../assets/novel_adapt_feedback/comparison_png/NAF_008__comparison.png	3d7177b2832d894c6d5fc46535a9ff3b74a78d614cfc93699b3eafa2c4126fea		LIBERO_GOAL_09,LIBERO_10_04	LIBERO_GOAL_06	LIBERO_GOAL_06,LIBERO_GOAL_09,LIBERO_10_04	Transfer an original40 movement/placement primitive to an unused40 functional destination, with explicit original40 positional anchors and independently rebuilt foreground geometry.		ep0: failure · ep1: failure · ep2: failure · ep3: failure · ep4: failure
NAF_009	F03_popcorn_microwave_atomic	Put the popcorn in the microwave.	libero_10		KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it	put the yellow and white mug in the microwave and close it	in(popcorn_1, microwave_1_heating_region)	One original40 microwave primitive transferred to popcorn or its prepared containment context.	5	0	5	0.0	0	1	0	../assets/novel_adapt_feedback/comparison_png/NAF_009__comparison.png	bb508f532fb357b2fe3fc5c7fd2931d99fe1c672fc73d62d6295017ed4997bdc		LIBERO_10_10	LIBERO_10_10	LIBERO_10_10	One original40 microwave primitive transferred to popcorn or its prepared containment context.		ep0: failure · ep1: failure · ep2: failure · ep3: failure · ep4: failure
NAF_010	F03_popcorn_microwave_atomic	Close the microwave.	libero_10		KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it	put the yellow and white mug in the microwave and close it	close(microwave_1)	One original40 microwave primitive transferred to popcorn or its prepared containment context.	6	3	5	60.0	3	1	0	../assets/novel_adapt_feedback/comparison_png/NAF_010__comparison.png	2e18a3ba989c53173a50feb73b16c4017083817078fd5f14168c51fd63c4f649		LIBERO_10_10	LIBERO_10_10	LIBERO_10_10	One original40 microwave primitive transferred to popcorn or its prepared containment context.	1,2,4	ep0: failure · ep1: success · ep2: success · ep3: failure · ep4: success
