task_id	family	instruction	source_suite	source_task	original_instruction	goal_atom	evidence_notes	evaluation_origin	successes	episodes	success_rate_percent	success_videos
OGTS_001	A0_object_position_swap_from_LIBERO-EX	Pick the alphabet soup and place it in the basket	libero_object	pick_up_the_alphabet_soup_and_place_it_in_the_basket	Pick the alphabet soup and place it in the basket	in(alphabet_soup_1, basket_1_contain_region)	Keep target identity, instruction, object set, and basket fixed; swap alphabet_soup_1 with salad_dressing_1 so the target starts at another grasp position seen in original LIBERO-Object.	LiberoFinalObj/PositionSwap	4	5	80.0	4
OGTS_002	A0_object_position_swap_from_LIBERO-EX	Pick the cream cheese and place it in the basket	libero_object	pick_up_the_cream_cheese_and_place_it_in_the_basket	Pick the cream cheese and place it in the basket	in(cream_cheese_1, basket_1_contain_region)	Keep target identity, instruction, object set, and basket fixed; swap cream_cheese_1 with alphabet_soup_1 so the target starts at another grasp position seen in original LIBERO-Object.	LiberoFinalObj/PositionSwap	1	5	20.0	1
OGTS_004	A0_object_position_swap_from_LIBERO-EX	Pick the bbq sauce and place it in the basket	libero_object	pick_up_the_bbq_sauce_and_place_it_in_the_basket	Pick the bbq sauce and place it in the basket	in(bbq_sauce_1, basket_1_contain_region)	Keep target identity, instruction, object set, and basket fixed; swap bbq_sauce_1 with chocolate_pudding_1 so the target starts at another grasp position seen in original LIBERO-Object.	LiberoFinalObj/PositionSwap	3	5	60.0	3
OGTS_006	A0_object_position_swap_from_LIBERO-EX	Pick the tomato sauce and place it in the basket	libero_object	pick_up_the_tomato_sauce_and_place_it_in_the_basket	Pick the tomato sauce and place it in the basket	in(tomato_sauce_1, basket_1_contain_region)	Keep target identity, instruction, object set, and basket fixed; swap tomato_sauce_1 with milk_1 so the target starts at another grasp position seen in original LIBERO-Object.	LiberoFinalObj/PositionSwap	4	5	80.0	4
OGTS_009	A0_object_position_swap_from_LIBERO-EX	Pick the chocolate pudding and place it in the basket	libero_object	pick_up_the_chocolate_pudding_and_place_it_in_the_basket	Pick the chocolate pudding and place it in the basket	in(chocolate_pudding_1, basket_1_contain_region)	Keep target identity, instruction, object set, and basket fixed; swap chocolate_pudding_1 with orange_juice_1 so the target starts at another grasp position seen in original LIBERO-Object.	LiberoFinalObj/PositionSwap	2	5	40.0	2
OGTS_010	A0_object_position_swap_from_LIBERO-EX	Pick the orange juice and place it in the basket	libero_object	pick_up_the_orange_juice_and_place_it_in_the_basket	Pick the orange juice and place it in the basket	in(orange_juice_1, basket_1_contain_region)	Keep target identity, instruction, object set, and basket fixed; swap orange_juice_1 with butter_1 so the target starts at another grasp position seen in original LIBERO-Object.	LiberoFinalObj/PositionSwap	4	5	80.0	4
ANLGX_001	E1_clean_exact_instance_three_targets	Put the white mug on the left plate.	libero_10	LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate	put the white mug on the left plate and put the yellow and white mug on the right plate	on(porcelain_mug_1, plate_1)	Nonblocking source-scene mugs remain; repeated plates remain because exact-instance selection is the analogy variable.		5	5	100.0	5
ANLGX_002	E1_clean_exact_instance_three_targets	Put the white mug on the middle plate.	libero_10	LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate	put the white mug on the left plate and put the yellow and white mug on the right plate	on(porcelain_mug_1, plate_3)	Nonblocking source-scene mugs remain; repeated plates remain because exact-instance selection is the analogy variable.		4	5	80.0	4
ANLGX_003	E1_clean_exact_instance_three_targets	Put the white mug on the right plate.	libero_10	LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate	put the white mug on the left plate and put the yellow and white mug on the right plate	on(porcelain_mug_1, plate_2)	Nonblocking source-scene mugs remain; repeated plates remain because exact-instance selection is the analogy variable. | The yellow-and-white mug is removed because it lies in the white-mug-to-right-plate corridor (the ANLG_012 collision).		3	5	60.0	3
ANLGX_006	E1_clean_exact_instance_three_targets	Put the yellow and white mug on the right plate.	libero_10	LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate	put the white mug on the left plate and put the yellow and white mug on the right plate	on(white_yellow_mug_1, plate_2)	Nonblocking source-scene mugs remain; repeated plates remain because exact-instance selection is the analogy variable.		4	5	80.0	4
