task_id	family	instruction	source_suite	source_task_id	source_task	original_instruction	goal_atom	evidence_notes	gpu	successes	episodes	success_rate_percent	success_videos	skill_source_ids	skill_source_instructions	scene_source_id	scene_source_instruction	object_source_ids	all_evidence_source_ids	review_status	cross_category_exact_overlaps	instruction_review_status	proposed_task_only_instruction
ADAPT_057	A2_spatial_context_drawer_action	Open the top drawer while the black bowl starts on top of the wooden cabinet.	libero_spatial	10	pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate	Pick the akita black bowl on the wooden cabinet and place it on the plate	open(wooden_cabinet_1_top_region)		2	2	5	40.0	2	LIBERO_GOAL_04	Open the top layer of the drawer and put the bowl inside	LIBERO_SPATIAL_10	Pick the akita black bowl on the wooden cabinet and place it on the plate		LIBERO_GOAL_04,LIBERO_SPATIAL_10	ELIGIBLE		REWRITE_AND_REEVALUATE_IF_SELECTED	Open the top drawer.
ADAPT_068	A3_libero10_scene4_object_drawer	Put the black bowl in the middle drawer of the white cabinet in Scene 4.	libero_10	1	KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it	put the black bowl in the bottom drawer of the cabinet and close it	in(akita_black_bowl_1, white_cabinet_1_middle_region)		3	5	5	100.0	5	LIBERO_GOAL_04,LIBERO_GOAL_01	Open the top layer of the drawer and put the bowl inside || Open the middle layer of the drawer	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it		LIBERO_GOAL_04,LIBERO_GOAL_01,LIBERO_10_04	ELIGIBLE	Older LiberoExReFinal60 exact BDDL: ula3_041__put_the_black_bowl_in_the_middle_drawer_of_the_cabinet	REWRITE_AND_REEVALUATE_IF_SELECTED	Put the black bowl in the middle drawer of the white cabinet.
ADAPT_075	A3_libero10_scene4_atomic_drawer_action	Close the top drawer of the white cabinet in the complete Scene 4 layout.	libero_10	108	KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it	put the black bowl in the bottom drawer of the cabinet and close it	close(white_cabinet_1_top_region)		2	5	5	100.0	5	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it		LIBERO_10_04	ELIGIBLE	Older LiberoExReFinal60 exact BDDL: ula3_044__close_the_top_drawer_of_the_cabinet	REWRITE_AND_REEVALUATE_IF_SELECTED	Close the top drawer of the white cabinet.
ADAPT_076	A3_libero10_scene4_atomic_drawer_action	Close the middle drawer of the white cabinet in the complete Scene 4 layout.	libero_10	108	KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it	put the black bowl in the bottom drawer of the cabinet and close it	close(white_cabinet_1_middle_region)		3	3	5	60.0	3	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it		LIBERO_10_04	ELIGIBLE	Older LiberoExReFinal60 exact BDDL: ula3_042__close_the_middle_drawer_of_the_cabinet	REWRITE_AND_REEVALUATE_IF_SELECTED	Close the middle drawer of the white cabinet.
ADAPT_077	A3_libero10_scene4_atomic_drawer_action	Close the bottom drawer of the white cabinet in the complete Scene 4 layout.	libero_10	108	KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it	put the black bowl in the bottom drawer of the cabinet and close it	close(white_cabinet_1_bottom_region)	Previously defined in the 185-task screen as ANLGX_175; rerun here for the unified Adapt screen.	2	1	5	20.0	1	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it		LIBERO_10_04	EXCLUDE_EXACT_DECOMPOSITION_OVERLAP	Final Decomposition20 exact BDDL: tdl10_016__close_the_bottom_drawer_of_the_cabinet || Older LiberoExReFinal60 exact BDDL: tdl10_016__close_the_bottom_drawer_of_the_cabinet || Original LIBERO-40 strict-goal-subset category: KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it	REWRITE_AND_REEVALUATE_IF_SELECTED	Close the bottom drawer of the white cabinet.
ADAPT_088	A4_libero10_scene5_front_plate_binding	Put the alphabet soup on the right front plate.	libero_10	301	LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate	put the white mug on the left plate and put the yellow and white mug on the right plate	on(alphabet_soup_1, plate_2)	Only a demonstrated corridor blocker is removed; unrelated objects remain. | Grasp evidence source ID: 301.	3	4	5	80.0	4	LIBERO_10_05,LIBERO_10_07	put the white mug on the left plate and put the yellow and white mug on the right plate || put the white mug on the plate and put the chocolate pudding to the right of the plate	LIBERO_10_05	put the white mug on the left plate and put the yellow and white mug on the right plate	LIBERO_OBJECT_01	LIBERO_10_05,LIBERO_10_07,LIBERO_OBJECT_01	ELIGIBLE		PASS	Put the alphabet soup on the right front plate.
ADAPT_089	A4_libero10_scene5_front_plate_binding	Put the cream cheese on the left front plate.	libero_10	302	LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate	put the white mug on the left plate and put the yellow and white mug on the right plate	on(cream_cheese_1, plate_1)	Only a demonstrated corridor blocker is removed; unrelated objects remain. | Grasp evidence source ID: 302.	2	5	5	100.0	5	LIBERO_10_05,LIBERO_10_07	put the white mug on the left plate and put the yellow and white mug on the right plate || put the white mug on the plate and put the chocolate pudding to the right of the plate	LIBERO_10_05	put the white mug on the left plate and put the yellow and white mug on the right plate	LIBERO_OBJECT_02	LIBERO_10_05,LIBERO_10_07,LIBERO_OBJECT_02	ELIGIBLE		PASS	Put the cream cheese on the left front plate.
ADAPT_090	A4_libero10_scene5_front_plate_binding	Put the cream cheese on the right front plate.	libero_10	302	LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate	put the white mug on the left plate and put the yellow and white mug on the right plate	on(cream_cheese_1, plate_2)	Only a demonstrated corridor blocker is removed; unrelated objects remain. | Grasp evidence source ID: 302.	3	4	5	80.0	4	LIBERO_10_05,LIBERO_10_07	put the white mug on the left plate and put the yellow and white mug on the right plate || put the white mug on the plate and put the chocolate pudding to the right of the plate	LIBERO_10_05	put the white mug on the left plate and put the yellow and white mug on the right plate	LIBERO_OBJECT_02	LIBERO_10_05,LIBERO_10_07,LIBERO_OBJECT_02	ELIGIBLE		PASS	Put the cream cheese on the right front plate.
ADAPT_093	A4_libero10_scene5_front_plate_binding	Put the bbq sauce on the left front plate.	libero_10	304	LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate	put the white mug on the left plate and put the yellow and white mug on the right plate	on(bbq_sauce_1, plate_1)	Only a demonstrated corridor blocker is removed; unrelated objects remain. | Grasp evidence source ID: 304.	2	3	5	60.0	3	LIBERO_10_05,LIBERO_10_07	put the white mug on the left plate and put the yellow and white mug on the right plate || put the white mug on the plate and put the chocolate pudding to the right of the plate	LIBERO_10_05	put the white mug on the left plate and put the yellow and white mug on the right plate	LIBERO_OBJECT_04	LIBERO_10_05,LIBERO_10_07,LIBERO_OBJECT_04	ELIGIBLE		PASS	Put the bbq sauce on the left front plate.
ADAPT_094	A4_libero10_scene5_front_plate_binding	Put the bbq sauce on the right front plate.	libero_10	304	LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate	put the white mug on the left plate and put the yellow and white mug on the right plate	on(bbq_sauce_1, plate_2)	Only a demonstrated corridor blocker is removed; unrelated objects remain. | Grasp evidence source ID: 304.	3	1	5	20.0	1	LIBERO_10_05,LIBERO_10_07	put the white mug on the left plate and put the yellow and white mug on the right plate || put the white mug on the plate and put the chocolate pudding to the right of the plate	LIBERO_10_05	put the white mug on the left plate and put the yellow and white mug on the right plate	LIBERO_OBJECT_04	LIBERO_10_05,LIBERO_10_07,LIBERO_OBJECT_04	ELIGIBLE		PASS	Put the bbq sauce on the right front plate.
