task_id	family	semantic_subtasks	pure_composition	requires_transition	source_suite	source_task_id	source_task	original_instruction	new_instruction	goal_atom	physical_group	evidence_notes	init_states	action_plan_steps	comparison_png	bundle	canonical_task_signature
COMPOSE_001	X1_object_layout_four_to_basket	4	true	false	libero_object	301;303;302;308	pick_up_the_alphabet_soup_and_place_it_in_the_basket;pick_up_the_salad_dressing_and_place_it_in_the_basket;pick_up_the_cream_cheese_and_place_it_in_the_basket;pick_up_the_milk_and_place_it_in_the_basket	Pick the alphabet soup and place it in the basket | Pick the salad dressing and place it in the basket | Pick the cream cheese and place it in the basket | Pick the milk and place it in the basket	Put the alphabet soup, the salad dressing, the cream cheese box, and the milk in the basket one after another.	in(alphabet_soup_1, basket_1_contain_region); in(salad_dressing_1, basket_1_contain_region); in(cream_cheese_1, basket_1_contain_region); in(milk_1, basket_1_contain_region)	object4_pick_up_the_alphabet_soup_and_place_it_in_the_basket	Novel four-object extension of this exact stock Object layout; all C(6,4) subsets are enumerated. | All corresponding three-object identities were already screened in LiberoComposition and are not repeated. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ.	5	8	comparison_png/COMPOSE_001__put_the_alphabet_soup_the_salad_dressing_the_cream_cheese_box_and_the_milk_in_the_basket_one_after_another.png	tasks/compose_001__put_the_alphabet_soup_the_salad_dressing_the_cream_cheese_box_and_the_milk_in_the_basket_one_after_another	composition|6f539a70682318de1f02e5e48d0094b8430bdd78cbc718ac1e7c89a9f51197fb|frozenset({in(alphabet_soup_1,basket_1_contain_region),in(cream_cheese_1,basket_1_contain_region),in(milk_1,basket_1_contain_region),in(salad_dressing_1,basket_1_contain_region)})
COMPOSE_002	X1_object_layout_four_to_basket	4	true	false	libero_object	301;303;302;306	pick_up_the_alphabet_soup_and_place_it_in_the_basket;pick_up_the_salad_dressing_and_place_it_in_the_basket;pick_up_the_cream_cheese_and_place_it_in_the_basket;pick_up_the_tomato_sauce_and_place_it_in_the_basket	Pick the alphabet soup and place it in the basket | Pick the salad dressing and place it in the basket | Pick the cream cheese and place it in the basket | Pick the tomato sauce and place it in the basket	Put the alphabet soup, the salad dressing, the cream cheese box, and the tomato sauce in the basket one after another.	in(alphabet_soup_1, basket_1_contain_region); in(salad_dressing_1, basket_1_contain_region); in(cream_cheese_1, basket_1_contain_region); in(tomato_sauce_1, basket_1_contain_region)	object4_pick_up_the_alphabet_soup_and_place_it_in_the_basket	Novel four-object extension of this exact stock Object layout; all C(6,4) subsets are enumerated. | All corresponding three-object identities were already screened in LiberoComposition and are not repeated. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ.	5	8	comparison_png/COMPOSE_002__put_the_alphabet_soup_the_salad_dressing_the_cream_cheese_box_and_the_tomato_sauce_in_the_basket_one_after_another.png	tasks/compose_002__put_the_alphabet_soup_the_salad_dressing_the_cream_cheese_box_and_the_tomato_sauce_in_the_basket_one_after_another	composition|6f539a70682318de1f02e5e48d0094b8430bdd78cbc718ac1e7c89a9f51197fb|frozenset({in(alphabet_soup_1,basket_1_contain_region),in(cream_cheese_1,basket_1_contain_region),in(salad_dressing_1,basket_1_contain_region),in(tomato_sauce_1,basket_1_contain_region)})
COMPOSE_003	X1_object_layout_four_to_basket	4	true	false	libero_object	301;303;302;307	pick_up_the_alphabet_soup_and_place_it_in_the_basket;pick_up_the_salad_dressing_and_place_it_in_the_basket;pick_up_the_cream_cheese_and_place_it_in_the_basket;pick_up_the_butter_and_place_it_in_the_basket	Pick the alphabet soup and place it in the basket | Pick the salad dressing and place it in the basket | Pick the cream cheese and place it in the basket | Pick the butter and place it in the basket	Put the alphabet soup, the salad dressing, the cream cheese box, and the butter in the basket one after another.	in(alphabet_soup_1, basket_1_contain_region); in(salad_dressing_1, basket_1_contain_region); in(cream_cheese_1, basket_1_contain_region); in(butter_1, basket_1_contain_region)	object4_pick_up_the_alphabet_soup_and_place_it_in_the_basket	Novel four-object extension of this exact stock Object layout; all C(6,4) subsets are enumerated. | All corresponding three-object identities were already screened in LiberoComposition and are not repeated. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ.	5	8	comparison_png/COMPOSE_003__put_the_alphabet_soup_the_salad_dressing_the_cream_cheese_box_and_the_butter_in_the_basket_one_after_another.png	tasks/compose_003__put_the_alphabet_soup_the_salad_dressing_the_cream_cheese_box_and_the_butter_in_the_basket_one_after_another	composition|6f539a70682318de1f02e5e48d0094b8430bdd78cbc718ac1e7c89a9f51197fb|frozenset({in(alphabet_soup_1,basket_1_contain_region),in(butter_1,basket_1_contain_region),in(cream_cheese_1,basket_1_contain_region),in(salad_dressing_1,basket_1_contain_region)})
COMPOSE_004	X1_object_layout_four_to_basket	4	true	false	libero_object	301;303;308;306	pick_up_the_alphabet_soup_and_place_it_in_the_basket;pick_up_the_salad_dressing_and_place_it_in_the_basket;pick_up_the_milk_and_place_it_in_the_basket;pick_up_the_tomato_sauce_and_place_it_in_the_basket	Pick the alphabet soup and place it in the basket | Pick the salad dressing and place it in the basket | Pick the milk and place it in the basket | Pick the tomato sauce and place it in the basket	Put the alphabet soup, the salad dressing, the milk, and the tomato sauce in the basket one after another.	in(alphabet_soup_1, basket_1_contain_region); in(salad_dressing_1, basket_1_contain_region); in(milk_1, basket_1_contain_region); in(tomato_sauce_1, basket_1_contain_region)	object4_pick_up_the_alphabet_soup_and_place_it_in_the_basket	Novel four-object extension of this exact stock Object layout; all C(6,4) subsets are enumerated. | All corresponding three-object identities were already screened in LiberoComposition and are not repeated. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ.	5	8	comparison_png/COMPOSE_004__put_the_alphabet_soup_the_salad_dressing_the_milk_and_the_tomato_sauce_in_the_basket_one_after_another.png	tasks/compose_004__put_the_alphabet_soup_the_salad_dressing_the_milk_and_the_tomato_sauce_in_the_basket_one_after_another	composition|6f539a70682318de1f02e5e48d0094b8430bdd78cbc718ac1e7c89a9f51197fb|frozenset({in(alphabet_soup_1,basket_1_contain_region),in(milk_1,basket_1_contain_region),in(salad_dressing_1,basket_1_contain_region),in(tomato_sauce_1,basket_1_contain_region)})
COMPOSE_005	X1_object_layout_four_to_basket	4	true	false	libero_object	301;303;308;307	pick_up_the_alphabet_soup_and_place_it_in_the_basket;pick_up_the_salad_dressing_and_place_it_in_the_basket;pick_up_the_milk_and_place_it_in_the_basket;pick_up_the_butter_and_place_it_in_the_basket	Pick the alphabet soup and place it in the basket | Pick the salad dressing and place it in the basket | Pick the milk and place it in the basket | Pick the butter and place it in the basket	Put the alphabet soup, the salad dressing, the milk, and the butter in the basket one after another.	in(alphabet_soup_1, basket_1_contain_region); in(salad_dressing_1, basket_1_contain_region); in(milk_1, basket_1_contain_region); in(butter_1, basket_1_contain_region)	object4_pick_up_the_alphabet_soup_and_place_it_in_the_basket	Novel four-object extension of this exact stock Object layout; all C(6,4) subsets are enumerated. | All corresponding three-object identities were already screened in LiberoComposition and are not repeated. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ.	5	8	comparison_png/COMPOSE_005__put_the_alphabet_soup_the_salad_dressing_the_milk_and_the_butter_in_the_basket_one_after_another.png	tasks/compose_005__put_the_alphabet_soup_the_salad_dressing_the_milk_and_the_butter_in_the_basket_one_after_another	composition|6f539a70682318de1f02e5e48d0094b8430bdd78cbc718ac1e7c89a9f51197fb|frozenset({in(alphabet_soup_1,basket_1_contain_region),in(butter_1,basket_1_contain_region),in(milk_1,basket_1_contain_region),in(salad_dressing_1,basket_1_contain_region)})
COMPOSE_006	X1_object_layout_four_to_basket	4	true	false	libero_object	301;303;306;307	pick_up_the_alphabet_soup_and_place_it_in_the_basket;pick_up_the_salad_dressing_and_place_it_in_the_basket;pick_up_the_tomato_sauce_and_place_it_in_the_basket;pick_up_the_butter_and_place_it_in_the_basket	Pick the alphabet soup and place it in the basket | Pick the salad dressing and place it in the basket | Pick the tomato sauce and place it in the basket | Pick the butter and place it in the basket	Put the alphabet soup, the salad dressing, the tomato sauce, and the butter in the basket one after another.	in(alphabet_soup_1, basket_1_contain_region); in(salad_dressing_1, basket_1_contain_region); in(tomato_sauce_1, basket_1_contain_region); in(butter_1, basket_1_contain_region)	object4_pick_up_the_alphabet_soup_and_place_it_in_the_basket	Novel four-object extension of this exact stock Object layout; all C(6,4) subsets are enumerated. | All corresponding three-object identities were already screened in LiberoComposition and are not repeated. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ.	5	8	comparison_png/COMPOSE_006__put_the_alphabet_soup_the_salad_dressing_the_tomato_sauce_and_the_butter_in_the_basket_one_after_another.png	tasks/compose_006__put_the_alphabet_soup_the_salad_dressing_the_tomato_sauce_and_the_butter_in_the_basket_one_after_another	composition|6f539a70682318de1f02e5e48d0094b8430bdd78cbc718ac1e7c89a9f51197fb|frozenset({in(alphabet_soup_1,basket_1_contain_region),in(butter_1,basket_1_contain_region),in(salad_dressing_1,basket_1_contain_region),in(tomato_sauce_1,basket_1_contain_region)})
COMPOSE_007	X1_object_layout_four_to_basket	4	true	false	libero_object	301;302;308;306	pick_up_the_alphabet_soup_and_place_it_in_the_basket;pick_up_the_cream_cheese_and_place_it_in_the_basket;pick_up_the_milk_and_place_it_in_the_basket;pick_up_the_tomato_sauce_and_place_it_in_the_basket	Pick the alphabet soup and place it in the basket | Pick the cream cheese and place it in the basket | Pick the milk and place it in the basket | Pick the tomato sauce and place it in the basket	Put the alphabet soup, the cream cheese box, the milk, and the tomato sauce in the basket one after another.	in(alphabet_soup_1, basket_1_contain_region); in(cream_cheese_1, basket_1_contain_region); in(milk_1, basket_1_contain_region); in(tomato_sauce_1, basket_1_contain_region)	object4_pick_up_the_alphabet_soup_and_place_it_in_the_basket	Novel four-object extension of this exact stock Object layout; all C(6,4) subsets are enumerated. | All corresponding three-object identities were already screened in LiberoComposition and are not repeated. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ.	5	8	comparison_png/COMPOSE_007__put_the_alphabet_soup_the_cream_cheese_box_the_milk_and_the_tomato_sauce_in_the_basket_one_after_another.png	tasks/compose_007__put_the_alphabet_soup_the_cream_cheese_box_the_milk_and_the_tomato_sauce_in_the_basket_one_after_another	composition|6f539a70682318de1f02e5e48d0094b8430bdd78cbc718ac1e7c89a9f51197fb|frozenset({in(alphabet_soup_1,basket_1_contain_region),in(cream_cheese_1,basket_1_contain_region),in(milk_1,basket_1_contain_region),in(tomato_sauce_1,basket_1_contain_region)})
COMPOSE_008	X1_object_layout_four_to_basket	4	true	false	libero_object	301;302;308;307	pick_up_the_alphabet_soup_and_place_it_in_the_basket;pick_up_the_cream_cheese_and_place_it_in_the_basket;pick_up_the_milk_and_place_it_in_the_basket;pick_up_the_butter_and_place_it_in_the_basket	Pick the alphabet soup and place it in the basket | Pick the cream cheese and place it in the basket | Pick the milk and place it in the basket | Pick the butter and place it in the basket	Put the alphabet soup, the cream cheese box, the milk, and the butter in the basket one after another.	in(alphabet_soup_1, basket_1_contain_region); in(cream_cheese_1, basket_1_contain_region); in(milk_1, basket_1_contain_region); in(butter_1, basket_1_contain_region)	object4_pick_up_the_alphabet_soup_and_place_it_in_the_basket	Novel four-object extension of this exact stock Object layout; all C(6,4) subsets are enumerated. | All corresponding three-object identities were already screened in LiberoComposition and are not repeated. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ.	5	8	comparison_png/COMPOSE_008__put_the_alphabet_soup_the_cream_cheese_box_the_milk_and_the_butter_in_the_basket_one_after_another.png	tasks/compose_008__put_the_alphabet_soup_the_cream_cheese_box_the_milk_and_the_butter_in_the_basket_one_after_another	composition|6f539a70682318de1f02e5e48d0094b8430bdd78cbc718ac1e7c89a9f51197fb|frozenset({in(alphabet_soup_1,basket_1_contain_region),in(butter_1,basket_1_contain_region),in(cream_cheese_1,basket_1_contain_region),in(milk_1,basket_1_contain_region)})
COMPOSE_009	X1_object_layout_four_to_basket	4	true	false	libero_object	301;302;306;307	pick_up_the_alphabet_soup_and_place_it_in_the_basket;pick_up_the_cream_cheese_and_place_it_in_the_basket;pick_up_the_tomato_sauce_and_place_it_in_the_basket;pick_up_the_butter_and_place_it_in_the_basket	Pick the alphabet soup and place it in the basket | Pick the cream cheese and place it in the basket | Pick the tomato sauce and place it in the basket | Pick the butter and place it in the basket	Put the alphabet soup, the cream cheese box, the tomato sauce, and the butter in the basket one after another.	in(alphabet_soup_1, basket_1_contain_region); in(cream_cheese_1, basket_1_contain_region); in(tomato_sauce_1, basket_1_contain_region); in(butter_1, basket_1_contain_region)	object4_pick_up_the_alphabet_soup_and_place_it_in_the_basket	Novel four-object extension of this exact stock Object layout; all C(6,4) subsets are enumerated. | All corresponding three-object identities were already screened in LiberoComposition and are not repeated. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ.	5	8	comparison_png/COMPOSE_009__put_the_alphabet_soup_the_cream_cheese_box_the_tomato_sauce_and_the_butter_in_the_basket_one_after_another.png	tasks/compose_009__put_the_alphabet_soup_the_cream_cheese_box_the_tomato_sauce_and_the_butter_in_the_basket_one_after_another	composition|6f539a70682318de1f02e5e48d0094b8430bdd78cbc718ac1e7c89a9f51197fb|frozenset({in(alphabet_soup_1,basket_1_contain_region),in(butter_1,basket_1_contain_region),in(cream_cheese_1,basket_1_contain_region),in(tomato_sauce_1,basket_1_contain_region)})
COMPOSE_010	X1_object_layout_four_to_basket	4	true	false	libero_object	301;308;306;307	pick_up_the_alphabet_soup_and_place_it_in_the_basket;pick_up_the_milk_and_place_it_in_the_basket;pick_up_the_tomato_sauce_and_place_it_in_the_basket;pick_up_the_butter_and_place_it_in_the_basket	Pick the alphabet soup and place it in the basket | Pick the milk and place it in the basket | Pick the tomato sauce and place it in the basket | Pick the butter and place it in the basket	Put the alphabet soup, the milk, the tomato sauce, and the butter in the basket one after another.	in(alphabet_soup_1, basket_1_contain_region); in(milk_1, basket_1_contain_region); in(tomato_sauce_1, basket_1_contain_region); in(butter_1, basket_1_contain_region)	object4_pick_up_the_alphabet_soup_and_place_it_in_the_basket	Novel four-object extension of this exact stock Object layout; all C(6,4) subsets are enumerated. | All corresponding three-object identities were already screened in LiberoComposition and are not repeated. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ.	5	8	comparison_png/COMPOSE_010__put_the_alphabet_soup_the_milk_the_tomato_sauce_and_the_butter_in_the_basket_one_after_another.png	tasks/compose_010__put_the_alphabet_soup_the_milk_the_tomato_sauce_and_the_butter_in_the_basket_one_after_another	composition|6f539a70682318de1f02e5e48d0094b8430bdd78cbc718ac1e7c89a9f51197fb|frozenset({in(alphabet_soup_1,basket_1_contain_region),in(butter_1,basket_1_contain_region),in(milk_1,basket_1_contain_region),in(tomato_sauce_1,basket_1_contain_region)})
COMPOSE_011	X1_object_layout_four_to_basket	4	true	false	libero_object	303;302;308;306	pick_up_the_salad_dressing_and_place_it_in_the_basket;pick_up_the_cream_cheese_and_place_it_in_the_basket;pick_up_the_milk_and_place_it_in_the_basket;pick_up_the_tomato_sauce_and_place_it_in_the_basket	Pick the salad dressing and place it in the basket | Pick the cream cheese and place it in the basket | Pick the milk and place it in the basket | Pick the tomato sauce and place it in the basket	Put the salad dressing, the cream cheese box, the milk, and the tomato sauce in the basket one after another.	in(salad_dressing_1, basket_1_contain_region); in(cream_cheese_1, basket_1_contain_region); in(milk_1, basket_1_contain_region); in(tomato_sauce_1, basket_1_contain_region)	object4_pick_up_the_alphabet_soup_and_place_it_in_the_basket	Novel four-object extension of this exact stock Object layout; all C(6,4) subsets are enumerated. | All corresponding three-object identities were already screened in LiberoComposition and are not repeated. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ.	5	8	comparison_png/COMPOSE_011__put_the_salad_dressing_the_cream_cheese_box_the_milk_and_the_tomato_sauce_in_the_basket_one_after_another.png	tasks/compose_011__put_the_salad_dressing_the_cream_cheese_box_the_milk_and_the_tomato_sauce_in_the_basket_one_after_another	composition|6f539a70682318de1f02e5e48d0094b8430bdd78cbc718ac1e7c89a9f51197fb|frozenset({in(cream_cheese_1,basket_1_contain_region),in(milk_1,basket_1_contain_region),in(salad_dressing_1,basket_1_contain_region),in(tomato_sauce_1,basket_1_contain_region)})
COMPOSE_012	X1_object_layout_four_to_basket	4	true	false	libero_object	303;302;308;307	pick_up_the_salad_dressing_and_place_it_in_the_basket;pick_up_the_cream_cheese_and_place_it_in_the_basket;pick_up_the_milk_and_place_it_in_the_basket;pick_up_the_butter_and_place_it_in_the_basket	Pick the salad dressing and place it in the basket | Pick the cream cheese and place it in the basket | Pick the milk and place it in the basket | Pick the butter and place it in the basket	Put the salad dressing, the cream cheese box, the milk, and the butter in the basket one after another.	in(salad_dressing_1, basket_1_contain_region); in(cream_cheese_1, basket_1_contain_region); in(milk_1, basket_1_contain_region); in(butter_1, basket_1_contain_region)	object4_pick_up_the_alphabet_soup_and_place_it_in_the_basket	Novel four-object extension of this exact stock Object layout; all C(6,4) subsets are enumerated. | All corresponding three-object identities were already screened in LiberoComposition and are not repeated. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ.	5	8	comparison_png/COMPOSE_012__put_the_salad_dressing_the_cream_cheese_box_the_milk_and_the_butter_in_the_basket_one_after_another.png	tasks/compose_012__put_the_salad_dressing_the_cream_cheese_box_the_milk_and_the_butter_in_the_basket_one_after_another	composition|6f539a70682318de1f02e5e48d0094b8430bdd78cbc718ac1e7c89a9f51197fb|frozenset({in(butter_1,basket_1_contain_region),in(cream_cheese_1,basket_1_contain_region),in(milk_1,basket_1_contain_region),in(salad_dressing_1,basket_1_contain_region)})
COMPOSE_013	X1_object_layout_four_to_basket	4	true	false	libero_object	303;302;306;307	pick_up_the_salad_dressing_and_place_it_in_the_basket;pick_up_the_cream_cheese_and_place_it_in_the_basket;pick_up_the_tomato_sauce_and_place_it_in_the_basket;pick_up_the_butter_and_place_it_in_the_basket	Pick the salad dressing and place it in the basket | Pick the cream cheese and place it in the basket | Pick the tomato sauce and place it in the basket | Pick the butter and place it in the basket	Put the salad dressing, the cream cheese box, the tomato sauce, and the butter in the basket one after another.	in(salad_dressing_1, basket_1_contain_region); in(cream_cheese_1, basket_1_contain_region); in(tomato_sauce_1, basket_1_contain_region); in(butter_1, basket_1_contain_region)	object4_pick_up_the_alphabet_soup_and_place_it_in_the_basket	Novel four-object extension of this exact stock Object layout; all C(6,4) subsets are enumerated. | All corresponding three-object identities were already screened in LiberoComposition and are not repeated. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ.	5	8	comparison_png/COMPOSE_013__put_the_salad_dressing_the_cream_cheese_box_the_tomato_sauce_and_the_butter_in_the_basket_one_after_another.png	tasks/compose_013__put_the_salad_dressing_the_cream_cheese_box_the_tomato_sauce_and_the_butter_in_the_basket_one_after_another	composition|6f539a70682318de1f02e5e48d0094b8430bdd78cbc718ac1e7c89a9f51197fb|frozenset({in(butter_1,basket_1_contain_region),in(cream_cheese_1,basket_1_contain_region),in(salad_dressing_1,basket_1_contain_region),in(tomato_sauce_1,basket_1_contain_region)})
