task_id	pool	family	semantic_subtasks	pure_composition	requires_transition	instruction	source_suite	source_task_id	source_task	original_instruction	goal_atom	physical_group	evidence_notes	gpu	successes	episodes	success_rate_percent	success_videos	canonical_task_signature
COMP2_001	Composition2Step-361	C2_ALL_goal_compatible_pairs	2	true	false	Put the cream cheese on the black bowl, and then open the middle drawer of the cabinet.	libero_goal	4;10	put_the_cream_cheese_in_the_bowl;open_the_middle_drawer_of_the_cabinet	Put the cream cheese on the bowl | Open the middle layer of the drawer	on(cream_cheese_1, akita_black_bowl_1); open(wooden_cabinet_1_middle_region)	two_step_3f474b285ddc2e6e7e37		2	2	5	40.0	2	composition|3f474b285ddc2e6e7e375309ab9cbd20d9a618ab3520cafd769b89fad2c6a2d1|frozenset({on(cream_cheese_1,akita_black_bowl_1),open(wooden_cabinet_1_middle_region)})
COMP2_012	Composition2Step-361	C2_ALL_object_layout_basket_pairs	2	true	false	Put the butter in the basket, and then put the tomato sauce in the basket.	libero_object	307;306	pick_up_the_butter_and_place_it_in_the_basket;pick_up_the_tomato_sauce_and_place_it_in_the_basket	Pick the butter and place it in the basket | Pick the tomato sauce and place it in the basket	in(butter_1, basket_1_contain_region); in(tomato_sauce_1, basket_1_contain_region)	two_step_f4c797cd430f50cbdbfc		3	5	5	100.0	5	composition|f4c797cd430f50cbdbfc85d7b847eead4a10a9c0be7847f9c032dbc9dad9d52d|frozenset({in(butter_1,basket_1_contain_region),in(tomato_sauce_1,basket_1_contain_region)})
COMPOSE_335	Compose-350	X11_kitchen4_goal_two_cabinet_hybrid	2	true	false	Put the black bowl in the bottom drawer of the left white cabinet, and then close the bottom drawer of the left white cabinet.	libero_10	103	KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it	put the black bowl in the bottom drawer of the cabinet and close it	in(akita_black_bowl_1, white_cabinet_1_bottom_region); close(white_cabinet_1_bottom_region)	libero10_kitchen4_plus_goal_right_drawer_and_rack	The original left white cabinet is unchanged; a Goal wooden cabinet is added at its exact original right-side pose. | The existing rack is moved to its exact Goal pose to avoid overlap with the added wooden cabinet.	6	4	5	80.0	4	composition|242b6ed12734ae1c6cadd1a3e6700dfe18aaf15fd69bbce2aef21dea87f379c5|frozenset({close(white_cabinet_1_bottom_region),in(akita_black_bowl_1,white_cabinet_1_bottom_region)})
COMPOSE_155	Compose-350	X3_libero10_scene2_milk_removed_3_to_basket	3	true	false	Put the alphabet soup, the butter, and the tomato sauce in the basket one after another.	libero_10;libero_object	301;307;306	LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket;pick_up_the_alphabet_soup_and_place_it_in_the_basket;pick_up_the_butter_and_place_it_in_the_basket;pick_up_the_tomato_sauce_and_place_it_in_the_basket	put both the alphabet soup and the tomato sauce in the basket | Pick the alphabet soup and place it in the basket | Pick the butter and place it in the basket | Pick the tomato sauce and place it in the basket	in(alphabet_soup_1, basket_1_contain_region); in(butter_1, basket_1_contain_region); in(tomato_sauce_1, basket_1_contain_region)	libero10_scene2_milk_blocker_removed	milk_1 and its init region are removed because prior rollouts repeatedly collided with and toppled it. | Exhaustive C(6,3) subset after blocker removal; no instruction-order duplicates are created. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ.	6	2	5	40.0	2	composition|16d60b6417ebeed74645d67ef8834e2dfb629ef82039d216f1f056fba6095708|frozenset({in(alphabet_soup_1,basket_1_contain_region),in(butter_1,basket_1_contain_region),in(tomato_sauce_1,basket_1_contain_region)})
COMPOSE_346	Compose-350	X12_living5_plus_scene6_pudding_plate_hybrid	3	true	false	Put the white mug on the left plate, then put the yellow and white mug on the right plate, and finally put the chocolate pudding to the right of the added plate.	libero_10	104;107	LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate;LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate	put the white mug on the left plate and put the yellow and white mug on the right plate | put the white mug on the plate and put the chocolate pudding to the right of the plate	on(porcelain_mug_1, plate_1); on(white_yellow_mug_1, plate_2); on(chocolate_pudding_1, living_room_table_plate_right_region)	libero10_living5_plus_scene6_plate_and_pudding	Scene5 mug/plate poses are unchanged; Scene6 plate_3 and pudding are added at non-overlapping reachable slots. | The canonical Scene6 living_room_table_plate_right_region name is retained for current-BDDL projection. | Exact Scene6 pudding-to-right-of-plate relation applied to the added plate context.	7	1	5	20.0	1	composition|740705f0104738db191794fd4e549a00be27f5f0187328c3a2bc7016a96a1c3a|frozenset({on(chocolate_pudding_1,living_room_table_plate_right_region),on(porcelain_mug_1,plate_1),on(white_yellow_mug_1,plate_2)})
COMP_223	Composition-439	C10_libero10_basket_triples	3	true	false	Put the butter, the cream cheese box, and the tomato sauce in the basket one after another.	libero_object	307;302;306	pick_up_the_butter_and_place_it_in_the_basket;pick_up_the_cream_cheese_and_place_it_in_the_basket;pick_up_the_tomato_sauce_and_place_it_in_the_basket	Pick the butter and place it in the basket | Pick the cream cheese and place it in the basket | Pick the tomato sauce and place it in the basket	in(butter_1, basket_1_contain_region); in(cream_cheese_1, basket_1_contain_region); in(tomato_sauce_1, basket_1_contain_region)	libero_10_LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket	Unordered triple selected from all C(7,3) object triples in this exact stock layout. | The explicit action plan follows the physical left-to-right/source-region rank; reversed wording is not a new identity. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ.	2	3	5	60.0	3	composition|ca920439e1c91be83da410695061460677aa83c4a15959e0740b4f07cd427d68|frozenset({in(butter_1,basket_1_contain_region),in(cream_cheese_1,basket_1_contain_region),in(tomato_sauce_1,basket_1_contain_region)})
COMP_205	Composition-439	C10_libero10_basket_triples	3	true	false	Put the alphabet soup, the butter, and the cream cheese box in the basket one after another.	libero_object	301;307;302	pick_up_the_alphabet_soup_and_place_it_in_the_basket;pick_up_the_butter_and_place_it_in_the_basket;pick_up_the_cream_cheese_and_place_it_in_the_basket	Pick the alphabet soup and place it in the basket | Pick the butter and place it in the basket | Pick the cream cheese and place it in the basket	in(alphabet_soup_1, basket_1_contain_region); in(butter_1, basket_1_contain_region); in(cream_cheese_1, basket_1_contain_region)	libero_10_LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket	Unordered triple selected from all C(7,3) object triples in this exact stock layout. | The explicit action plan follows the physical left-to-right/source-region rank; reversed wording is not a new identity. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ.	2	1	5	20.0	1	composition|ca920439e1c91be83da410695061460677aa83c4a15959e0740b4f07cd427d68|frozenset({in(alphabet_soup_1,basket_1_contain_region),in(butter_1,basket_1_contain_region),in(cream_cheese_1,basket_1_contain_region)})
COMP_209	Composition-439	C10_libero10_basket_triples	3	true	false	Put the alphabet soup, the butter, and the tomato sauce in the basket one after another.	libero_object	301;307;306	pick_up_the_alphabet_soup_and_place_it_in_the_basket;pick_up_the_butter_and_place_it_in_the_basket;pick_up_the_tomato_sauce_and_place_it_in_the_basket	Pick the alphabet soup and place it in the basket | Pick the butter and place it in the basket | Pick the tomato sauce and place it in the basket	in(alphabet_soup_1, basket_1_contain_region); in(butter_1, basket_1_contain_region); in(tomato_sauce_1, basket_1_contain_region)	libero_10_LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket	Unordered triple selected from all C(7,3) object triples in this exact stock layout. | The explicit action plan follows the physical left-to-right/source-region rank; reversed wording is not a new identity. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ.	2	1	5	20.0	1	composition|ca920439e1c91be83da410695061460677aa83c4a15959e0740b4f07cd427d68|frozenset({in(alphabet_soup_1,basket_1_contain_region),in(butter_1,basket_1_contain_region),in(tomato_sauce_1,basket_1_contain_region)})
COMP_213	Composition-439	C10_libero10_basket_triples	3	true	false	Put the alphabet soup, the cream cheese box, and the tomato sauce in the basket one after another.	libero_object	301;302;306	pick_up_the_alphabet_soup_and_place_it_in_the_basket;pick_up_the_cream_cheese_and_place_it_in_the_basket;pick_up_the_tomato_sauce_and_place_it_in_the_basket	Pick the alphabet soup and place it in the basket | Pick the cream cheese and place it in the basket | Pick the tomato sauce and place it in the basket	in(alphabet_soup_1, basket_1_contain_region); in(cream_cheese_1, basket_1_contain_region); in(tomato_sauce_1, basket_1_contain_region)	libero_10_LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket	Unordered triple selected from all C(7,3) object triples in this exact stock layout. | The explicit action plan follows the physical left-to-right/source-region rank; reversed wording is not a new identity. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ. | Object identity has its own original LIBERO-Object pick-to-basket trajectory; its pose in the composite scene may differ.	2	1	5	20.0	1	composition|ca920439e1c91be83da410695061460677aa83c4a15959e0740b4f07cd427d68|frozenset({in(alphabet_soup_1,basket_1_contain_region),in(cream_cheese_1,basket_1_contain_region),in(tomato_sauce_1,basket_1_contain_region)})
COMP2_008	Composition2Step-361	C2_ALL_libero10_basket_pairs	2	true	false	Put the butter in the basket, and then put the tomato sauce in the basket.	libero_object	307;306	pick_up_the_butter_and_place_it_in_the_basket;pick_up_the_tomato_sauce_and_place_it_in_the_basket	Pick the butter and place it in the basket | Pick the tomato sauce and place it in the basket	in(butter_1, basket_1_contain_region); in(tomato_sauce_1, basket_1_contain_region)	two_step_ca920439e1c91be83da4		3	3	5	60.0	3	composition|ca920439e1c91be83da410695061460677aa83c4a15959e0740b4f07cd427d68|frozenset({in(butter_1,basket_1_contain_region),in(tomato_sauce_1,basket_1_contain_region)})
