task_id	family	instruction	source_suite	source_task_id	source_task	original_instruction	goal_atom	evidence_notes	gpu	successes	episodes	success_rate_percent	success_videos	failure_videos	failure_episode_idx	comparison_png	comparison_sha256	result_dir	skill_sources	scene_sources	all_sources	transfer_summary	success_episode_ids	original_trial_outcomes
NAF_010	F03_popcorn_microwave_atomic	Close the microwave.	libero_10		KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it	put the yellow and white mug in the microwave and close it	close(microwave_1)	One original40 microwave primitive transferred to popcorn or its prepared containment context.	6	3	5	60.0	3	1	0	../assets/novel_adapt_feedback/comparison_png/NAF_010__comparison.png	2e18a3ba989c53173a50feb73b16c4017083817078fd5f14168c51fd63c4f649		LIBERO_10_10	LIBERO_10_10	LIBERO_10_10	One original40 microwave primitive transferred to popcorn or its prepared containment context.	1,2,4	ep0: failure · ep1: success · ep2: success · ep3: failure · ep4: success
NAF_014	F04_short_fridge_roof	Put the wine bottle on top of the short fridge.	libero_goal		put_the_bowl_on_top_of_the_cabinet	Put the bowl on the top of the drawer	on(wine_bottle_1, short_fridge_1_feedback_top_region)	Transfer wine bottle placement to a real short_fridge at a learned original40 target position.	6	1	5	20.0	1	1	0	../assets/novel_adapt_feedback/comparison_png/NAF_014__comparison.png	cf2b99596a5ab156357d8c7b1a804081dcb95d4c0081d3f7d9fe04d248ed0e3b		LIBERO_GOAL_05,LIBERO_GOAL_03	LIBERO_GOAL_05	LIBERO_GOAL_05,LIBERO_GOAL_03	Transfer wine bottle placement to a real short_fridge at a learned original40 target position.	2	ep0: failure · ep1: failure · ep2: success · ep3: failure · ep4: failure
NAF_015	F04_short_fridge_roof	Put the black bowl on top of the short fridge.	libero_goal		put_the_bowl_on_top_of_the_cabinet	Put the bowl on the top of the drawer	on(akita_black_bowl_1, short_fridge_1_feedback_top_region)	Transfer black bowl placement to a real short_fridge at a learned original40 target position.	5	4	5	80.0	4	1	1	../assets/novel_adapt_feedback/comparison_png/NAF_015__comparison.png	9fd8f14df6ddcec22a3e636ec365ab937cb5a755a5aa34fe6b786349576a5663		LIBERO_GOAL_05	LIBERO_GOAL_05	LIBERO_GOAL_05	Transfer black bowl placement to a real short_fridge at a learned original40 target position.	0,2,3,4	ep0: success · ep1: failure · ep2: success · ep3: success · ep4: success
NAF_017	F04_short_fridge_roof	Put the popcorn on top of the short fridge.	libero_goal		put_the_bowl_on_top_of_the_cabinet	Put the bowl on the top of the drawer	on(popcorn_1, short_fridge_1_feedback_top_region)	Transfer popcorn placement to a real short_fridge at a learned original40 target position.	5	5	5	100.0	5	0		../assets/novel_adapt_feedback/comparison_png/NAF_017__comparison.png	e013bff79cb67ec5db1a0ed00a2fe7004520530d7123560f8e3dc2051565d8e6		LIBERO_GOAL_05,LIBERO_OBJECT_09	LIBERO_GOAL_05	LIBERO_GOAL_05,LIBERO_OBJECT_09	Transfer popcorn placement to a real short_fridge at a learned original40 target position.	0,1,2,3,4	ep0: success · ep1: success · ep2: success · ep3: success · ep4: success
NAF_035	F07_two_layer_shelf_roof	Put the black book on top of the two-layer wooden shelf.	libero_10		STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy	pick up the book and place it in the back compartment of the caddy	on(black_book_1, wooden_two_layer_shelf_1_feedback_roof_region)	Transfer black book placement to a real wooden_two_layer_shelf at a learned original40 target position.	5	5	5	100.0	5	0		../assets/novel_adapt_feedback/comparison_png/NAF_035__comparison.png	604810c2c51e2e613fdb4c19a4af1714179607ca1012769963cc020802c59c6f		LIBERO_GOAL_05,LIBERO_10_06	LIBERO_10_06	LIBERO_10_06,LIBERO_GOAL_05	Transfer black book placement to a real wooden_two_layer_shelf at a learned original40 target position.	0,1,2,3,4	ep0: success · ep1: success · ep2: success · ep3: success · ep4: success
NAF_036	F07_two_layer_shelf_roof	Put the yellow book on top of the two-layer wooden shelf.	libero_10		STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy	pick up the book and place it in the back compartment of the caddy	on(yellow_book_1, wooden_two_layer_shelf_1_feedback_roof_region)	Transfer yellow book placement to a real wooden_two_layer_shelf at a learned original40 target position.	6	5	5	100.0	5	0		../assets/novel_adapt_feedback/comparison_png/NAF_036__comparison.png	35e7a111fdd4a8fe03a233d1903b0b977a6ca6b7f64e06bbf5a34f7fb36a2a66		LIBERO_GOAL_05,LIBERO_10_06	LIBERO_10_06	LIBERO_10_06,LIBERO_GOAL_05	Transfer yellow book placement to a real wooden_two_layer_shelf at a learned original40 target position.	0,1,2,3,4	ep0: success · ep1: success · ep2: success · ep3: success · ep4: success
NAF_039	F07_two_layer_shelf_roof	Put the black bowl on top of the two-layer wooden shelf.	libero_10		STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy	pick up the book and place it in the back compartment of the caddy	on(akita_black_bowl_1, wooden_two_layer_shelf_1_feedback_roof_region)	Transfer black bowl placement to a real wooden_two_layer_shelf at a learned original40 target position.	5	2	5	40.0	2	1	0	../assets/novel_adapt_feedback/comparison_png/NAF_039__comparison.png	d6dc62ed6b22d4a54907b03ce7675464d3ec39fb7165bb199cc59d6ac4171337		LIBERO_GOAL_05	LIBERO_10_06	LIBERO_10_06,LIBERO_GOAL_05	Transfer black bowl placement to a real wooden_two_layer_shelf at a learned original40 target position.	1,3	ep0: failure · ep1: success · ep2: failure · ep3: success · ep4: failure
NAF_042	F07_two_layer_shelf_roof	Put the cream cheese on top of the two-layer wooden shelf.	libero_goal		put_the_bowl_on_top_of_the_cabinet	Put the bowl on the top of the drawer	on(cream_cheese_1, wooden_two_layer_shelf_1_feedback_roof_region)	Transfer cream cheese placement to a real wooden_two_layer_shelf at a learned original40 target position.	6	5	5	100.0	5	0		../assets/novel_adapt_feedback/comparison_png/NAF_042__comparison.png	7ed7f84cc69a2ed8402dc46ea3fb81872f3a7469d458bed077465c7b9bd0f673		LIBERO_GOAL_05,LIBERO_OBJECT_02	LIBERO_GOAL_05	LIBERO_GOAL_05,LIBERO_OBJECT_02	Transfer cream cheese placement to a real wooden_two_layer_shelf at a learned original40 target position.	0,1,2,3,4	ep0: success · ep1: success · ep2: success · ep3: success · ep4: success
NAF_044	F07_two_layer_shelf_roof	Put the yellow and white mug on top of the two-layer wooden shelf.	libero_goal		put_the_bowl_on_top_of_the_cabinet	Put the bowl on the top of the drawer	on(white_yellow_mug_1, wooden_two_layer_shelf_1_feedback_roof_region)	Transfer yellow and white mug placement to a real wooden_two_layer_shelf at a learned original40 target position.	6	1	5	20.0	1	1	0	../assets/novel_adapt_feedback/comparison_png/NAF_044__comparison.png	5ab983d5f759926e9d9c9bbab8864b60f3e995e30fed5734e9c91b9a735f831b		LIBERO_GOAL_05,LIBERO_10_05	LIBERO_GOAL_05	LIBERO_GOAL_05,LIBERO_10_05	Transfer yellow and white mug placement to a real wooden_two_layer_shelf at a learned original40 target position.	3	ep0: failure · ep1: failure · ep2: failure · ep3: success · ep4: failure
NAF_054	F08_short_cabinet_open_close	Close the top drawer of the short cabinet.	libero_10		KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it	put the black bowl in the bottom drawer of the cabinet and close it	close(short_cabinet_1_top_region)	Transfer one close action to the exact top short-cabinet drawer at a learned cabinet pose.	6	1	5	20.0	1	1	1	../assets/novel_adapt_feedback/comparison_png/NAF_054__comparison.png	2ca9d7bc4aa922281200c95cc3024d7d64fb0f2c52efff8689cdc4a97e376fd1		LIBERO_10_04	LIBERO_10_04	LIBERO_10_04	Transfer one close action to the exact top short-cabinet drawer at a learned cabinet pose.	0	ep0: success · ep1: failure · ep2: failure · ep3: failure · ep4: failure
