task_id	family	instruction	source_suite	source_task	original_instruction	goal_atom	evidence_notes	gpu	successes	episodes	success_rate_percent	success_videos
COMP2_001	C2_ALL_goal_compatible_pairs	Put the cream cheese on the black bowl, and then open the middle drawer of the cabinet.	libero_goal	put_the_cream_cheese_in_the_bowl;open_the_middle_drawer_of_the_cabinet	Put the cream cheese on the bowl | Open the middle layer of the drawer	on(cream_cheese_1, akita_black_bowl_1); open(wooden_cabinet_1_middle_region)		2	2	5	40.0	2
COMP2_005	C2_ALL_libero10_basket_pairs	Put the alphabet soup in the basket, and then put the butter in the basket.	libero_object	pick_up_the_alphabet_soup_and_place_it_in_the_basket;pick_up_the_butter_and_place_it_in_the_basket	Pick the alphabet soup and place it in the basket | Pick the butter and place it in the basket	in(alphabet_soup_1, basket_1_contain_region); in(butter_1, basket_1_contain_region)		2	2	5	40.0	2
COMP2_006	C2_ALL_libero10_basket_pairs	Put the alphabet soup in the basket, and then put the cream cheese box in the basket.	libero_object	pick_up_the_alphabet_soup_and_place_it_in_the_basket;pick_up_the_cream_cheese_and_place_it_in_the_basket	Pick the alphabet soup and place it in the basket | Pick the cream cheese and place it in the basket	in(alphabet_soup_1, basket_1_contain_region); in(cream_cheese_1, basket_1_contain_region)		3	1	5	20.0	1
COMP2_007	C2_ALL_libero10_basket_pairs	Put the butter in the basket, and then put the milk in the basket.	libero_object	pick_up_the_butter_and_place_it_in_the_basket;pick_up_the_milk_and_place_it_in_the_basket	Pick the butter and place it in the basket | Pick the milk and place it in the basket	in(butter_1, basket_1_contain_region); in(milk_1, basket_1_contain_region)		2	1	5	20.0	1
COMP2_008	C2_ALL_libero10_basket_pairs	Put the butter in the basket, and then put the tomato sauce in the basket.	libero_object	pick_up_the_butter_and_place_it_in_the_basket;pick_up_the_tomato_sauce_and_place_it_in_the_basket	Pick the butter and place it in the basket | Pick the tomato sauce and place it in the basket	in(butter_1, basket_1_contain_region); in(tomato_sauce_1, basket_1_contain_region)		3	3	5	60.0	3
COMP2_010	C2_ALL_libero10_basket_pairs	Put the cream cheese box in the basket, and then put the tomato sauce in the basket.	libero_object	pick_up_the_cream_cheese_and_place_it_in_the_basket;pick_up_the_tomato_sauce_and_place_it_in_the_basket	Pick the cream cheese and place it in the basket | Pick the tomato sauce and place it in the basket	in(cream_cheese_1, basket_1_contain_region); in(tomato_sauce_1, basket_1_contain_region)		3	1	5	20.0	1
COMP2_011	C2_ALL_object_layout_basket_pairs	Put the bbq sauce in the basket, and then put the chocolate pudding in the basket.	libero_object	pick_up_the_bbq_sauce_and_place_it_in_the_basket;pick_up_the_chocolate_pudding_and_place_it_in_the_basket	Pick the bbq sauce and place it in the basket | Pick the chocolate pudding and place it in the basket	in(bbq_sauce_1, basket_1_contain_region); in(chocolate_pudding_1, basket_1_contain_region)		2	1	5	20.0	1
COMP2_012	C2_ALL_object_layout_basket_pairs	Put the butter in the basket, and then put the tomato sauce in the basket.	libero_object	pick_up_the_butter_and_place_it_in_the_basket;pick_up_the_tomato_sauce_and_place_it_in_the_basket	Pick the butter and place it in the basket | Pick the tomato sauce and place it in the basket	in(butter_1, basket_1_contain_region); in(tomato_sauce_1, basket_1_contain_region)		3	5	5	100.0	5
COMP2_014	C2_ALL_object_layout_basket_pairs	Put the ketchup in the basket, and then put the bbq sauce in the basket.	libero_object	pick_up_the_ketchup_and_place_it_in_the_basket;pick_up_the_bbq_sauce_and_place_it_in_the_basket	Pick the ketchup and place it in the basket | Pick the bbq sauce and place it in the basket	in(ketchup_1, basket_1_contain_region); in(bbq_sauce_1, basket_1_contain_region)		3	1	5	20.0	1
COMP2_018	C2_ALL_goal_compatible_pairs	Put the black bowl on the plate, and then put the wine bottle on the rack.	libero_goal	put_the_bowl_on_the_plate;put_the_wine_bottle_on_the_rack	Put the bowl on the plate | Put the wine bottle on the rack	on(akita_black_bowl_1, plate_1); on(wine_bottle_1, wine_rack_1_top_region)		3	1	5	20.0	1
COMP2_023	C2_ALL_goal_compatible_pairs	Put the black bowl on the plate, and then open the middle drawer of the cabinet.	libero_goal	put_the_bowl_on_the_plate;open_the_middle_drawer_of_the_cabinet	Put the bowl on the plate | Open the middle layer of the drawer	on(akita_black_bowl_1, plate_1); open(wooden_cabinet_1_middle_region)		2	1	5	20.0	1
