task_id	family	instruction	source_suite	source_task_id	source_task	original_instruction	goal_atom	evidence_notes	gpu	successes	episodes	success_rate_percent	success_videos	failure_videos	failure_episode_idx	comparison_png	comparison_sha256	result_dir	skill_sources	scene_sources	all_sources	transfer_summary	success_episode_ids	original_trial_outcomes
DADAPT_001	D1_relocated_drawer_control	Open the top drawer of the wooden cabinet.	libero_goal	10	open_the_middle_drawer_of_the_cabinet	Open the middle layer of the drawer	open(wooden_cabinet_1_top_region)	Learned drawer open transfers to a translated and yawed wooden cabinet.	2	0	5	0.0	0	1	0	../assets/diverse_adapt/comparison_png/DADAPT_001__comparison.png	5417168e6bc80c1cbf757e797564a8f99281d553b6735874fac60e6e0c3e491b		LIBERO_GOAL_01	LIBERO_GOAL_01	LIBERO_GOAL_01	Learned drawer open transfers to a translated and yawed wooden cabinet.		ep0: failure · ep1: failure · ep2: failure · ep3: failure · ep4: failure
DADAPT_002	D1_relocated_drawer_control	Close the top drawer of the wooden cabinet.	libero_goal	108	open_the_middle_drawer_of_the_cabinet	Open the middle layer of the drawer	close(wooden_cabinet_1_top_region)	Learned drawer close transfers to a translated and yawed wooden cabinet.	3	0	5	0.0	0	1	0	../assets/diverse_adapt/comparison_png/DADAPT_002__comparison.png	478246d05a528783ab908587378edae778f94121174a3bc26cde907c074133f8		LIBERO_10_04	LIBERO_GOAL_01	LIBERO_10_04,LIBERO_GOAL_01	Learned drawer close transfers to a translated and yawed wooden cabinet.		ep0: failure · ep1: failure · ep2: failure · ep3: failure · ep4: failure
DADAPT_003	D1_relocated_drawer_control	Open the middle drawer of the wooden cabinet.	libero_goal	10	open_the_middle_drawer_of_the_cabinet	Open the middle layer of the drawer	open(wooden_cabinet_1_middle_region)	Learned drawer open transfers to a translated and yawed wooden cabinet.	2	1	5	20.0	1	1	0	../assets/diverse_adapt/comparison_png/DADAPT_003__comparison.png	70eecea6d7ebe615db4d8d7cddb28b7e9e7e26aea93d8ac49027cace3dea2d06		LIBERO_GOAL_01	LIBERO_GOAL_01	LIBERO_GOAL_01	Learned drawer open transfers to a translated and yawed wooden cabinet.	4	ep0: failure · ep1: failure · ep2: failure · ep3: failure · ep4: success
DADAPT_004	D1_relocated_drawer_control	Close the middle drawer of the wooden cabinet.	libero_goal	108	open_the_middle_drawer_of_the_cabinet	Open the middle layer of the drawer	close(wooden_cabinet_1_middle_region)	Learned drawer close transfers to a translated and yawed wooden cabinet.	3	0	5	0.0	0	1	0	../assets/diverse_adapt/comparison_png/DADAPT_004__comparison.png	ddf5f60caa9735ff6df8020554344ea947e6b50f6e1c24497dca6349e916f070		LIBERO_10_04	LIBERO_GOAL_01	LIBERO_10_04,LIBERO_GOAL_01	Learned drawer close transfers to a translated and yawed wooden cabinet.		ep0: failure · ep1: failure · ep2: failure · ep3: failure · ep4: failure
DADAPT_005	D1_relocated_drawer_control	Open the bottom drawer of the white cabinet.	libero_10	10	KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it	put the black bowl in the bottom drawer of the cabinet and close it	open(white_cabinet_1_bottom_region)	Learned drawer open transfers to a translated and yawed white cabinet.	2	0	5	0.0	0	1	0	../assets/diverse_adapt/comparison_png/DADAPT_005__comparison.png	b336bd8e9f60d3b8a319cc848a0a5071b8c57d324a7a417d54c7b6fe39646ad0		LIBERO_GOAL_01	LIBERO_10_04	LIBERO_GOAL_01,LIBERO_10_04	Learned drawer open transfers to a translated and yawed white cabinet.		ep0: failure · ep1: failure · ep2: failure · ep3: failure · ep4: failure
DADAPT_006	D1_relocated_drawer_control	Close the bottom drawer of the white cabinet.	libero_10	108	KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it	put the black bowl in the bottom drawer of the cabinet and close it	close(white_cabinet_1_bottom_region)	Learned drawer close transfers to a translated and yawed white cabinet.	3	0	5	0.0	0	1	0	../assets/diverse_adapt/comparison_png/DADAPT_006__comparison.png	d6828e3ebfac8a02a660ee0c36a974d70f70900b63634422da0989c38594c7f5		LIBERO_10_04	LIBERO_10_04	LIBERO_10_04	Learned drawer close transfers to a translated and yawed white cabinet.		ep0: failure · ep1: failure · ep2: failure · ep3: failure · ep4: failure
DADAPT_007	D1_relocated_drawer_control	Open the top drawer of the white cabinet.	libero_10	10	KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it	put the black bowl in the bottom drawer of the cabinet and close it	open(white_cabinet_1_top_region)	Learned drawer open transfers to a translated and yawed white cabinet.	2	0	5	0.0	0	1	0	../assets/diverse_adapt/comparison_png/DADAPT_007__comparison.png	b2a1c4a8331f4078182fb893cdf3607805ac8ebe35ab679ba9b8cf2af93aed21		LIBERO_GOAL_01	LIBERO_10_04	LIBERO_GOAL_01,LIBERO_10_04	Learned drawer open transfers to a translated and yawed white cabinet.		ep0: failure · ep1: failure · ep2: failure · ep3: failure · ep4: failure
DADAPT_008	D1_relocated_drawer_control	Close the top drawer of the white cabinet.	libero_10	108	KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it	put the black bowl in the bottom drawer of the cabinet and close it	close(white_cabinet_1_top_region)	Learned drawer close transfers to a translated and yawed white cabinet.	3	0	5	0.0	0	1	0	../assets/diverse_adapt/comparison_png/DADAPT_008__comparison.png	a6c5ffd392c6013e5b519818b0e13a680edfac4d2e087d53ab32139bf0b1c0d4		LIBERO_10_04	LIBERO_10_04	LIBERO_10_04	Learned drawer close transfers to a translated and yawed white cabinet.		ep0: failure · ep1: failure · ep2: failure · ep3: failure · ep4: failure
DADAPT_009	D2_non_table_pickup	Put the black bowl from the top drawer on the plate.	libero_goal		put_the_bowl_on_the_plate	Put the bowl on the plate	on(akita_black_bowl_1, plate_1)	The trained drawer-extraction skill transfers to a different cabinet pose and drawer height in the Goal scene.	2	0	5	0.0	0	1	0	../assets/diverse_adapt/comparison_png/DADAPT_009__comparison.png	7ba78e35c5f9ef1856c67571eacf9ac4afc771cf7dbb19120ff0234833209d34		LIBERO_SPATIAL_05	LIBERO_GOAL_09	LIBERO_SPATIAL_05,LIBERO_GOAL_09	The trained drawer-extraction skill transfers to a different cabinet pose and drawer height in the Goal scene.		ep0: failure · ep1: failure · ep2: failure · ep3: failure · ep4: failure
DADAPT_010	D2_non_table_pickup	Put the black bowl from the middle drawer on the plate.	libero_goal		put_the_bowl_on_the_plate	Put the bowl on the plate	on(akita_black_bowl_1, plate_1)	The trained drawer-extraction skill transfers to a different cabinet pose and drawer height in the Goal scene.	3	0	5	0.0	0	1	0	../assets/diverse_adapt/comparison_png/DADAPT_010__comparison.png	60efe5cda9923934ecd484e63fe53873dae04117244e853102807b796f7dc742		LIBERO_SPATIAL_05	LIBERO_GOAL_09	LIBERO_SPATIAL_05,LIBERO_GOAL_09	The trained drawer-extraction skill transfers to a different cabinet pose and drawer height in the Goal scene.		ep0: failure · ep1: failure · ep2: failure · ep3: failure · ep4: failure
