candidate_index	task_id	source_task_id	source_suite_index	source_instruction	source_target	new_target	instruction	scene_objects	target_initial_region	target_center	position_evidence	successes	episodes	success_rate_percent	success_episode_ids	success_reel	bundle	comparison_png	episode_outcomes
1	OGDTSL_001	LIBERO_OBJECT_01	1	Pick the alphabet soup and place it in the basket	alphabet soup	salad dressing	Pick the salad dressing and place it in the basket	alphabet soup, salad dressing, cream cheese, milk, tomato sauce, butter	floor_other_object_region_0	(+0.050, -0.100)	seen_target_interaction_region	0	5	0.0			../assets/adapt_object/task_bundles/OGDTSL_001/	../assets/adapt_object/comparison_png/OGDTSL_001__alphabet_soup_to_salad_dressing.png	ep0=failure ep1=failure ep2=failure ep3=failure ep4=failure
2	OGDTSL_002	LIBERO_OBJECT_01	1	Pick the alphabet soup and place it in the basket	alphabet soup	cream cheese	Pick the cream cheese and place it in the basket	alphabet soup, salad dressing, cream cheese, milk, tomato sauce, butter	floor_other_object_region_1	(-0.150, +0.060)	original_distractor_only_region	0	5	0.0			../assets/adapt_object/task_bundles/OGDTSL_002/	../assets/adapt_object/comparison_png/OGDTSL_002__alphabet_soup_to_cream_cheese.png	ep0=failure ep1=failure ep2=failure ep3=failure ep4=failure
3	OGDTSL_003	LIBERO_OBJECT_01	1	Pick the alphabet soup and place it in the basket	alphabet soup	milk	Pick the milk and place it in the basket	alphabet soup, salad dressing, cream cheese, milk, tomato sauce, butter	floor_other_object_region_2	(+0.100, -0.200)	original_distractor_only_region	0	5	0.0			../assets/adapt_object/task_bundles/OGDTSL_003/	../assets/adapt_object/comparison_png/OGDTSL_003__alphabet_soup_to_milk.png	ep0=failure ep1=failure ep2=failure ep3=failure ep4=failure
4	OGDTSL_004	LIBERO_OBJECT_01	1	Pick the alphabet soup and place it in the basket	alphabet soup	tomato sauce	Pick the tomato sauce and place it in the basket	alphabet soup, salad dressing, cream cheese, milk, tomato sauce, butter	floor_other_object_region_3	(+0.150, +0.030)	original_distractor_only_region	0	5	0.0			../assets/adapt_object/task_bundles/OGDTSL_004/	../assets/adapt_object/comparison_png/OGDTSL_004__alphabet_soup_to_tomato_sauce.png	ep0=failure ep1=failure ep2=failure ep3=failure ep4=failure
5	OGDTSL_005	LIBERO_OBJECT_01	1	Pick the alphabet soup and place it in the basket	alphabet soup	butter	Pick the butter and place it in the basket	alphabet soup, salad dressing, cream cheese, milk, tomato sauce, butter	floor_other_object_region_4	(-0.200, -0.080)	original_distractor_only_region	0	5	0.0			../assets/adapt_object/task_bundles/OGDTSL_005/	../assets/adapt_object/comparison_png/OGDTSL_005__alphabet_soup_to_butter.png	ep0=failure ep1=failure ep2=failure ep3=failure ep4=failure
6	OGDTSL_006	LIBERO_OBJECT_04	4	Pick the bbq sauce and place it in the basket	bbq sauce	chocolate pudding	Pick the chocolate pudding and place it in the basket	bbq sauce, chocolate pudding, ketchup, salad dressing, alphabet soup, cream cheese	floor_other_object_region_0	(-0.120, -0.240)	seen_target_interaction_region	2	5	40.0	1,4	../assets/adapt_object/success_reels/OGDTSL_006.mp4	../assets/adapt_object/task_bundles/OGDTSL_006/	../assets/adapt_object/comparison_png/OGDTSL_006__bbq_sauce_to_chocolate_pudding.png	ep0=failure ep1=success ep2=failure ep3=failure ep4=success
7	OGDTSL_007	LIBERO_OBJECT_04	4	Pick the bbq sauce and place it in the basket	bbq sauce	ketchup	Pick the ketchup and place it in the basket	bbq sauce, chocolate pudding, ketchup, salad dressing, alphabet soup, cream cheese	floor_other_object_region_1	(-0.150, +0.060)	original_distractor_only_region	0	5	0.0			../assets/adapt_object/task_bundles/OGDTSL_007/	../assets/adapt_object/comparison_png/OGDTSL_007__bbq_sauce_to_ketchup.png	ep0=failure ep1=failure ep2=failure ep3=failure ep4=failure
8	OGDTSL_008	LIBERO_OBJECT_04	4	Pick the bbq sauce and place it in the basket	bbq sauce	salad dressing	Pick the salad dressing and place it in the basket	bbq sauce, chocolate pudding, ketchup, salad dressing, alphabet soup, cream cheese	floor_other_object_region_2	(+0.100, -0.200)	original_distractor_only_region	0	5	0.0			../assets/adapt_object/task_bundles/OGDTSL_008/	../assets/adapt_object/comparison_png/OGDTSL_008__bbq_sauce_to_salad_dressing.png	ep0=failure ep1=failure ep2=failure ep3=failure ep4=failure
9	OGDTSL_009	LIBERO_OBJECT_04	4	Pick the bbq sauce and place it in the basket	bbq sauce	alphabet soup	Pick the alphabet soup and place it in the basket	bbq sauce, chocolate pudding, ketchup, salad dressing, alphabet soup, cream cheese	floor_other_object_region_3	(+0.150, +0.030)	original_distractor_only_region	0	5	0.0			../assets/adapt_object/task_bundles/OGDTSL_009/	../assets/adapt_object/comparison_png/OGDTSL_009__bbq_sauce_to_alphabet_soup.png	ep0=failure ep1=failure ep2=failure ep3=failure ep4=failure
10	OGDTSL_010	LIBERO_OBJECT_04	4	Pick the bbq sauce and place it in the basket	bbq sauce	cream cheese	Pick the cream cheese and place it in the basket	bbq sauce, chocolate pudding, ketchup, salad dressing, alphabet soup, cream cheese	floor_other_object_region_4	(-0.200, -0.080)	original_distractor_only_region	0	5	0.0			../assets/adapt_object/task_bundles/OGDTSL_010/	../assets/adapt_object/comparison_png/OGDTSL_010__bbq_sauce_to_cream_cheese.png	ep0=failure ep1=failure ep2=failure ep3=failure ep4=failure
11	OGDTSL_011	LIBERO_OBJECT_07	7	Pick the butter and place it in the basket	butter	tomato sauce	Pick the tomato sauce and place it in the basket	butter, tomato sauce, orange juice, chocolate pudding, bbq sauce, ketchup	floor_other_object_region_0	(+0.050, -0.100)	seen_target_interaction_region	4	5	80.0	0,2,3,4	../assets/adapt_object/success_reels/OGDTSL_011.mp4	../assets/adapt_object/task_bundles/OGDTSL_011/	../assets/adapt_object/comparison_png/OGDTSL_011__butter_to_tomato_sauce.png	ep0=success ep1=failure ep2=success ep3=success ep4=success
12	OGDTSL_012	LIBERO_OBJECT_07	7	Pick the butter and place it in the basket	butter	orange juice	Pick the orange juice and place it in the basket	butter, tomato sauce, orange juice, chocolate pudding, bbq sauce, ketchup	floor_other_object_region_1	(-0.150, +0.060)	original_distractor_only_region	0	5	0.0			../assets/adapt_object/task_bundles/OGDTSL_012/	../assets/adapt_object/comparison_png/OGDTSL_012__butter_to_orange_juice.png	ep0=failure ep1=failure ep2=failure ep3=failure ep4=failure
13	OGDTSL_013	LIBERO_OBJECT_07	7	Pick the butter and place it in the basket	butter	chocolate pudding	Pick the chocolate pudding and place it in the basket	butter, tomato sauce, orange juice, chocolate pudding, bbq sauce, ketchup	floor_other_object_region_2	(+0.100, -0.200)	original_distractor_only_region	0	5	0.0			../assets/adapt_object/task_bundles/OGDTSL_013/	../assets/adapt_object/comparison_png/OGDTSL_013__butter_to_chocolate_pudding.png	ep0=failure ep1=failure ep2=failure ep3=failure ep4=failure
14	OGDTSL_014	LIBERO_OBJECT_07	7	Pick the butter and place it in the basket	butter	bbq sauce	Pick the bbq sauce and place it in the basket	butter, tomato sauce, orange juice, chocolate pudding, bbq sauce, ketchup	floor_other_object_region_3	(+0.150, +0.030)	original_distractor_only_region	0	5	0.0			../assets/adapt_object/task_bundles/OGDTSL_014/	../assets/adapt_object/comparison_png/OGDTSL_014__butter_to_bbq_sauce.png	ep0=failure ep1=failure ep2=failure ep3=failure ep4=failure
