task_id	suite	suite_index	instruction	problem	fixtures	objects	goal_atoms	physical_goal_signature	physical_scene_signature	asset_composition_signature	source_bddl	source_bddl_sha256
LIBERO_90_01	libero_90	1	close the top drawer of the cabinet	libero_kitchen_tabletop_manipulation	"{""kitchen_table"": ""kitchen_table"", ""wooden_cabinet_1"": ""wooden_cabinet""}"	"{""akita_black_bowl_1"": ""akita_black_bowl"", ""butter_1"": ""butter"", ""butter_2"": ""butter"", ""chocolate_pudding_1"": ""chocolate_pudding""}"	"[[""close"", ""wooden_cabinet_1_top_region""]]"	cef8ea79d4a2ddbd5f0fe9974aefd8dd17b168614908e7b08c918dda9bc57348	8cc4127d67f83d3ba7be635b020de75d9be7b5a567f46d45fe1f685d06881038	b3fb947c0ad4579749ba1c8d8b097491160046da0b9476ecea3dd3ab007a32ed	libero/bddl_files/libero_90/KITCHEN_SCENE10_close_the_top_drawer_of_the_cabinet.bddl	a0824cbe6b3146c00984f5a01307a3e39aac9ddc434ee4ff040b5536a0c48bbc
LIBERO_90_02	libero_90	2	close the top drawer of the cabinet and put the black bowl on top of it	libero_kitchen_tabletop_manipulation	"{""kitchen_table"": ""kitchen_table"", ""wooden_cabinet_1"": ""wooden_cabinet""}"	"{""akita_black_bowl_1"": ""akita_black_bowl"", ""butter_1"": ""butter"", ""butter_2"": ""butter"", ""chocolate_pudding_1"": ""chocolate_pudding""}"	"[[""close"", ""wooden_cabinet_1_top_region""], [""on"", ""akita_black_bowl_1"", ""wooden_cabinet_1_top_side""]]"	86c37457bd8ce2fadcfe6d647bd0b5e6e1b3b1d409fa10a3396d3f0bb2c75662	8cc4127d67f83d3ba7be635b020de75d9be7b5a567f46d45fe1f685d06881038	b3fb947c0ad4579749ba1c8d8b097491160046da0b9476ecea3dd3ab007a32ed	libero/bddl_files/libero_90/KITCHEN_SCENE10_close_the_top_drawer_of_the_cabinet_and_put_the_black_bowl_on_top_of_it.bddl	da9fc4fcf5523a989a547b61450c0809926e710af0c37341b15593930e42f8d9
LIBERO_90_03	libero_90	3	put the black bowl in the top drawer of the cabinet	libero_kitchen_tabletop_manipulation	"{""kitchen_table"": ""kitchen_table"", ""wooden_cabinet_1"": ""wooden_cabinet""}"	"{""akita_black_bowl_1"": ""akita_black_bowl"", ""butter_1"": ""butter"", ""butter_2"": ""butter"", ""chocolate_pudding_1"": ""chocolate_pudding""}"	"[[""in"", ""akita_black_bowl_1"", ""wooden_cabinet_1_top_region""]]"	75d600889278a734f6e1e0b5a5a083d77927884dcac1a572b74fb53ea06f8613	8cc4127d67f83d3ba7be635b020de75d9be7b5a567f46d45fe1f685d06881038	b3fb947c0ad4579749ba1c8d8b097491160046da0b9476ecea3dd3ab007a32ed	libero/bddl_files/libero_90/KITCHEN_SCENE10_put_the_black_bowl_in_the_top_drawer_of_the_cabinet.bddl	ffca5a60db6d6fe14aedb8ec9d4fe75363d49f28b686c9d55acda312450cb19a
LIBERO_90_04	libero_90	4	put the butter at the back in the top drawer of the cabinet and close it	libero_kitchen_tabletop_manipulation	"{""kitchen_table"": ""kitchen_table"", ""wooden_cabinet_1"": ""wooden_cabinet""}"	"{""akita_black_bowl_1"": ""akita_black_bowl"", ""butter_1"": ""butter"", ""butter_2"": ""butter"", ""chocolate_pudding_1"": ""chocolate_pudding""}"	"[[""in"", ""butter_2"", ""wooden_cabinet_1_top_region""], [""close"", ""wooden_cabinet_1_top_region""]]"	8e332f7abbdae2e8ea6c456d9688f6aa2eee5ecb775112ab64253b58ef46005e	8cc4127d67f83d3ba7be635b020de75d9be7b5a567f46d45fe1f685d06881038	b3fb947c0ad4579749ba1c8d8b097491160046da0b9476ecea3dd3ab007a32ed	libero/bddl_files/libero_90/KITCHEN_SCENE10_put_the_butter_at_the_back_in_the_top_drawer_of_the_cabinet_and_close_it.bddl	3d00910a47feefbe351a02442c03c9d66cf62a1dc89f4b653fd0250b90f7fa88
LIBERO_90_05	libero_90	5	put the butter at the front in the top drawer of the cabinet and close it	libero_kitchen_tabletop_manipulation	"{""kitchen_table"": ""kitchen_table"", ""wooden_cabinet_1"": ""wooden_cabinet""}"	"{""akita_black_bowl_1"": ""akita_black_bowl"", ""butter_1"": ""butter"", ""butter_2"": ""butter"", ""chocolate_pudding_1"": ""chocolate_pudding""}"	"[[""in"", ""butter_1"", ""wooden_cabinet_1_top_region""], [""close"", ""wooden_cabinet_1_top_region""]]"	ff40414805ab318995367c71f47bbbb137bf430820d37d9af2fe4a36f2a0e4c4	8cc4127d67f83d3ba7be635b020de75d9be7b5a567f46d45fe1f685d06881038	b3fb947c0ad4579749ba1c8d8b097491160046da0b9476ecea3dd3ab007a32ed	libero/bddl_files/libero_90/KITCHEN_SCENE10_put_the_butter_at_the_front_in_the_top_drawer_of_the_cabinet_and_close_it.bddl	af0684ddb06f1b9b1f151db3bea2d390e3b8b8eed1f2529b2e82d58c5e227709
LIBERO_90_06	libero_90	6	put the chocolate pudding in the top drawer of the cabinet and close it	libero_kitchen_tabletop_manipulation	"{""kitchen_table"": ""kitchen_table"", ""wooden_cabinet_1"": ""wooden_cabinet""}"	"{""akita_black_bowl_1"": ""akita_black_bowl"", ""butter_1"": ""butter"", ""butter_2"": ""butter"", ""chocolate_pudding_1"": ""chocolate_pudding""}"	"[[""in"", ""chocolate_pudding_1"", ""wooden_cabinet_1_top_region""], [""close"", ""wooden_cabinet_1_top_region""]]"	3e41d9c653ae2ea9a583efab6aed91536cb4536b2ff6027415ecd3636295a883	8cc4127d67f83d3ba7be635b020de75d9be7b5a567f46d45fe1f685d06881038	b3fb947c0ad4579749ba1c8d8b097491160046da0b9476ecea3dd3ab007a32ed	libero/bddl_files/libero_90/KITCHEN_SCENE10_put_the_chocolate_pudding_in_the_top_drawer_of_the_cabinet_and_close_it.bddl	f6438ca7aa12c288cc491844c5af26e06777a85c1a9ec7a65f62fbf14f9bf838
LIBERO_90_07	libero_90	7	open the bottom drawer of the cabinet	libero_kitchen_tabletop_manipulation	"{""kitchen_table"": ""kitchen_table"", ""wooden_cabinet_1"": ""wooden_cabinet""}"	"{""akita_black_bowl_1"": ""akita_black_bowl"", ""plate_1"": ""plate""}"	"[[""open"", ""wooden_cabinet_1_bottom_region""]]"	bff9807177f220f93e094a1b744925cd0dc3021e2e654e3d223d870d42a5225a	b12554c039cfe46866410a2ec7731f5fcb5c0f3e42889ce7a3096b7e510e281d	3fea8b4c4b5131a07bda6d10eaed86ecef2fab574ee20e68d01ef1ba974a39f2	libero/bddl_files/libero_90/KITCHEN_SCENE1_open_the_bottom_drawer_of_the_cabinet.bddl	26453b960c3c071a731e13d1447c31dd4dc939a8852030edad5e90d0ee465e0e
LIBERO_90_08	libero_90	8	open the top drawer of the cabinet	libero_kitchen_tabletop_manipulation	"{""kitchen_table"": ""kitchen_table"", ""wooden_cabinet_1"": ""wooden_cabinet""}"	"{""akita_black_bowl_1"": ""akita_black_bowl"", ""plate_1"": ""plate""}"	"[[""open"", ""wooden_cabinet_1_top_region""]]"	1c058bb6043600556ef49c43364b29ddeb93cfb029e52eaff964dfba2b4c4498	b12554c039cfe46866410a2ec7731f5fcb5c0f3e42889ce7a3096b7e510e281d	3fea8b4c4b5131a07bda6d10eaed86ecef2fab574ee20e68d01ef1ba974a39f2	libero/bddl_files/libero_90/KITCHEN_SCENE1_open_the_top_drawer_of_the_cabinet.bddl	d4f8f86fec0d4fe418f8c063792d07d179a71f06fb799dc5132ca06896e16ac1
LIBERO_90_09	libero_90	9	open the top drawer of the cabinet and put the bowl in it	libero_kitchen_tabletop_manipulation	"{""kitchen_table"": ""kitchen_table"", ""wooden_cabinet_1"": ""wooden_cabinet""}"	"{""akita_black_bowl_1"": ""akita_black_bowl"", ""plate_1"": ""plate""}"	"[[""open"", ""wooden_cabinet_1_top_region""], [""in"", ""akita_black_bowl_1"", ""wooden_cabinet_1_top_region""]]"	b39f48593f0b1d3e9b13cfb4a9faf003d819a495679aa8fda92d997fdc34a5f5	b12554c039cfe46866410a2ec7731f5fcb5c0f3e42889ce7a3096b7e510e281d	3fea8b4c4b5131a07bda6d10eaed86ecef2fab574ee20e68d01ef1ba974a39f2	libero/bddl_files/libero_90/KITCHEN_SCENE1_open_the_top_drawer_of_the_cabinet_and_put_the_bowl_in_it.bddl	642afeac021a9e8d20256da9fcd8a2f34ca2dd4df89a4d67c90b9facf46e4e97
LIBERO_90_10	libero_90	10	put the black bowl on the plate	libero_kitchen_tabletop_manipulation	"{""kitchen_table"": ""kitchen_table"", ""wooden_cabinet_1"": ""wooden_cabinet""}"	"{""akita_black_bowl_1"": ""akita_black_bowl"", ""plate_1"": ""plate""}"	"[[""on"", ""akita_black_bowl_1"", ""plate_1""]]"	50a3c3c04b671f56bb8849ce04c635931228014e60920c2244042d910bff0f24	b12554c039cfe46866410a2ec7731f5fcb5c0f3e42889ce7a3096b7e510e281d	3fea8b4c4b5131a07bda6d10eaed86ecef2fab574ee20e68d01ef1ba974a39f2	libero/bddl_files/libero_90/KITCHEN_SCENE1_put_the_black_bowl_on_the_plate.bddl	9875b091f27560f75e556353e204e8fb27526e3ee9449c02ef1b127115055450
