task_id	family	instruction	source_suite	source_task_id	source_task	original_instruction	goal_atom	evidence_notes	gpu	successes	episodes	success_rate_percent	success_videos	skill_source_ids	skill_source_instructions	scene_source_id	scene_source_instruction	object_source_ids	all_evidence_source_ids	review_status	cross_category_exact_overlaps	instruction_review_status	proposed_task_only_instruction
ADAPT_001	A0_selected_seed__E1_clean_exact_instance_three_targets	Put the white mug on the middle plate.	libero_10	104	LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate	put the white mug on the left plate and put the yellow and white mug on the right plate	on(porcelain_mug_1, plate_3)	Nonblocking source-scene mugs remain; repeated plates remain because exact-instance selection is the analogy variable. | Locked seed from ANLGX_002; previous 5-episode screen: 4/5 (80.0%).	2	3	5	60.0	3	LIBERO_10_05	put the white mug on the left plate and put the yellow and white mug on the right plate	LIBERO_10_05	put the white mug on the left plate and put the yellow and white mug on the right plate		LIBERO_10_05	ELIGIBLE		PASS	Put the white mug on the middle plate.
ADAPT_002	A0_selected_seed__E1_clean_exact_instance_three_targets	Put the white mug on the right plate.	libero_10	104	LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate	put the white mug on the left plate and put the yellow and white mug on the right plate	on(porcelain_mug_1, plate_2)	Nonblocking source-scene mugs remain; repeated plates remain because exact-instance selection is the analogy variable. | The yellow-and-white mug is removed because it lies in the white-mug-to-right-plate corridor (the ANLG_012 collision). | Locked seed from ANLGX_003; previous 5-episode screen: 3/5 (60.0%).	3	3	5	60.0	3	LIBERO_10_05	put the white mug on the left plate and put the yellow and white mug on the right plate	LIBERO_10_05	put the white mug on the left plate and put the yellow and white mug on the right plate		LIBERO_10_05	ELIGIBLE		PASS	Put the white mug on the right plate.
ADAPT_003	A0_selected_seed__E2_sibling_part_or_compartment	Put the black bowl in the middle drawer of the white cabinet.	libero_10	103	KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it	put the black bowl in the bottom drawer of the cabinet and close it	in(akita_black_bowl_1, white_cabinet_1_middle_region)	Locked seed from ANLGX_017; previous 5-episode screen: 5/5 (100.0%).	2	5	5	100.0	5	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it		LIBERO_10_04	ELIGIBLE		PASS	Put the black bowl in the middle drawer of the white cabinet.
ADAPT_004	A0_selected_seed__E2_sibling_part_or_compartment	Close the top drawer of the white cabinet.	libero_10	103	KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it	put the black bowl in the bottom drawer of the cabinet and close it	close(white_cabinet_1_top_region)	Locked seed from ANLGX_022; previous 5-episode screen: 4/5 (80.0%).	3	3	5	60.0	3	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it		LIBERO_10_04	ELIGIBLE		PASS	Close the top drawer of the white cabinet.
ADAPT_005	A0_selected_seed__E2_sibling_part_or_compartment	Close the middle drawer of the white cabinet.	libero_10	103	KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it	put the black bowl in the bottom drawer of the cabinet and close it	close(white_cabinet_1_middle_region)	Locked seed from ANLGX_023; previous 5-episode screen: 4/5 (80.0%). The actual task is middle-drawer close; the user shorthand said bottom, which was corrected here.	2	5	5	100.0	5	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it		LIBERO_10_04	ELIGIBLE		PASS	Close the middle drawer of the white cabinet.
ADAPT_006	A0_selected_seed__S4_spatial_source_object_binding	Pick up the wine bottle at the table center and place it on the plate.	libero_spatial	5	pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate	Pick the akita black bowl from table center and place it on the plate	on(wine_bottle_1, plate_1)	Reference-identity collisions are excluded: the replaced object is never the ramekin/cookies/plate named by its own source relation. | Training evidence: direct wine-bottle grasp in original LIBERO-Goal tasks. | Locked seed from ANLGX_089; previous 5-episode screen: 3/5 (60.0%).	3	3	5	60.0	3	LIBERO_SPATIAL_03	Pick the akita black bowl from table center and place it on the plate	LIBERO_SPATIAL_03	Pick the akita black bowl from table center and place it on the plate	LIBERO_GOAL_03	LIBERO_SPATIAL_03,LIBERO_GOAL_03	ELIGIBLE		REWRITE_AND_REEVALUATE_IF_SELECTED	Pick up the wine bottle and place it on the plate.
ADAPT_007	A0_selected_seed__G3_goal_object_to_cabinet_top	Put the plate on the top of the wooden cabinet.	libero_goal	1	put_the_wine_bottle_on_top_of_the_cabinet	Put the wine bottle on the top of the drawer	on(plate_1, wooden_cabinet_1_top_side)	Relation evidence: original Goal task 5; the source manipuland pose is preserved. | Training evidence: the plate is directly manipulated by the original Goal push task, but not by pick-and-place. | Locked seed from ANLGX_134; previous 5-episode screen: 1/5 (20.0%).	2	0	5	0.0	0	LIBERO_GOAL_03	Put the wine bottle on the top of the drawer	LIBERO_GOAL_03	Put the wine bottle on the top of the drawer	LIBERO_GOAL_06	LIBERO_GOAL_03,LIBERO_GOAL_06	ELIGIBLE		PASS	Put the plate on the top of the wooden cabinet.
ADAPT_008	A0_selected_seed__G6_goal_object_to_sibling_drawer	Put the cream cheese in the top drawer of the wooden cabinet.	libero_goal	4	open_the_top_drawer_and_put_the_bowl_inside	Open the top layer of the drawer and put the bowl inside	in(cream_cheese_1, wooden_cabinet_1_top_region)	Training evidence: direct cream-cheese grasp in original Goal and LIBERO-Object tasks. | Locked seed from ANLGX_147; previous 5-episode screen: 3/5 (60.0%).	3	3	5	60.0	3	LIBERO_GOAL_04	Open the top layer of the drawer and put the bowl inside	LIBERO_GOAL_04	Open the top layer of the drawer and put the bowl inside	LIBERO_OBJECT_02	LIBERO_GOAL_04,LIBERO_OBJECT_02	ELIGIBLE		PASS	Put the cream cheese in the top drawer of the wooden cabinet.
ADAPT_009	A0_selected_seed__L3_libero10_caddy_object_compartment	Put the yellow and white mug in the left compartment of the caddy.	libero_10	104	STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy	pick up the book and place it in the back compartment of the caddy	in(white_yellow_mug_1, desk_caddy_1_left_contain_region)	Training evidence: direct mug grasp in original LIBERO-10 tasks. | Locked seed from ANLGX_178; previous 5-episode screen: 3/5 (60.0%).	2	1	5	20.0	1	LIBERO_10_06	pick up the book and place it in the back compartment of the caddy	LIBERO_10_06	pick up the book and place it in the back compartment of the caddy	LIBERO_10_05	LIBERO_10_06,LIBERO_10_05	ELIGIBLE		PASS	Put the yellow and white mug in the left compartment of the caddy.
ADAPT_010	A1_object_lateral_mirror	Pick the alphabet soup on the right and place it in the basket on the left.	libero_object	301	pick_up_the_alphabet_soup_and_place_it_in_the_basket	Pick the alphabet soup and place it in the basket	in(alphabet_soup_1, basket_1_contain_region)	A full-layout mirror preserves clearance; this is not an arbitrary continuous pose sample.	3	0	5	0.0	0	LIBERO_OBJECT_01	Pick the alphabet soup and place it in the basket	LIBERO_OBJECT_01	Pick the alphabet soup and place it in the basket		LIBERO_OBJECT_01	ELIGIBLE		REWRITE_AND_REEVALUATE_IF_SELECTED	Pick the alphabet soup and place it in the basket.
