asset_type	original40_visual_status	physical_asset_available	xml_exists	procedural_site_only	unused_original40_visual	unused_original40_goal_primary	used_libero90_visual	used_libero90_goal_primary	scene40_task_ids	goal_primary40_task_ids	scene90_task_ids	goal_primary90_task_ids	asset_xml	collision_aabb_dimensions_xml_frame_m	feasibility_notes	class_source	class_source_line
akita_black_bowl	present40_with_goal_primary_role	True	True	False	False	False	True	True	"[""LIBERO_10_04"", ""LIBERO_GOAL_01"", ""LIBERO_GOAL_02"", ""LIBERO_GOAL_03"", ""LIBERO_GOAL_04"", ""LIBERO_GOAL_05"", ""LIBERO_GOAL_06"", ""LIBERO_GOAL_07"", ""LIBERO_GOAL_08"", ""LIBERO_GOAL_09"", ""LIBERO_GOAL_10"", ""LIBERO_SPATIAL_01"", ""LIBERO_SPATIAL_02"", ""LIBERO_SPATIAL_03"", ""LIBERO_SPATIAL_04"", ""LIBERO_SPATIAL_05"", ""LIBERO_SPATIAL_06"", ""LIBERO_SPATIAL_07"", ""LIBERO_SPATIAL_08"", ""LIBERO_SPATIAL_09"", ""LIBERO_SPATIAL_10""]"	"[""LIBERO_10_04"", ""LIBERO_GOAL_02"", ""LIBERO_GOAL_04"", ""LIBERO_GOAL_05"", ""LIBERO_GOAL_09"", ""LIBERO_SPATIAL_01"", ""LIBERO_SPATIAL_02"", ""LIBERO_SPATIAL_03"", ""LIBERO_SPATIAL_04"", ""LIBERO_SPATIAL_05"", ""LIBERO_SPATIAL_06"", ""LIBERO_SPATIAL_07"", ""LIBERO_SPATIAL_08"", ""LIBERO_SPATIAL_09"", ""LIBERO_SPATIAL_10""]"	"[""LIBERO_90_01"", ""LIBERO_90_02"", ""LIBERO_90_03"", ""LIBERO_90_04"", ""LIBERO_90_05"", ""LIBERO_90_06"", ""LIBERO_90_07"", ""LIBERO_90_08"", ""LIBERO_90_09"", ""LIBERO_90_10"", ""LIBERO_90_11"", ""LIBERO_90_12"", ""LIBERO_90_13"", ""LIBERO_90_14"", ""LIBERO_90_15"", ""LIBERO_90_16"", ""LIBERO_90_17"", ""LIBERO_90_18"", ""LIBERO_90_23"", ""LIBERO_90_24"", ""LIBERO_90_25"", ""LIBERO_90_26"", ""LIBERO_90_27"", ""LIBERO_90_28"", ""LIBERO_90_29"", ""LIBERO_90_30"", ""LIBERO_90_31"", ""LIBERO_90_32"", ""LIBERO_90_33"", ""LIBERO_90_61"", ""LIBERO_90_62"", ""LIBERO_90_63"", ""LIBERO_90_64"", ""LIBERO_90_65""]"	"[""LIBERO_90_02"", ""LIBERO_90_03"", ""LIBERO_90_09"", ""LIBERO_90_10"", ""LIBERO_90_11"", ""LIBERO_90_13"", ""LIBERO_90_14"", ""LIBERO_90_15"", ""LIBERO_90_16"", ""LIBERO_90_17"", ""LIBERO_90_18"", ""LIBERO_90_25"", ""LIBERO_90_26"", ""LIBERO_90_30"", ""LIBERO_90_31"", ""LIBERO_90_32"", ""LIBERO_90_61"", ""LIBERO_90_64"", ""LIBERO_90_65""]"	libero/assets/stable_scanned_objects/akita_black_bowl/akita_black_bowl.xml		Existing registered LIBERO asset; not evaluated by this static audit.	python_packages/libero/libero/envs/objects/google_scanned_objects.py	54
alphabet_soup	present40_with_goal_primary_role	True	True	False	False	False	True	True	"[""LIBERO_10_01"", ""LIBERO_10_02"", ""LIBERO_10_08"", ""LIBERO_OBJECT_01"", ""LIBERO_OBJECT_02"", ""LIBERO_OBJECT_03"", ""LIBERO_OBJECT_04"", ""LIBERO_OBJECT_05"", ""LIBERO_OBJECT_09""]"	"[""LIBERO_10_01"", ""LIBERO_10_08"", ""LIBERO_OBJECT_01""]"	"[""LIBERO_90_47"", ""LIBERO_90_48"", ""LIBERO_90_49"", ""LIBERO_90_50"", ""LIBERO_90_51"", ""LIBERO_90_52"", ""LIBERO_90_53"", ""LIBERO_90_54"", ""LIBERO_90_55"", ""LIBERO_90_56"", ""LIBERO_90_57"", ""LIBERO_90_58"", ""LIBERO_90_59"", ""LIBERO_90_60""]"	"[""LIBERO_90_47"", ""LIBERO_90_51"", ""LIBERO_90_56""]"	libero/assets/stable_hope_objects/alphabet_soup/alphabet_soup.xml		Existing registered LIBERO asset; not evaluated by this static audit.	python_packages/libero/libero/envs/objects/hope_objects.py	32
basin_faucet	absent_from_original40_scene	True	True	False	True	True	False	False	[]	[]	[]	[]	libero/assets/articulated_objects/basin_faucet.xml	[0.11219, 0.04234, 0.1083]	Hot/cold handle sites exist but no implemented standard TurnOn/TurnOff. Asset name does not prove a usable wash-basin containment region.	python_packages/libero/libero/envs/objects/articulated_objects.py	109
basket	present40_without_goal_primary_role	True	True	False	False	True	True	False	"[""LIBERO_10_01"", ""LIBERO_10_02"", ""LIBERO_10_08"", ""LIBERO_OBJECT_01"", ""LIBERO_OBJECT_02"", ""LIBERO_OBJECT_03"", ""LIBERO_OBJECT_04"", ""LIBERO_OBJECT_05"", ""LIBERO_OBJECT_06"", ""LIBERO_OBJECT_07"", ""LIBERO_OBJECT_08"", ""LIBERO_OBJECT_09"", ""LIBERO_OBJECT_10""]"	[]	"[""LIBERO_90_47"", ""LIBERO_90_48"", ""LIBERO_90_49"", ""LIBERO_90_50"", ""LIBERO_90_51"", ""LIBERO_90_52"", ""LIBERO_90_53"", ""LIBERO_90_54"", ""LIBERO_90_55""]"	[]	libero/assets/stable_scanned_objects/basket/basket.xml		Existing registered LIBERO asset; not evaluated by this static audit.	python_packages/libero/libero/envs/objects/google_scanned_objects.py	66
bbq_sauce	present40_with_goal_primary_role	True	True	False	False	False	False	False	"[""LIBERO_OBJECT_04"", ""LIBERO_OBJECT_05"", ""LIBERO_OBJECT_06"", ""LIBERO_OBJECT_07"", ""LIBERO_OBJECT_09"", ""LIBERO_OBJECT_10""]"	"[""LIBERO_OBJECT_04""]"	[]	[]	libero/assets/stable_hope_objects/bbq_sauce/bbq_sauce.xml		Existing registered LIBERO asset; not evaluated by this static audit.	python_packages/libero/libero/envs/objects/hope_objects.py	39
black_book	present40_with_goal_primary_role	True	True	False	False	False	True	True	"[""LIBERO_10_06""]"	"[""LIBERO_10_06""]"	"[""LIBERO_90_74"", ""LIBERO_90_75"", ""LIBERO_90_76"", ""LIBERO_90_77"", ""LIBERO_90_78"", ""LIBERO_90_79"", ""LIBERO_90_80"", ""LIBERO_90_81"", ""LIBERO_90_82"", ""LIBERO_90_83"", ""LIBERO_90_84"", ""LIBERO_90_85"", ""LIBERO_90_86"", ""LIBERO_90_87"", ""LIBERO_90_88"", ""LIBERO_90_89"", ""LIBERO_90_90""]"	"[""LIBERO_90_74"", ""LIBERO_90_75"", ""LIBERO_90_76"", ""LIBERO_90_78"", ""LIBERO_90_79"", ""LIBERO_90_80"", ""LIBERO_90_81"", ""LIBERO_90_82"", ""LIBERO_90_83"", ""LIBERO_90_84"", ""LIBERO_90_87""]"	libero/assets/turbosquid_objects/black_book/black_book.xml		Existing registered LIBERO asset; not evaluated by this static audit.	python_packages/libero/libero/envs/objects/turbosquid_objects.py	138
bowl_drainer	absent_from_original40_scene	True	True	False	True	True	False	False	[]	[]	[]	[]	libero/assets/turbosquid_objects/bowl_drainer/bowl_drainer.xml	[0.20462, 0.23247, 0.14412]	Existing left/right regions .18846 x .1033 x .11616 m. Grill contacts and object support must be checked; useful new destination/source furniture.	python_packages/libero/libero/envs/objects/turbosquid_objects.py	116
butter	present40_with_goal_primary_role	True	True	False	False	False	True	True	"[""LIBERO_10_01"", ""LIBERO_10_02"", ""LIBERO_OBJECT_01"", ""LIBERO_OBJECT_02"", ""LIBERO_OBJECT_06"", ""LIBERO_OBJECT_07"", ""LIBERO_OBJECT_08"", ""LIBERO_OBJECT_10""]"	"[""LIBERO_10_02"", ""LIBERO_OBJECT_07""]"	"[""LIBERO_90_01"", ""LIBERO_90_02"", ""LIBERO_90_03"", ""LIBERO_90_04"", ""LIBERO_90_05"", ""LIBERO_90_06"", ""LIBERO_90_51"", ""LIBERO_90_52"", ""LIBERO_90_53"", ""LIBERO_90_54"", ""LIBERO_90_55"", ""LIBERO_90_56"", ""LIBERO_90_57"", ""LIBERO_90_58"", ""LIBERO_90_59"", ""LIBERO_90_60""]"	"[""LIBERO_90_04"", ""LIBERO_90_05"", ""LIBERO_90_52"", ""LIBERO_90_57""]"	libero/assets/stable_hope_objects/butter/butter.xml		Existing registered LIBERO asset; not evaluated by this static audit.	python_packages/libero/libero/envs/objects/hope_objects.py	45
chefmate_8_frypan	present40_without_goal_primary_role	True	True	False	False	True	True	True	"[""LIBERO_10_03""]"	[]	"[""LIBERO_90_19"", ""LIBERO_90_20"", ""LIBERO_90_21"", ""LIBERO_90_22"", ""LIBERO_90_41"", ""LIBERO_90_42"", ""LIBERO_90_43"", ""LIBERO_90_44"", ""LIBERO_90_45"", ""LIBERO_90_46""]"	"[""LIBERO_90_19"", ""LIBERO_90_22"", ""LIBERO_90_41"", ""LIBERO_90_42"", ""LIBERO_90_43"", ""LIBERO_90_46""]"	libero/assets/stable_scanned_objects/chefmate_8_frypan/chefmate_8_frypan.xml		Existing registered LIBERO asset; not evaluated by this static audit.	python_packages/libero/libero/envs/objects/google_scanned_objects.py	72
cherries	absent_from_original40_scene	False	False	False	True	True	False	False	[]	[]	[]	[]	libero/assets/stable_hope_objects/cherries/cherries.xml		Registered class but runtime XML is missing. Do not build candidates with this asset until the missing local asset is supplied.	python_packages/libero/libero/envs/objects/hope_objects.py	53
chocolate_pudding	present40_with_goal_primary_role	True	True	False	False	False	True	True	"[""LIBERO_10_07"", ""LIBERO_OBJECT_04"", ""LIBERO_OBJECT_06"", ""LIBERO_OBJECT_07"", ""LIBERO_OBJECT_08"", ""LIBERO_OBJECT_09"", ""LIBERO_OBJECT_10""]"	"[""LIBERO_10_07"", ""LIBERO_OBJECT_09""]"	"[""LIBERO_90_01"", ""LIBERO_90_02"", ""LIBERO_90_03"", ""LIBERO_90_04"", ""LIBERO_90_05"", ""LIBERO_90_06"", ""LIBERO_90_61"", ""LIBERO_90_62"", ""LIBERO_90_63"", ""LIBERO_90_64"", ""LIBERO_90_65"", ""LIBERO_90_70"", ""LIBERO_90_71"", ""LIBERO_90_72"", ""LIBERO_90_73""]"	"[""LIBERO_90_06"", ""LIBERO_90_62"", ""LIBERO_90_70"", ""LIBERO_90_71""]"	libero/assets/stable_hope_objects/chocolate_pudding/chocolate_pudding.xml		Existing registered LIBERO asset; not evaluated by this static audit.	python_packages/libero/libero/envs/objects/hope_objects.py	59
cookies	present40_without_goal_primary_role	True	True	False	False	True	False	False	"[""LIBERO_SPATIAL_01"", ""LIBERO_SPATIAL_02"", ""LIBERO_SPATIAL_03"", ""LIBERO_SPATIAL_04"", ""LIBERO_SPATIAL_05"", ""LIBERO_SPATIAL_06"", ""LIBERO_SPATIAL_07"", ""LIBERO_SPATIAL_08"", ""LIBERO_SPATIAL_09"", ""LIBERO_SPATIAL_10""]"	[]	[]	[]	libero/assets/stable_hope_objects/cookies/cookies.xml		Existing registered LIBERO asset; not evaluated by this static audit.	python_packages/libero/libero/envs/objects/hope_objects.py	67
corn	absent_from_original40_scene	False	False	False	True	True	False	False	[]	[]	[]	[]	libero/assets/stable_hope_objects/corn/corn.xml		Registered class but runtime XML is missing. Do not build candidates with this asset until the missing local asset is supplied.	python_packages/libero/libero/envs/objects/hope_objects.py	73
