task_id	batch	family	semantic_subtasks	instruction	goal_atom	source_task	physical_group	successes	episodes	success_rate_percent	success_episode_indices	manual_review	comparison_png	video_directory
UCOMP_012	first_wave_17	object05_basket_then_mug_plate	2	Put the ketchup in the basket, and then put the yellow and white mug on the plate.	in(ketchup_1, basket_1_contain_region); on(white_yellow_mug_1,plate_1)	pick_up_the_ketchup_and_place_it_in_the_basket;LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate	object05_reduced_plus_mug_plate_layout_B	1	5	20.0	4	pass	assets/comparison_png/UCOMP_012.png	assets/success_reels/UCOMP_012.mp4
UCOMP_036	source_aligned_26	object05_target_slot_yellow_proven_basket_first	2	Put the butter in the basket, and then put the yellow and white mug on the plate.	in(butter_1, basket_1_contain_region); on(white_yellow_mug_1,plate_1)	pick_up_the_ketchup_and_place_it_in_the_basket;pick_up_the_butter_and_place_it_in_the_basket;LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate	object05_target_slot__butter_1__yellow_proven	1	5	20.0	0	pass	assets/comparison_png/UCOMP_036.png	assets/success_reels/UCOMP_036.mp4
UCOMP_037	source_aligned_26	object05_target_slot_yellow_proven_transferred_skill_first	2	Put the yellow and white mug on the plate, and then put the butter in the basket.	on(white_yellow_mug_1,plate_1); in(butter_1, basket_1_contain_region)	pick_up_the_ketchup_and_place_it_in_the_basket;LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate;pick_up_the_butter_and_place_it_in_the_basket	object05_target_slot__butter_1__yellow_proven	1	5	20.0	4	pass	assets/comparison_png/UCOMP_037.png	assets/success_reels/UCOMP_037.mp4
UCOMP_038	source_aligned_26	object05_target_slot_yellow_proven_basket_first	2	Put the cream cheese box in the basket, and then put the yellow and white mug on the plate.	in(cream_cheese_1, basket_1_contain_region); on(white_yellow_mug_1,plate_1)	pick_up_the_ketchup_and_place_it_in_the_basket;pick_up_the_cream_cheese_and_place_it_in_the_basket;LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate	object05_target_slot__cream_cheese_1__yellow_proven	1	5	20.0	4	pass	assets/comparison_png/UCOMP_038.png	assets/success_reels/UCOMP_038.mp4
UCOMP_040	source_aligned_26	object05_target_slot_yellow_proven_basket_first	2	Put the tomato sauce in the basket, and then put the yellow and white mug on the plate.	in(tomato_sauce_1, basket_1_contain_region); on(white_yellow_mug_1,plate_1)	pick_up_the_ketchup_and_place_it_in_the_basket;pick_up_the_tomato_sauce_and_place_it_in_the_basket;LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate	object05_target_slot__tomato_sauce_1__yellow_proven	3	5	60.0	0,1,2	pass	assets/comparison_png/UCOMP_040.png	assets/success_reels/UCOMP_040.mp4
UCOMP_044	exact_LBCM_20	exact_success_layout_pudding_right_basket_first	2	Put the ketchup in the basket, and then put the chocolate pudding to the right of the plate.	in(ketchup_1, basket_1_contain_region); on(chocolate_pudding_1,living_room_table_lm_pudding_right_region)	LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket;pick_up_the_ketchup_and_place_it_in_the_basket;LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate	exact_success_layout__pudding_right__ketchup_1	4	5	80.0	0,1,2,3	pass	assets/comparison_png/UCOMP_044.png	assets/success_reels/UCOMP_044.mp4
UCOMP_046	exact_LBCM_20	exact_success_layout_pudding_right_basket_first	2	Put the milk in the basket, and then put the chocolate pudding to the right of the plate.	in(milk_1, basket_1_contain_region); on(chocolate_pudding_1,living_room_table_lm_pudding_right_region)	LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket;pick_up_the_milk_and_place_it_in_the_basket;LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate	exact_success_layout__pudding_right__milk_1	2	5	40.0	1,4	pass	assets/comparison_png/UCOMP_046.png	assets/success_reels/UCOMP_046.mp4
UCOMP_050	exact_LBCM_20	exact_success_layout_pudding_right_basket_first	2	Put the butter in the basket, and then put the chocolate pudding to the right of the plate.	in(butter_1, basket_1_contain_region); on(chocolate_pudding_1,living_room_table_lm_pudding_right_region)	LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket;pick_up_the_butter_and_place_it_in_the_basket;LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate	exact_success_layout__pudding_right__butter_1	3	5	60.0	0,2,3	pass	assets/comparison_png/UCOMP_050.png	assets/success_reels/UCOMP_050.mp4
UCOMP_052	exact_LBCM_20	exact_success_layout_pudding_right_basket_first	2	Put the tomato sauce in the basket, and then put the chocolate pudding to the right of the plate.	in(tomato_sauce_1, basket_1_contain_region); on(chocolate_pudding_1,living_room_table_lm_pudding_right_region)	LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket;pick_up_the_tomato_sauce_and_place_it_in_the_basket;LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate	exact_success_layout__pudding_right__tomato_sauce_1	1	5	20.0	4	pass	assets/comparison_png/UCOMP_052.png	assets/success_reels/UCOMP_052.mp4
UCOMP_060	exact_LBCM_20	exact_success_layout_white_mug_basket_first	2	Put the butter in the basket, and then put the white mug on the plate.	in(butter_1, basket_1_contain_region); on(porcelain_mug_1,plate_3)	LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket;pick_up_the_butter_and_place_it_in_the_basket;LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate	exact_success_layout__white_mug__butter_1	1	5	20.0	1	pass	assets/comparison_png/UCOMP_060.png	assets/success_reels/UCOMP_060.mp4
UCOMP_062	exact_LBCM_20	exact_success_layout_white_mug_basket_first	2	Put the alphabet soup in the basket, and then put the white mug on the plate.	in(alphabet_soup_1, basket_1_contain_region); on(porcelain_mug_1,plate_3)	LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket;pick_up_the_alphabet_soup_and_place_it_in_the_basket;LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate	exact_success_layout__white_mug__alphabet_soup_1	3	5	60.0	2,3,4	pass	assets/comparison_png/UCOMP_062.png	assets/success_reels/UCOMP_062.mp4
UCOMP_066	right_object_8	ketchup_basket_then_right_identity	2	Put the ketchup in the basket, and then put the bbq sauce to the right of the plate.	in(ketchup_1, basket_1_contain_region); on(bbq_sauce_1,living_room_table_lm_pudding_right_region)	LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket;pick_up_the_ketchup_and_place_it_in_the_basket;pick_up_the_bbq_sauce_and_place_it_in_the_basket	ucomp044_exact_geometry__right__bbq_sauce_1	1	5	20.0	0	pass	assets/comparison_png/UCOMP_066.png	assets/success_reels/UCOMP_066.mp4
UCOMP_068	right_object_8	ketchup_basket_then_right_identity	2	Put the ketchup in the basket, and then put the alphabet soup to the right of the plate.	in(ketchup_1, basket_1_contain_region); on(alphabet_soup_1,living_room_table_lm_pudding_right_region)	LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket;pick_up_the_ketchup_and_place_it_in_the_basket;pick_up_the_alphabet_soup_and_place_it_in_the_basket	ucomp044_exact_geometry__right__alphabet_soup_1	1	5	20.0	4	pass	assets/comparison_png/UCOMP_068.png	assets/success_reels/UCOMP_068.mp4
