order	category	task_id	instruction	successes	episodes	success_rate_percent	success_episode	failure_episode	success_video	failure_video	complete
1	Decomposition	TDL10_001	Put the white mug on the left plate.	0	5	0.0		0		assets/pi05_videos/TDL10_001/TDL10_001_failure.mp4	True
2	Decomposition	TDL10_002	Put the yellow and white mug on the right plate.	0	5	0.0		0		assets/pi05_videos/TDL10_002/TDL10_002_failure.mp4	True
3	Decomposition	TDL10_003	Put the white mug on the plate.	0	5	0.0		0		assets/pi05_videos/TDL10_003/TDL10_003_failure.mp4	True
4	Decomposition	TDL10_004	Put the chocolate pudding to the right of the plate.	0	5	0.0		0		assets/pi05_videos/TDL10_004/TDL10_004_failure.mp4	True
5	Decomposition	TDL10_005	Put the yellow and white mug in the microwave.	0	5	0.0		0		assets/pi05_videos/TDL10_005/TDL10_005_failure.mp4	True
6	Decomposition	TDL10_006	Close the microwave.	1	5	20.0	3	0	assets/pi05_videos/TDL10_006/TDL10_006_success.mp4	assets/pi05_videos/TDL10_006/TDL10_006_failure.mp4	True
7	Decomposition	TDL10_008	Put the moka pot on the stove.	0	5	0.0		0		assets/pi05_videos/TDL10_008/TDL10_008_failure.mp4	True
8	Decomposition	TDL10_009	Put the alphabet soup in the basket.	0	5	0.0		0		assets/pi05_videos/TDL10_009/TDL10_009_failure.mp4	True
9	Decomposition	TDL10_010	Put the cream cheese box in the basket.	0	5	0.0		0		assets/pi05_videos/TDL10_010/TDL10_010_failure.mp4	True
10	Decomposition	TDL10_011	Put the alphabet soup in the basket.	0	5	0.0		0		assets/pi05_videos/TDL10_011/TDL10_011_failure.mp4	True
11	Decomposition	TDL10_012	Put the tomato sauce in the basket.	0	5	0.0		0		assets/pi05_videos/TDL10_012/TDL10_012_failure.mp4	True
12	Decomposition	TDL10_013	Put the cream cheese box in the basket.	0	5	0.0		0		assets/pi05_videos/TDL10_013/TDL10_013_failure.mp4	True
13	Decomposition	TDL10_014	Put the butter in the basket.	0	5	0.0		0		assets/pi05_videos/TDL10_014/TDL10_014_failure.mp4	True
14	Decomposition	TDL10_016	Close the bottom drawer of the cabinet.	0	5	0.0		0		assets/pi05_videos/TDL10_016/TDL10_016_failure.mp4	True
15	Decomposition	TDC40_001	Turn on the stove.	0	5	0.0		0		assets/pi05_videos/TDC40_001/TDC40_001_failure.mp4	True
16	Decomposition	TDC40_002	Put the black bowl in the bottom drawer of the cabinet.	0	5	0.0		0		assets/pi05_videos/TDC40_002/TDC40_002_failure.mp4	True
17	Decomposition	TDC40_003	Put the left moka pot on the stove.	2	5	40.0	2	0	assets/pi05_videos/TDC40_003/TDC40_003_success.mp4	assets/pi05_videos/TDC40_003/TDC40_003_failure.mp4	True
18	Decomposition	TDC40_004	Put the right moka pot on the stove.	0	5	0.0		0		assets/pi05_videos/TDC40_004/TDC40_004_failure.mp4	True
19	Decomposition	TDC40_005	Open the top drawer of the cabinet.	0	5	0.0		0		assets/pi05_videos/TDC40_005/TDC40_005_failure.mp4	True
20	Decomposition	TDC40_006	Put the black bowl inside the top drawer of the cabinet.	4	5	80.0	1	0	assets/pi05_videos/TDC40_006/TDC40_006_success.mp4	assets/pi05_videos/TDC40_006/TDC40_006_failure.mp4	True
21	Adapt	ANLGX_002	Put the white mug on the middle plate.	4	5	80.0	0	1	assets/pi05_videos/ANLGX_002/ANLGX_002_success.mp4	assets/pi05_videos/ANLGX_002/ANLGX_002_failure.mp4	True
22	Adapt	ANLGX_003	Put the white mug on the right plate.	0	5	0.0		0		assets/pi05_videos/ANLGX_003/ANLGX_003_failure.mp4	True
23	Adapt	ANLGX_017	Put the black bowl in the middle drawer of the white cabinet.	5	5	100.0	0		assets/pi05_videos/ANLGX_017/ANLGX_017_success.mp4		True
24	Adapt	ANLGX_022	Close the top drawer of the white cabinet.	0	5	0.0		0		assets/pi05_videos/ANLGX_022/ANLGX_022_failure.mp4	True
25	Adapt	ANLGX_023	Close the middle drawer of the white cabinet.	0	5	0.0		0		assets/pi05_videos/ANLGX_023/ANLGX_023_failure.mp4	True
26	Adapt	ANLGX_089	Pick up the wine bottle at the table center and place it on the plate.	2	5	40.0	2	0	assets/pi05_videos/ANLGX_089/ANLGX_089_success.mp4	assets/pi05_videos/ANLGX_089/ANLGX_089_failure.mp4	True
27	Adapt	ANLGX_134	Put the plate on the top of the wooden cabinet.	0	5	0.0		0		assets/pi05_videos/ANLGX_134/ANLGX_134_failure.mp4	True
